"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1700755188166,"23/11/2023 15:59:48",1700755188166,0,"23/11/2023 15:59:48",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF11898"
"2",1700755225596,"23/11/2023 16:00:25",1700755225596,0,"23/11/2023 16:00:25",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",37431.278,37414.559,37431.278,37431.278,37414.559,37431.278,1,37431.278,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF11898"
"3",1700755225600,"23/11/2023 16:00:25",1700755225600,0,"23/11/2023 16:00:25",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",20300.275,37414.559,37431.278,20300.275,37414.559,37431.278,1,20300.275,17131.003,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF11898"
"4",1700755225601,"23/11/2023 16:00:25",1700755225601,0,"23/11/2023 16:00:25",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",30091.655,37414.559,37431.278,30091.655,37414.559,37431.278,1,30091.655,7339.623,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF11898"
"5",1700755225602,"23/11/2023 16:00:25",1700755225602,0,"23/11/2023 16:00:25",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",34361.926,37414.559,37431.278,34361.926,37414.559,37431.278,1,34361.926,3069.352,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF11898"
"6",1700755243343,"23/11/2023 16:00:43",1700755243343,0,"23/11/2023 16:00:43",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",17777.136000003,17764.681,17777.136000003,17777.136000003,17764.681,17777.136000003,1,17777.136000003,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF11898"
"7",1700755243349,"23/11/2023 16:00:43",1700755243349,0,"23/11/2023 16:00:43",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",6655.353,17764.681,17781.366,6655.353,17764.681,17781.366,1,6655.353,11126.013,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF11898"
"8",1700755243350,"23/11/2023 16:00:43",1700755243350,0,"23/11/2023 16:00:43",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",12560.396,17764.681,17781.366,12560.396,17764.681,17781.366,1,12560.396,5220.97000000001,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF11898"
"9",1700755243351,"23/11/2023 16:00:43",1700755243351,0,"23/11/2023 16:00:43",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",17364.295,17764.681,17781.366,17364.295,17764.681,17781.366,1,17364.295,417.071000000011,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF11898"
"10",1700755268148,"23/11/2023 16:01:08",1700755268148,0,"23/11/2023 16:01:08",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",24817.0550000007,24803.946,24817.0550000007,24817.0550000007,24803.946,24817.0550000007,1,24817.0550000007,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF11898"
