"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"1","APPROVED","2023-11-23T16:14:40.803000Z","2023-11-23T17:05:28.272000Z","2023-11-24T10:24:25.489000Z","2023-11-23T17:05:28.729355Z",3048,"NOCODE",410,"English, Russian, Polish, Ukrainian","21","Male","White","Italy","United Kingdom","Poland","Ukrainian","Yes","Full-Time","","MDPRF93300"
"2","APPROVED","2023-11-23T16:16:35.434000Z","2023-11-23T16:56:33.152000Z","2023-11-24T11:09:41.288000Z","2023-11-23T16:56:33.952688Z",2398,"NOCODE",477,"English","25","Male","Other","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF51004"
"3","APPROVED","2023-11-23T16:18:40.505000Z","2023-11-23T17:00:35.934000Z","2023-11-24T10:24:25.769000Z","2023-11-23T17:00:36.453515Z",2516,"NOCODE",57,"English, Portuguese","24","Male","White","Portugal","United Kingdom","Portugal","Portuguese","DATA_EXPIRED","DATA_EXPIRED","","MDPRF45887"
"4","APPROVED","2023-11-23T16:20:24.936000Z","2023-11-23T17:10:27.350000Z","2023-11-24T10:24:25.940000Z","2023-11-23T17:10:27.794960Z",3003,"NOCODE",1,"English, Hindi","20","Male","Asian","India","United States","India","Punjabi","Yes","DATA_EXPIRED","","MDPRF64809"
"5","APPROVED","2023-11-23T16:26:29.516000Z","2023-11-23T17:09:29.019000Z","2023-11-24T11:09:41.568000Z","2023-11-23T17:09:29.425517Z",2580,"NOCODE",99,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF52836"
"6","APPROVED","2023-11-23T16:26:49.411000Z","2023-11-23T17:02:26.219000Z","2023-11-24T10:36:10.453000Z","2023-11-23T17:02:27.333538Z",2137,"NOCODE",757,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF91873"
"7","APPROVED","2023-11-23T16:31:40.849000Z","2023-11-23T17:04:12.025000Z","2023-11-24T10:36:10.770000Z","2023-11-23T17:04:12.534804Z",1952,"NOCODE",532,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF74794"
"8","APPROVED","2023-11-23T16:32:36.508000Z","2023-11-23T17:17:36.995000Z","2023-11-24T10:33:59.513000Z","2023-11-23T17:17:37.517858Z",2701,"NOCODE",578,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF34589"
"9","APPROVED","2023-11-23T16:34:47.096000Z","2023-11-23T17:10:13.769000Z","2023-11-24T10:33:59.697000Z","2023-11-23T17:10:14.681567Z",2127,"NOCODE",155,"English, Spanish","19","Male","Mixed","Honduras","United Kingdom","United Kingdom","English","Yes","Other","","MDPRF58963"
"10","APPROVED","2023-11-23T16:36:02.259000Z","2023-11-23T17:19:14.452000Z","2023-11-24T11:09:41.734000Z","2023-11-23T17:19:15.050508Z",2593,"NOCODE",60,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF63935"
"11","APPROVED","2023-11-23T16:36:25.039000Z","2023-11-23T17:53:41.246000Z","2023-11-24T10:36:10.973000Z","2023-11-23T17:53:42.394248Z",4637,"NOCODE",45,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF30579"
"12","APPROVED","2023-11-23T16:46:29.089000Z","2023-11-23T17:34:50.367000Z","2023-11-24T10:33:59.871000Z","2023-11-23T17:34:51.048940Z",2902,"NOCODE",637,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF18006"
"13","APPROVED","2023-11-23T16:47:27.805000Z","2023-11-23T18:19:26.898000Z","2023-11-24T11:09:41.896000Z","2023-11-23T18:19:27.476293Z",5520,"NOCODE",504,"English","21","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF71871"
"14","APPROVED","2023-11-23T16:52:56.199000Z","2023-11-23T17:53:04.759000Z","2023-11-24T10:36:11.165000Z","2023-11-23T17:53:05.360259Z",3609,"NOCODE",943,"English","23","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","","MDPRF77780"
"15","APPROVED","2023-11-23T18:26:48.730000Z","2023-11-23T19:20:41.952000Z","2023-11-24T10:41:12.387000Z","2023-11-23T19:20:42.437024Z",3234,"NOCODE",414,"Bengali, English","20","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF60784"
"16","APPROVED","2023-11-23T15:52:43.197000Z","2023-11-23T16:24:24.012000Z","2023-11-24T10:41:07.375000Z","2023-11-23T16:24:24.488808Z",1901,"NOCODE",657,"English","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time","","MDPRF11898"
"17","APPROVED","2023-11-23T15:56:59.977000Z","2023-11-23T16:44:12.202000Z","2023-11-24T10:24:20.454000Z","2023-11-23T16:44:12.674322Z",2833,"NOCODE",130,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","","MDPRF16716"
"18","APPROVED","2023-11-23T16:08:34.191000Z","2023-11-23T16:47:38.852000Z","2023-11-24T10:39:34.291000Z","2023-11-23T16:47:39.437207Z",2345,"NOCODE",352,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF19699"
"19","APPROVED","2023-11-23T16:14:14.087000Z","2023-11-23T17:44:28.053000Z","2023-11-24T10:42:14.055000Z","2023-11-23T17:44:28.548327Z",5414,"NOCODE",4,"English","18","Female","Mixed","Nigeria","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF16028"
"20","APPROVED","2023-11-23T16:19:57.387000Z","2023-11-23T16:56:17.145000Z","2023-11-24T11:09:46.344000Z","2023-11-23T16:56:17.631642Z",2180,"NOCODE",408,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","","MDPRF13926"
"21","APPROVED","2023-11-23T16:21:12.635000Z","2023-11-23T17:26:34.624000Z","2023-11-24T11:09:46.666000Z","2023-11-23T17:26:35.075082Z",3922,"NOCODE",118,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF34905"
"22","APPROVED","2023-11-23T16:21:53.579000Z","2023-11-23T16:55:30.535000Z","2023-11-24T11:09:46.872000Z","2023-11-23T16:55:31.069279Z",2017,"NOCODE",116,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","","MDPRF47708"
"23","APPROVED","2023-11-23T16:24:40.356000Z","2023-11-23T17:07:48.512000Z","2023-11-24T10:39:34.560000Z","2023-11-23T17:07:49.017665Z",2589,"NOCODE",1286,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF14182"
"24","APPROVED","2023-11-23T16:23:25.224000Z","2023-11-23T16:57:41.862000Z","2023-11-24T10:24:20.718000Z","2023-11-23T16:57:42.363633Z",2057,"NOCODE",343,"Danish, English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","","MDPRF33623"
"25","APPROVED","2023-11-23T16:25:18.651000Z","2023-11-23T17:06:58.128000Z","2023-11-24T11:09:47.084000Z","2023-11-23T17:06:58.812359Z",2500,"NOCODE",34,"English","18","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","","MDPRF71080"
"26","APPROVED","2023-11-23T16:30:34.446000Z","2023-11-23T17:03:39.037000Z","2023-11-24T10:24:20.870000Z","2023-11-23T17:03:39.512178Z",1985,"NOCODE",487,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","","MDPRF51524"
"27","APPROVED","2023-11-23T16:28:59.130000Z","2023-11-23T17:18:25.129000Z","2023-11-24T10:33:54.477000Z","2023-11-23T17:18:25.742810Z",2966,"NOCODE",259,"English, Spanish","21","Female","White","Mexico","United Kingdom","Mexico","Spanish","Yes","Unemployed (and job seeking)","","MDPRF62013"
"28","APPROVED","2023-11-23T16:29:38.811000Z","2023-11-23T17:11:32.898000Z","2023-11-24T10:26:17.756000Z","2023-11-23T17:11:33.452163Z",2515,"NOCODE",9,"English","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF38237"
"29","APPROVED","2023-11-23T16:32:26.593000Z","2023-11-23T17:20:46.257000Z","2023-11-24T11:09:47.295000Z","2023-11-23T17:20:46.860743Z",2900,"NOCODE",1110,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF73709"
"30","APPROVED","2023-11-23T19:23:47.289000Z","2023-11-23T20:30:49.242000Z","2023-11-24T10:41:07.697000Z","2023-11-23T20:30:49.936773Z",4022,"NOCODE",759,"Chinese, English","20","Female","Asian","China","United States","China","Chinese","Yes","Other","","MDPRF81357"
"31","APPROVED","2023-11-23T15:52:43.197000Z","2023-11-23T16:24:24.012000Z","2023-11-24T10:41:07.375000Z","2023-11-23T16:24:24.647000Z",1901,"NOCODE",760,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF11898"
"32","APPROVED","2023-11-23T15:56:59.977000Z","2023-11-23T16:44:12.202000Z","2023-11-24T10:24:20.454000Z","2023-11-23T16:44:13.010000Z",2833,"NOCODE",225,"English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF16716"
"33","APPROVED","2023-11-23T16:08:34.191000Z","2023-11-23T16:47:38.852000Z","2023-11-24T10:39:34.291000Z","2023-11-23T16:47:39.714000Z",2345,"NOCODE",499,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF19699"
"34","APPROVED","2023-11-23T16:14:14.087000Z","2023-11-23T17:44:28.053000Z","2023-11-24T10:42:14.055000Z","2023-11-23T17:44:28.800000Z",5414,"NOCODE",26,"DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF16028"
"35","APPROVED","2023-11-23T16:14:40.803000Z","2023-11-23T17:05:28.272000Z","2023-11-24T10:24:25.489000Z","2023-11-23T17:05:28.983000Z",3048,"NOCODE",420,"DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF93300"
"36","APPROVED","2023-11-23T16:16:35.434000Z","2023-11-23T16:56:33.152000Z","2023-11-24T11:09:41.288000Z","2023-11-23T16:56:34.106000Z",2398,"NOCODE",654,"English","26","Male","Other","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF51004"
"37","APPROVED","2023-11-23T16:18:40.505000Z","2023-11-23T17:00:35.934000Z","2023-11-24T10:24:25.769000Z","2023-11-23T17:00:36.703000Z",2516,"NOCODE",139,"English, Portuguese","24","Male","White","Portugal","United Kingdom","Portugal","Portuguese","No","DATA_EXPIRED","Not Applicable","MDPRF45887"
"38","APPROVED","2023-11-23T16:19:57.387000Z","2023-11-23T16:56:17.145000Z","2023-11-24T11:09:46.344000Z","2023-11-23T16:56:17.845000Z",2180,"NOCODE",679,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF13926"
"39","APPROVED","2023-11-23T16:20:24.936000Z","2023-11-23T17:10:27.350000Z","2023-11-24T10:24:25.940000Z","2023-11-23T17:10:28.037000Z",3003,"NOCODE",185,"English, Hindi","20","Male","Asian","India","United States","India","Punjabi","Yes","Part-Time","Not Applicable","MDPRF64809"
"40","APPROVED","2023-11-23T16:21:12.635000Z","2023-11-23T17:26:34.624000Z","2023-11-24T11:09:46.666000Z","2023-11-23T17:26:35.303000Z",3922,"NOCODE",158,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","Not Applicable","MDPRF34905"
"41","APPROVED","2023-11-23T16:26:29.516000Z","2023-11-23T17:09:29.019000Z","2023-11-24T11:09:41.568000Z","2023-11-23T17:09:29.722000Z",2580,"NOCODE",241,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","Not Applicable","MDPRF52836"
"42","APPROVED","2023-11-23T16:21:53.579000Z","2023-11-23T16:55:30.535000Z","2023-11-24T11:09:46.872000Z","2023-11-23T16:55:31.394000Z",2017,"NOCODE",256,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","Not Applicable","MDPRF47708"
"43","APPROVED","2023-11-23T16:24:40.356000Z","2023-11-23T17:07:48.512000Z","2023-11-24T10:39:34.560000Z","2023-11-23T17:07:49.309000Z",2589,"NOCODE",1649,"English","26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF14182"
"44","APPROVED","2023-11-23T16:23:25.224000Z","2023-11-23T16:57:41.862000Z","2023-11-24T10:24:20.718000Z","2023-11-23T16:57:42.609000Z",2057,"NOCODE",405,"Danish, English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF33623"
"45","APPROVED","2023-11-23T16:25:18.651000Z","2023-11-23T17:06:58.128000Z","2023-11-24T11:09:47.084000Z","2023-11-23T17:06:59.074000Z",2500,"NOCODE",86,"English","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","Not Applicable","MDPRF71080"
"46","APPROVED","2023-11-23T16:26:49.411000Z","2023-11-23T17:02:26.219000Z","2023-11-24T10:36:10.453000Z","2023-11-23T17:02:27.612000Z",2137,"NOCODE",998,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF91873"
