"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation..at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1700756517918,"23/11/2023 16:21:57",1700756517918,0,"23/11/2023 16:21:57",152734,7,"questionnaire-1tsk",NA,33166778,9820575,NA,"rejected - time limit reached",NA,"655f7c166e5a84d3091d233c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1675x820",NA,NA,0,"Consent",11,"In","KLJAIBHCGDFE",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF47708"
"1",1700756614506,"23/11/2023 16:23:34",1700756614506,0,"23/11/2023 16:23:34",152734,7,"questionnaire-1tsk",NA,33166830,9820587,NA,"rejected - time limit reached",NA,"655f7c7d9d26f5c31efdd2ba","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x782",NA,NA,0,"Consent",11,"In","LAKBJCIDHEGF",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF33623"
"1",1700756689352,"23/11/2023 16:24:49",1700756689352,0,"23/11/2023 16:24:49",152734,7,"questionnaire-1tsk",NA,33166893,9820605,NA,"rejected - time limit reached",NA,"655f7c21ffed10f65ad158f8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Consent",11,"In","ABLCKDJEIFHG",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF14182"
"1",1700756735784,"23/11/2023 16:25:35",1700756735784,0,"23/11/2023 16:25:35",152734,7,"questionnaire-1tsk",NA,33166932,9820614,NA,"rejected - time limit reached",NA,"655f7cee341aac1418144400","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x800","1280x643",NA,NA,0,"Consent",11,"In","BCADLEKFJGIH",NA,"In",6,"1","1","1","1","1","1","1","1","1","1","MDPRF71080"
"1",1700756804212,"23/11/2023 16:26:44",1700756804212,0,"23/11/2023 16:26:44",152734,7,"questionnaire-1tsk",NA,33166969,9820625,NA,"rejected - time limit reached",NA,"655f7bfa11ced56ce4d7f577","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x698",NA,NA,0,"Consent",11,"In","DECFBGAHLIKJ",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF52836"
"1",1700756818129,"23/11/2023 16:26:58",1700756818129,0,"23/11/2023 16:26:58",152734,7,"questionnaire-1tsk",NA,33166976,9820629,NA,"rejected - time limit reached",NA,"655f7d434e594145ce7d6d24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1280x832","1280x715",NA,NA,0,"Consent",11,"In","CDBEAFLGKHJI",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF91873"
"1",1700756989519,"23/11/2023 16:29:49",1700756989519,0,"23/11/2023 16:29:49",152734,7,"questionnaire-1tsk",NA,33167067,9820649,NA,"rejected - time limit reached",NA,"655f7dddb006d3ba2d365e63","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1363x609",NA,NA,0,"Consent",11,"In","EFDGCHBIAJLK",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF38237"
"1",1700757060855,"23/11/2023 16:31:00",1700757060855,0,"23/11/2023 16:31:00",152734,7,"questionnaire-1tsk",NA,33167109,9820664,NA,"rejected - time limit reached",NA,"655f7d4c53bc8bdaae61f03d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1920x1080","1280x637",NA,NA,0,"Consent",11,"In","FGEHDICJBKAL",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF51524"
"1",1700757107723,"23/11/2023 16:31:47",1700757107723,0,"23/11/2023 16:31:47",152734,7,"questionnaire-1tsk",NA,33167147,9820673,NA,"rejected - time limit reached",NA,"655f7e5457bf9a1d80f7bbca","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Consent",11,"In","GHFIEJDKCLBA",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF74794"
"1",1700757154525,"23/11/2023 16:32:34",1700757154525,0,"23/11/2023 16:32:34",152734,7,"questionnaire-1tsk",NA,33167185,9820679,NA,"rejected - time limit reached",NA,"655f7e9ad98c15d4e9c05ed5","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x738",NA,NA,0,"Consent",11,"In","HIGJFKELDACB",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF73709"
"1",1700757164443,"23/11/2023 16:32:44",1700757164443,0,"23/11/2023 16:32:44",152734,7,"questionnaire-1tsk",NA,33167196,9820685,NA,"rejected - time limit reached",NA,"655f7ea4535ac2cc599ed824","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Consent",11,"In","LAKBJCIDHEGF",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF34589"
"1",1700757292769,"23/11/2023 16:34:52",1700757292769,0,"23/11/2023 16:34:52",152734,7,"questionnaire-1tsk",NA,33167345,9820722,NA,"rejected - time limit reached",NA,"655f7f240082ccee9bc092b8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"Consent",11,"In","JKILHAGBFCED",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF58963"
"1",1700757371872,"23/11/2023 16:36:11",1700757371872,0,"23/11/2023 16:36:11",152734,7,"questionnaire-1tsk",NA,33167458,9820752,NA,"rejected - time limit reached",NA,"655f7f63b006d3ba2d365e96","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1474x829","1466x674",NA,NA,0,"Consent",11,"In","KLJAIBHCGDFE",NA,"In",6,"1","1","1","1","1","1","1","1","1","1","MDPRF63935"
"1",1700757388419,"23/11/2023 16:36:28",1700757388419,0,"23/11/2023 16:36:28",152734,7,"questionnaire-1tsk",NA,33167481,9820756,NA,"rejected - time limit reached",NA,"655f7f89b910b6df06f3c02c","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1920x1080","1912x924",NA,NA,0,"Consent",11,"In","EFDGCHBIAJLK",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF30579"
"1",1700757817961,"23/11/2023 16:43:37",1700757817961,0,"23/11/2023 16:43:37",152734,7,"questionnaire-1tsk",NA,33168000,9820866,NA,"rejected - time limit reached",NA,"655f7dcba2d9e17d377c212a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1366x768","1165x587",NA,NA,0,"Consent",11,"In","ABLCKDJEIFHG",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF62013"
"1",1700757997149,"23/11/2023 16:46:37",1700757997149,0,"23/11/2023 16:46:37",152734,7,"questionnaire-1tsk",NA,33168173,9820908,NA,"rejected - time limit reached",NA,"655f81d30fbda4736850d2c1","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent",11,"In","BCADLEKFJGIH",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF18006"
"1",1700758057751,"23/11/2023 16:47:37",1700758057751,0,"23/11/2023 16:47:37",152734,7,"questionnaire-1tsk",NA,33168218,9820915,NA,"rejected - time limit reached",NA,"655f821c784084737cfa47f6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1920x1200","1821x983",NA,NA,0,"Consent",11,"In","CDBEAFLGKHJI",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF71871"
"1",1700758382419,"23/11/2023 16:53:02",1700758382419,0,"23/11/2023 16:53:02",152734,7,"questionnaire-1tsk",NA,33168482,9820987,NA,"rejected - time limit reached",NA,"655f83664c219c2e7e656e36","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x815",NA,NA,0,"Consent",11,"In","DECFBGAHLIKJ",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF77780"
"1",1700764037923,"23/11/2023 18:27:17",1700764037923,0,"23/11/2023 18:27:17",152734,7,"questionnaire-1tsk",NA,33171419,9821731,NA,"rejected - time limit reached",NA,"655f996826dab97e2e5df13e","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x739",NA,NA,0,"Consent",11,"In","FGEHDICJBKAL",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF60784"
"1",1700767443622,"23/11/2023 19:24:03",1700749443622,-5,"23/11/2023 09:24:03",152734,7,"questionnaire-1tsk",NA,33172822,9822108,NA,"rejected - time limit reached",NA,"655fa4a184706961654d5d6a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1475x830","1341x612",NA,NA,0,"Consent",11,"In","GHFIEJDKCLBA",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF81357"
