"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1700754792376,"23/11/2023 15:53:12",1700754792376,0,"23/11/2023 15:53:12",152734,7,"questionnaire-tzdp",NA,33166031,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",3,"1","2","MDPRF11898"
"1",1700755142331,"23/11/2023 15:59:02",1700755142331,0,"23/11/2023 15:59:02",152734,7,"questionnaire-tzdp",NA,33166205,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",4,"1","2","MDPRF16716"
"1",1700755789040,"23/11/2023 16:09:49",1700755789040,0,"23/11/2023 16:09:49",152734,7,"questionnaire-tzdp",NA,33166470,9820453,NA,"rejected - time limit reached",NA,"655f78fa490309aa27ba14b4","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"In",1,"1","2","MDPRF19699"
"1",1700756153498,"23/11/2023 16:15:53",1700756153498,0,"23/11/2023 16:15:53",152734,7,"questionnaire-tzdp",NA,33166624,9820510,NA,"rejected - time limit reached",NA,"655f7a4f2a94cd085a122ad7","computer","Desktop or Laptop","Mac OS 10.15.7","Opera 102.0.0.0","1280x800","1226x685",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In",3,"1","2","MDPRF16028"
"1",1700756231128,"23/11/2023 16:17:11",1700756231128,0,"23/11/2023 16:17:11",152734,7,"questionnaire-tzdp",NA,33166653,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",2,"1","2","MDPRF51004"
"1",1700756384475,"23/11/2023 16:19:44",1700756384475,0,"23/11/2023 16:19:44",152734,7,"questionnaire-tzdp",NA,33166701,9820544,NA,"rejected - time limit reached",NA,"655f7b5c9d2a85b02c5642bf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In",5,"1","2","MDPRF45887"
"1",1700756422799,"23/11/2023 16:20:22",1700756422799,0,"23/11/2023 16:20:22",152734,7,"questionnaire-tzdp",NA,33166731,9820558,NA,"rejected - time limit reached",NA,"655f7baa175f84ab15d9de27","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1528x750",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In",6,"1","2","MDPRF13926"
"1",1700756477043,"23/11/2023 16:21:17",1700756477043,0,"23/11/2023 16:21:17",152734,7,"questionnaire-tzdp",NA,33166760,9820513,NA,"rejected - time limit reached",NA,"655f7a7011ced56ce4d7f520","computer","Desktop or Laptop","Windows 10","Firefox 119.0","1920x1080","1920x955",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In",4,"1","2","MDPRF93300"
"1",1700756485358,"23/11/2023 16:21:25",1700734885358,-6,"23/11/2023 04:21:25",152734,7,"questionnaire-tzdp",NA,33166763,9820562,NA,"rejected - time limit reached",NA,"655f7bc4df8a36494422cf56","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x713",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"In",6,"1","2","MDPRF64809"
"1",1700756523820,"23/11/2023 16:22:03",1700756523820,0,"23/11/2023 16:22:03",152734,7,"questionnaire-tzdp",NA,33166783,9820571,NA,"rejected - time limit reached",NA,"655f7bf4cf8aa35058101177","computer","Desktop or Laptop","Windows 10","Edge 112.0.1722.48","1536x864","1479x746",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In",6,"1","2","MDPRF34905"
"1",1700756537076,"23/11/2023 16:22:17",1700756537076,0,"23/11/2023 16:22:17",152734,7,"questionnaire-tzdp",NA,33166790,9820575,NA,"rejected - time limit reached",NA,"655f7c166e5a84d3091d233c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1675x820",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"In",2,"1","2","MDPRF47708"
"1",1700756719121,"23/11/2023 16:25:19",1700756719121,0,"23/11/2023 16:25:19",152734,7,"questionnaire-tzdp",NA,33166916,9820587,NA,"rejected - time limit reached",NA,"655f7c7d9d26f5c31efdd2ba","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x782",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",1,"1","2","MDPRF33623"
"1",1700756730203,"23/11/2023 16:25:30",1700756730203,0,"23/11/2023 16:25:30",152734,7,"questionnaire-tzdp",NA,33166926,9820605,NA,"rejected - time limit reached",NA,"655f7c21ffed10f65ad158f8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",3,"1","2","MDPRF14182"
"1",1700756772981,"23/11/2023 16:26:12",1700756772981,0,"23/11/2023 16:26:12",152734,7,"questionnaire-tzdp",NA,33166953,9820614,NA,"rejected - time limit reached",NA,"655f7cee341aac1418144400","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x800","1280x643",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",6,"1","2","MDPRF71080"
"1",1700756847234,"23/11/2023 16:27:27",1700756847234,0,"23/11/2023 16:27:27",152734,7,"questionnaire-tzdp",NA,33166992,9820629,NA,"rejected - time limit reached",NA,"655f7d434e594145ce7d6d24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1280x832","1280x715",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"In",5,"1","2","MDPRF91873"
"1",1700756856337,"23/11/2023 16:27:36",1700756856337,0,"23/11/2023 16:27:36",152734,7,"questionnaire-tzdp",NA,33167000,9820625,NA,"rejected - time limit reached",NA,"655f7bfa11ced56ce4d7f577","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x698",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In",2,"1","2","MDPRF52836"
"1",1700757032853,"23/11/2023 16:30:32",1700757032853,0,"23/11/2023 16:30:32",152734,7,"questionnaire-tzdp",NA,33167100,9820649,NA,"rejected - time limit reached",NA,"655f7dddb006d3ba2d365e63","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1363x609",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",4,"1","2","MDPRF38237"
"1",1700757084330,"23/11/2023 16:31:24",1700757084330,0,"23/11/2023 16:31:24",152734,7,"questionnaire-tzdp",NA,33167129,9820664,NA,"rejected - time limit reached",NA,"655f7d4c53bc8bdaae61f03d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1920x1080","1280x637",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In",5,"1","2","MDPRF51524"
"1",1700757139388,"23/11/2023 16:32:19",1700757139388,0,"23/11/2023 16:32:19",152734,7,"questionnaire-tzdp",NA,33167173,9820673,NA,"rejected - time limit reached",NA,"655f7e5457bf9a1d80f7bbca","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In",3,"1","2","MDPRF74794"
"1",1700757174385,"23/11/2023 16:32:54",1700757174385,0,"23/11/2023 16:32:54",152734,7,"questionnaire-tzdp",NA,33167203,9820679,NA,"rejected - time limit reached",NA,"655f7e9ad98c15d4e9c05ed5","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In",2,"1","2","MDPRF73709"
"1",1700757203518,"23/11/2023 16:33:23",1700757203518,0,"23/11/2023 16:33:23",152734,7,"questionnaire-tzdp",NA,33167231,9820685,NA,"rejected - time limit reached",NA,"655f7ea4535ac2cc599ed824","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",4,"1","2","MDPRF34589"
"1",1700757359311,"23/11/2023 16:35:59",1700757359311,0,"23/11/2023 16:35:59",152734,7,"questionnaire-tzdp",NA,33167443,9820722,NA,"rejected - time limit reached",NA,"655f7f240082ccee9bc092b8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In",1,"1","2","MDPRF58963"
"1",1700757400697,"23/11/2023 16:36:40",1700757400697,0,"23/11/2023 16:36:40",152734,7,"questionnaire-tzdp",NA,33167494,9820752,NA,"rejected - time limit reached",NA,"655f7f63b006d3ba2d365e96","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1474x829","1466x674",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"In",6,"1","2","MDPRF63935"
"1",1700757422714,"23/11/2023 16:37:02",1700757422714,0,"23/11/2023 16:37:02",152734,7,"questionnaire-tzdp",NA,33167527,9820756,NA,"rejected - time limit reached",NA,"655f7f89b910b6df06f3c02c","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1920x1080","1912x924",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",4,"1","2","MDPRF30579"
"1",1700757843467,"23/11/2023 16:44:03",1700757843467,0,"23/11/2023 16:44:03",152734,7,"questionnaire-tzdp",NA,33168030,9820866,NA,"rejected - time limit reached",NA,"655f7dcba2d9e17d377c212a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1366x768","1165x587",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",5,"1","2","MDPRF62013"
"1",1700758009356,"23/11/2023 16:46:49",1700758009356,0,"23/11/2023 16:46:49",152734,7,"questionnaire-tzdp",NA,33168183,9820908,NA,"rejected - time limit reached",NA,"655f81d30fbda4736850d2c1","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",3,"1","2","MDPRF18006"
"1",1700758080125,"23/11/2023 16:48:00",1700758080125,0,"23/11/2023 16:48:00",152734,7,"questionnaire-tzdp",NA,33168235,9820915,NA,"rejected - time limit reached",NA,"655f821c784084737cfa47f6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1920x1200","1821x983",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"In",2,"1","2","MDPRF71871"
