"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1700755342286,"23/11/2023 16:02:22",1700755342286,0,"23/11/2023 16:02:22",152734,7,"questionnaire-qxhw",NA,33166283,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","1920x1083",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In",3,"1-0","1","MDPRF11898"
"1",1700756211862,"23/11/2023 16:16:51",1700756211862,0,"23/11/2023 16:16:51",152734,7,"questionnaire-qxhw",NA,33166646,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",4,"1-0","1","MDPRF16716"
"1",1700756616035,"23/11/2023 16:23:36",1700756616035,0,"23/11/2023 16:23:36",152734,7,"questionnaire-qxhw",NA,33166831,9820453,NA,"rejected - time limit reached",NA,"655f78fa490309aa27ba14b4","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In",1,"1-0","1","MDPRF19699"
"1",1700757128950,"23/11/2023 16:32:08",1700757128950,0,"23/11/2023 16:32:08",152734,7,"questionnaire-qxhw",NA,33167164,9820558,NA,"rejected - time limit reached",NA,"655f7baa175f84ab15d9de27","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1528x750",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In",6,"1-0","1","MDPRF13926"
"1",1700757150789,"23/11/2023 16:32:30",1700757150789,0,"23/11/2023 16:32:30",152734,7,"questionnaire-qxhw",NA,33167181,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In",2,"1-0","1","MDPRF51004"
"1",1700757200315,"23/11/2023 16:33:20",1700757200315,0,"23/11/2023 16:33:20",152734,7,"questionnaire-qxhw",NA,33167230,9820544,NA,"rejected - time limit reached",NA,"655f7b5c9d2a85b02c5642bf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In",5,"1-0","1","MDPRF45887"
"1",1700757253364,"23/11/2023 16:34:13",1700757253364,0,"23/11/2023 16:34:13",152734,7,"questionnaire-qxhw",NA,33167294,9820587,NA,"rejected - time limit reached",NA,"655f7c7d9d26f5c31efdd2ba","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x782",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"In",1,"1-0","1","MDPRF33623"
"1",1700757271666,"23/11/2023 16:34:31",1700757271666,0,"23/11/2023 16:34:31",152734,7,"questionnaire-qxhw",NA,33167317,9820575,NA,"rejected - time limit reached",NA,"655f7c166e5a84d3091d233c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1675x820",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"In",2,"1-0","1","MDPRF47708"
"1",1700757282846,"23/11/2023 16:34:42",1700757282846,0,"23/11/2023 16:34:42",152734,7,"questionnaire-qxhw",NA,33167334,9820513,NA,"rejected - time limit reached",NA,"655f7a7011ced56ce4d7f520","computer","Desktop or Laptop","Windows 10","Firefox 119.0","1920x1080","1920x955",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In",4,"1-0","1","MDPRF93300"
"1",1700757328605,"23/11/2023 16:35:28",1700757328605,0,"23/11/2023 16:35:28",152734,7,"questionnaire-qxhw",NA,33167395,9820629,NA,"rejected - time limit reached",NA,"655f7d434e594145ce7d6d24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1280x832","1280x715",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In",5,"1-0","1","MDPRF91873"
