"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"3",1701952081103,"07/12/2023 12:28:01",1701952081088,0,"07/12/2023 12:28:01",152734,16,"task-9qxs",NA,33514988,9922635,NA,"complete",NA,"6571b64971deefe0f6a6b775","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1123x632","1123x481",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",3538.90000000596,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF46587"
"4",1701952081267,"07/12/2023 12:28:01",1701952081093,0,"07/12/2023 12:28:01",152734,16,"task-9qxs",NA,33514988,9922635,NA,"complete",NA,"6571b64971deefe0f6a6b775","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1123x632","1123x481",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",26846,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF46587"
"1",1701952180294,"07/12/2023 12:29:40",1701952181399,0,"07/12/2023 12:29:41",152734,16,"task-9qxs",NA,33515066,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF73934"
"2",1701952186423,"07/12/2023 12:29:46",1701952187581,0,"07/12/2023 12:29:47",152734,16,"task-9qxs",NA,33515066,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",5753,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF73934"
"3",1701952189897,"07/12/2023 12:29:49",1701952191054,0,"07/12/2023 12:29:51",152734,16,"task-9qxs",NA,33515066,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",3466,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF73934"
"4",1701952189950,"07/12/2023 12:29:49",1701952191058,0,"07/12/2023 12:29:51",152734,16,"task-9qxs",NA,33515066,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",9659,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF73934"
"1",1701952545329,"07/12/2023 12:35:45",1701952557525,0,"07/12/2023 12:35:57",152734,16,"task-9qxs",NA,33515292,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF65573"
"2",1701952553736,"07/12/2023 12:35:53",1701952565971,0,"07/12/2023 12:36:05",152734,16,"task-9qxs",NA,33515292,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",8335.79999995232,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF65573"
"3",1701952555393,"07/12/2023 12:35:55",1701952567633,0,"07/12/2023 12:36:07",152734,16,"task-9qxs",NA,33515292,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",1656.19999980927,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF65573"
"4",1701952555443,"07/12/2023 12:35:55",1701952567635,0,"07/12/2023 12:36:07",152734,16,"task-9qxs",NA,33515292,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",10110,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF65573"
