"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"11",1701951446341,"07/12/2023 12:17:26",1701951446341,0,"07/12/2023 12:17:26",152734,16,"questionnaire-uu2n",NA,33514510,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",4295.6,9274.6,9287.59999998808,4295.6,9274.6,9287.59999998808,1,4295.6,4991.99999998808,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF12467"
"12",1701951446342,"07/12/2023 12:17:26",1701951446342,0,"07/12/2023 12:17:26",152734,16,"questionnaire-uu2n",NA,33514510,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",7193.1,9274.6,9288.30000000596,7193.1,9274.6,9288.30000000596,1,7193.1,2095.20000000596,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF12467"
"13",1701951446343,"07/12/2023 12:17:26",1701951446343,0,"07/12/2023 12:17:26",152734,16,"questionnaire-uu2n",NA,33514510,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",8691.5,9274.6,9289.09999998808,8691.5,9274.6,9289.09999998808,1,8691.5,597.59999998808,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF12467"
"14",1701951446347,"07/12/2023 12:17:26",1701951446347,0,"07/12/2023 12:17:26",152734,16,"questionnaire-uu2n",NA,33514510,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF12467"
"1",1701951430635,"07/12/2023 12:17:10",1701951430635,0,"07/12/2023 12:17:10",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF71538"
"2",1701951447035,"07/12/2023 12:17:27",1701951447035,0,"07/12/2023 12:17:27",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",16401,16399.1,16401,16401,16399.1,16401,1,16401,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF71538"
"3",1701951447036,"07/12/2023 12:17:27",1701951447036,0,"07/12/2023 12:17:27",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",7918,16399.1,16404,7918,16399.1,16404,1,7918,8486,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF71538"
"4",1701951447036,"07/12/2023 12:17:27",1701951447036,0,"07/12/2023 12:17:27",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",12144.7,16399.1,16404.200000003,12144.7,16399.1,16404.200000003,1,12144.7,4259.50000000298,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF71538"
"5",1701951447037,"07/12/2023 12:17:27",1701951447037,0,"07/12/2023 12:17:27",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",14612.5,16399.1,16404.400000006,14612.5,16399.1,16404.400000006,1,14612.5,1791.90000000596,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF71538"
"6",1701951456272,"07/12/2023 12:17:36",1701951456272,0,"07/12/2023 12:17:36",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",9240.80000000596,9238.8,9240.80000000596,9240.80000000596,9238.8,9240.80000000596,1,9240.80000000596,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF71538"
