"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1701951568315,"07/12/2023 12:19:28",1701951568315,0,"07/12/2023 12:19:28",152734,16,"questionnaire-qxhw",NA,33514626,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In","1-0","1","MDPRF71538"
"1",1701951621062,"07/12/2023 12:20:21",1701951621062,0,"07/12/2023 12:20:21",152734,16,"questionnaire-qxhw",NA,33514663,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In","1-0","1","MDPRF12467"
"1",1701952082572,"07/12/2023 12:28:02",1701952082572,0,"07/12/2023 12:28:02",152734,16,"questionnaire-qxhw",NA,33515002,9922635,NA,"complete",NA,"6571b64971deefe0f6a6b775","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1123x632","1123x481",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In","1-0","1","MDPRF46587"
"1",1701952192185,"07/12/2023 12:29:52",1701952192185,0,"07/12/2023 12:29:52",152734,16,"questionnaire-qxhw",NA,33515072,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In","1-0","1","MDPRF73934"
"1",1701952568541,"07/12/2023 12:36:08",1701952568541,0,"07/12/2023 12:36:08",152734,16,"questionnaire-qxhw",NA,33515302,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In","1-0","1","MDPRF65573"
"1",1701952568500,"07/12/2023 12:36:08",1701952568500,0,"07/12/2023 12:36:08",152734,16,"questionnaire-qxhw",NA,33515315,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In","1-0","1","MDPRF44703"
"1",1701953572499,"07/12/2023 12:52:52",1701953572499,0,"07/12/2023 12:52:52",152734,16,"questionnaire-qxhw",NA,33516132,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In","1-0","1","MDPRF72836"
"1",1701953768010,"07/12/2023 12:56:08",1701953768010,0,"07/12/2023 12:56:08",152734,16,"questionnaire-qxhw",NA,33516285,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"In","1-0","1","MDPRF80741"
"1",1701953816438,"07/12/2023 12:56:56",1701953816438,0,"07/12/2023 12:56:56",152734,16,"questionnaire-qxhw",NA,33516324,9922862,NA,"complete",NA,"6571bc5b6be4a1b0f2c49204","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1366x768","1366x649",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In","1-0","1","MDPRF30660"
"1",1701957065970,"07/12/2023 13:51:05",1701957065970,0,"07/12/2023 13:51:05",152734,16,"questionnaire-qxhw",NA,33517820,9923458,NA,"complete",NA,"6571cb4bdeac88baee068bc7","computer","Desktop or Laptop","Windows 10","Firefox 120.0","1600x900","1600x766",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"In","1-0","1","MDPRF43489"
