"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1701951087035,"07/12/2023 12:11:27",1701951087035,0,"07/12/2023 12:11:27",152734,16,"questionnaire-tzdp",NA,33514334,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In","1","2","MDPRF71538"
"1",1701951089031,"07/12/2023 12:11:29",1701951089031,0,"07/12/2023 12:11:29",152734,16,"questionnaire-tzdp",NA,33514335,9922635,NA,"complete",NA,"6571b64971deefe0f6a6b775","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1123x632","898x385",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In","1","2","MDPRF46587"
"1",1701951163663,"07/12/2023 12:12:43",1701951163663,0,"07/12/2023 12:12:43",152734,16,"questionnaire-tzdp",NA,33514387,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"In","1","2","MDPRF12467"
"1",1701951466673,"07/12/2023 12:17:46",1701951466673,0,"07/12/2023 12:17:46",152734,16,"questionnaire-tzdp",NA,33514555,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In","1","2","MDPRF73934"
"1",1701951731097,"07/12/2023 12:22:11",1701951731097,0,"07/12/2023 12:22:11",152734,16,"questionnaire-tzdp",NA,33514729,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In","1","2","MDPRF44703"
"1",1701952004421,"07/12/2023 12:26:44",1701952004421,0,"07/12/2023 12:26:44",152734,16,"questionnaire-tzdp",NA,33514949,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In","1","2","MDPRF65573"
"1",1701952370776,"07/12/2023 12:32:50",1701952370776,0,"07/12/2023 12:32:50",152734,16,"questionnaire-tzdp",NA,33515172,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In","1","2","MDPRF72836"
"1",1701952682170,"07/12/2023 12:38:02",1701952682170,0,"07/12/2023 12:38:02",152734,16,"questionnaire-tzdp",NA,33515404,9922862,NA,"complete",NA,"6571bc5b6be4a1b0f2c49204","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1366x768","1366x649",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In","1","2","MDPRF30660"
"1",1701952807808,"07/12/2023 12:40:07",1701952807808,0,"07/12/2023 12:40:07",152734,16,"questionnaire-tzdp",NA,33515503,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"In","1","2","MDPRF80741"
"1",1701956514437,"07/12/2023 13:41:54",1701956514437,0,"07/12/2023 13:41:54",152734,16,"questionnaire-tzdp",NA,33517573,9923458,NA,"complete",NA,"6571cb4bdeac88baee068bc7","computer","Desktop or Laptop","Windows 10","Firefox 120.0","1600x900","1600x766",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In","1","2","MDPRF43489"
