"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"248",1701954960264,"07/12/2023 13:16:00",1701954960264,0,"07/12/2023 13:16:00",152734,16,"task-nxrg",NA,33516139,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Rest + Money + Mood rating",34,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet6",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF72836"
"1",1701953778685,"07/12/2023 12:56:18",1701953778685,0,"07/12/2023 12:56:18",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"2",1701953790921,"07/12/2023 12:56:30",1701953790921,0,"07/12/2023 12:56:30",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"Instructions","Screen 1","ddykq7",1,"continue","",12258.2210000001,12247.407,12258.2210000001,12258.2210000001,12247.407,12258.2210000001,1,12258.2210000001,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"3",1701953925642,"07/12/2023 12:58:45",1701953925642,0,"07/12/2023 12:58:45",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"Instructions","Screen 2","dcmmer",2,"continue","",134731.414,134721.385,134731.414,134731.414,134721.385,134731.414,1,134731.414,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"4",1701953929599,"07/12/2023 12:58:49",1701953929599,0,"07/12/2023 12:58:49",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"Instructions","Screen 3","ntxvt6",3,"continue","",3968.02900000018,3965.83299999998,3968.02900000018,3968.02900000018,3965.83299999998,3968.02900000018,1,3968.02900000018,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"5",1701953933308,"07/12/2023 12:58:53",1701953933308,0,"07/12/2023 12:58:53",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"Rating","Screen 1","poh9ia",1,"continue","",3710.09600000011,3699.20800000001,3710.09600000011,3710.09600000011,3699.20800000001,3710.09600000011,1,3710.09600000011,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"6",1701953933309,"07/12/2023 12:58:53",1701953933309,0,"07/12/2023 12:58:53",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"Rating","Screen 1","poh9ia",1,"response","17",2599.42800000001,3699.20800000001,3711.49600000001,2599.42800000001,3699.20800000001,3711.49600000001,1,2599.42800000001,1112.068,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"7",1701953935840,"07/12/2023 12:58:55",1701953935840,0,"07/12/2023 12:58:55",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",2,"Rating","Screen 1","poh9ia",1,"continue","",2543.38800000009,2532.802,2543.38800000009,2543.38800000009,2532.802,2543.38800000009,1,2543.38800000009,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"8",1701953935840,"07/12/2023 12:58:55",1701953935840,0,"07/12/2023 12:58:55",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",2,"Rating","Screen 1","poh9ia",1,"response","5",1582.989,2532.802,2543.98800000019,1582.989,2532.802,2543.98800000019,1,1582.989,960.999000000185,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"9",1701953938081,"07/12/2023 12:58:58",1701953938081,0,"07/12/2023 12:58:58",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",3,"Rating","Screen 1","poh9ia",1,"continue","",2251.486,2249.522,2251.486,2251.486,2249.522,2251.486,1,2251.486,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"10",1701953938081,"07/12/2023 12:58:58",1701953938081,0,"07/12/2023 12:58:58",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",3,"Rating","Screen 1","poh9ia",1,"response","83",1499.66500000001,2249.522,2252.0860000001,1499.66500000001,2249.522,2252.0860000001,1,1499.66500000001,752.421000000089,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF80741"
"11",1701953943089,"07/12/2023 12:59:03",1701953943089,0,"07/12/2023 12:59:03",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"FortuneH","Screen 1","aigyx5",1,"timedOut","",5008.46400000001,4998.91500000001,5008.46400000001,5008.46400000001,4998.91500000001,5008.46400000001,1,5008.46400000001,0,0,NA,"Time Limit","screen",0,"screen","FortuneH","","","",NA,NA,3,NA,3,NA,NA,3,NA,NA,"MDPRF80741"
"12",1701953946221,"07/12/2023 12:59:06",1701953946221,0,"07/12/2023 12:59:06",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",4,"Rating","Screen 1","poh9ia",1,"continue","",3143.549,3132.68700000001,3143.549,3143.549,3132.68700000001,3143.549,1,3143.549,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
