getAnswerDur,showChoiceDur,showResultDur,isiDur,itiDur,iriDur,rpeHighMax,rpeLowMax,pCongruent,maxIncongInARow,blockCond,participant,session,condition,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_8.keys,key_resp_8.rt,rating_all_t.response,rating_all_t.rt,rating_all_t.tStart,rndRatTrial.thisRepN,rndRatTrial.thisTrialN,rndRatTrial.thisN,rndRatTrial.thisIndex,rndRatTrial.ran,Emo,Labs,Labs2,key_resp_9.keys,key_resp_9.rt,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,key_resp_5.keys,key_resp_5.rt,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,key_resp_6.keys,key_resp_6.rt,rating_alt_2.response,rating_alt_2.rt,AltC2.thisRepN,AltC2.thisTrialN,AltC2.thisN,AltC2.thisIndex,AltC2.ran,alt_choices2,pic_choices2,TopAlt_Choice2,rndRat4.thisRepN,rndRat4.thisTrialN,rndRat4.thisN,rndRat4.thisIndex,rndRat4.ran,key_resp_7.keys,key_resp_7.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,currSlide,currImage,currText,OC2Loop.thisRepN,OC2Loop.thisTrialN,OC2Loop.thisN,OC2Loop.thisIndex,OC2Loop.ran,targetHappiness,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,choiceKey.keys,rndRat5.thisRepN,rndRat5.thisTrialN,rndRat5.thisN,rndRat5.thisIndex,rndRat5.ran,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,trialLoop.ran,highAmount,finalWinnings,cashBonus,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,logWinningsLoop.ran
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,84.07407407,2.5932,2.0017,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.0304,space,2.3547,66.11111111,0.9053,0,0,0,0,1,rest (looking at a fixed cross),001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.48148148,0.9962,0,1,1,1,1,stand up,002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.44444444,1.8291,0,2,2,2,1,stretch,003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.62962963,0.9766,0,3,3,3,1,make a drink,004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.07407407,0.9661,0,4,4,4,1,scroll social media,005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.18518519,0.8224,0,5,5,5,1,listen to music,006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55555556,0.9298,0,6,6,6,1,daydream,007.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7037037,0.9494,0,7,7,7,1,watch a short animation,008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.77777778,0.9576,0,8,8,8,1,read a novel,009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.59259259,0.897,0,9,9,9,1,read the news,010.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.37037037,1.6601,0,10,10,10,1,gambling game,011.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,64.81481481,6.2562,2.0016,,,,,,,,,,,,,,,,,,,listen to music,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,65.37037037,2.7026,2.0017,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,65.18518519,2.8753,2.0018,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,61.48148148,3.5726,2.0008,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6589,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,63.7037037,2.704,2.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,74.25925926,3.0052,2.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,69.44444444,3.0628,2.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,55.18518519,5.8924,2.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,68.7037037,3.0029,2.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,72.77777778,6.1201,2.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,63.7037037,2.7483,2.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,75.74074074,2.8767,2.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,,,2.003,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,,,2.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,,,2.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,77.22222222,3.7247,2.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,,,9.1798,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,,,5.0595,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,79.07407407,4.3608,2.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,64.44444444,4.0369,2.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,bored,"bored, not bored","more bored, less bored",,,72.96296296,3.6271,2.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",,,72.59259259,3.1467,2.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63234fefe5521a944420a20f,2CEC8048-6FFE-4DB6-90CB-69534D837D12,0,2023-08-27_23h21.08.950,Pilot_VExplicitOC_RG,2022.2.5,Win32,237.6425856,,,,,,,,,,,,,,,happy,"unhappy, happy","less happy, more happy",,,72.40740741,2.6605,2.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
