"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1727177902741,"24/09/2024 11:38:22",1727177908424,1,"24/09/2024 12:38:28",187387,9,"task-9qxs",NA,40224702,11744027,NA,"complete",NA,"66f2a319f730ecf1c5ee26f5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1710x1107","1710x860",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHKIJ",NA,"In","MH_OCT","seq4","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF67386"
"2",1727177909229,"24/09/2024 11:38:29",1727177914953,1,"24/09/2024 12:38:34",187387,9,"task-9qxs",NA,40224702,11744027,NA,"complete",NA,"66f2a319f730ecf1c5ee26f5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1710x1107","1710x860",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHKIJ",NA,"In","MH_OCT","seq4","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",6411.5,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF67386"
"3",1727177910814,"24/09/2024 11:38:30",1727177916532,1,"24/09/2024 12:38:36",187387,9,"task-9qxs",NA,40224702,11744027,NA,"complete",NA,"66f2a319f730ecf1c5ee26f5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1710x1107","1710x860",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHKIJ",NA,"In","MH_OCT","seq4","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",1570.79999999981,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF67386"
"4",1727177910857,"24/09/2024 11:38:30",1727177916535,1,"24/09/2024 12:38:36",187387,9,"task-9qxs",NA,40224702,11744027,NA,"complete",NA,"66f2a319f730ecf1c5ee26f5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1710x1107","1710x860",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHKIJ",NA,"In","MH_OCT","seq4","Spreadsheet1","",NA,"END TASK",NA,"","","",8111,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF67386"
"1",1727178103334,"24/09/2024 11:41:43",1727178104329,1,"24/09/2024 12:41:44",187387,9,"task-9qxs",NA,40224792,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x743","1536x735",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF10753"
"2",1727178119042,"24/09/2024 11:41:59",1727178120084,1,"24/09/2024 12:42:00",187387,9,"task-9qxs",NA,40224792,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x743","1536x735",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",15532,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF10753"
"3",1727178126303,"24/09/2024 11:42:06",1727178127336,1,"24/09/2024 12:42:07",187387,9,"task-9qxs",NA,40224792,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x743","1536x735",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",7248,NA,"Enter Key","snake ",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF10753"
"4",1727178126361,"24/09/2024 11:42:06",1727178127339,1,"24/09/2024 12:42:07",187387,9,"task-9qxs",NA,40224792,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x743","1536x735",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Spreadsheet1","",NA,"END TASK",NA,"","","",23010,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF10753"
"1",1727178385459,"24/09/2024 11:46:25",1727178368895,1,"24/09/2024 12:46:08",187387,9,"task-9qxs",NA,40224938,11744030,NA,"complete",NA,"66f2a2e28fe4ad12490ea906","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1504x1003","1504x915",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF51568"
"2",1727178394119,"24/09/2024 11:46:34",1727178377595,1,"24/09/2024 12:46:17",187387,9,"task-9qxs",NA,40224938,11744030,NA,"complete",NA,"66f2a2e28fe4ad12490ea906","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1504x1003","1504x915",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",8385.5,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF51568"
