"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"2",1727958644166,"03/10/2024 12:30:44",1727958640951,1,"03/10/2024 13:30:40",187387,10,"task-9qxs",NA,40420154,11793994,NA,"complete",NA,"66fe8cda869701c5aefe19b4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x800","1280x712",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",12512.5,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF24801"
"3",1727958646608,"03/10/2024 12:30:46",1727958643397,1,"03/10/2024 13:30:43",187387,10,"task-9qxs",NA,40420154,11793994,NA,"complete",NA,"66fe8cda869701c5aefe19b4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x800","1280x712",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",2440.29999999702,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF24801"
"4",1727958646707,"03/10/2024 12:30:46",1727958643401,1,"03/10/2024 13:30:43",187387,10,"task-9qxs",NA,40420154,11793994,NA,"complete",NA,"66fe8cda869701c5aefe19b4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x800","1280x712",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",15161,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF24801"
"1",1727958654154,"03/10/2024 12:30:54",1727958650498,-4,"03/10/2024 08:30:50",187387,10,"task-9qxs",NA,40420171,11793952,NA,"complete",NA,"66fe8a4750522a95c2975a7c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x599",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF75922"
"2",1727958665066,"03/10/2024 12:31:05",1727958660562,-4,"03/10/2024 08:31:00",187387,10,"task-9qxs",NA,40420171,11793952,NA,"complete",NA,"66fe8a4750522a95c2975a7c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x599",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",9734.70000004768,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF75922"
"3",1727958670580,"03/10/2024 12:31:10",1727958666966,-4,"03/10/2024 08:31:06",187387,10,"task-9qxs",NA,40420171,11793952,NA,"complete",NA,"66fe8a4750522a95c2975a7c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x599",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",6358.59999990463,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF75922"
"4",1727958670995,"03/10/2024 12:31:10",1727958666973,-4,"03/10/2024 08:31:06",187387,10,"task-9qxs",NA,40420171,11793952,NA,"complete",NA,"66fe8a4750522a95c2975a7c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x599",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","Spreadsheet1","",NA,"END TASK",NA,"","","",16476,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF75922"
"1",1727958682623,"03/10/2024 12:31:22",1727958682526,1,"03/10/2024 13:31:22",187387,10,"task-9qxs",NA,40420191,11794006,NA,"complete",NA,"66fe8d671ce61b9285b53bb7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF46232"
"2",1727958687336,"03/10/2024 12:31:27",1727958687266,1,"03/10/2024 13:31:27",187387,10,"task-9qxs",NA,40420191,11794006,NA,"complete",NA,"66fe8d671ce61b9285b53bb7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",4531.5,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF46232"
"3",1727958690115,"03/10/2024 12:31:30",1727958690058,1,"03/10/2024 13:31:30",187387,10,"task-9qxs",NA,40420191,11794006,NA,"complete",NA,"66fe8d671ce61b9285b53bb7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",2778.90000000596,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF46232"
