"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1727776414642,"01/10/2024 09:53:34",1727780014642,1,"01/10/2024 11:53:34",187387,10,"questionnaire-tzdp",NA,40368535,11781395,NA,"complete",NA,"66fbc60f6b27efb75f5be50c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","1","2","MDPRF31511"
"1",1727776456184,"01/10/2024 09:54:16",1727780056184,1,"01/10/2024 11:54:16",187387,10,"questionnaire-tzdp",NA,40368577,11781402,NA,"complete",NA,"66fbc3fd95f652baf0c00330","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x720","1280x533",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","1","2","MDPRF84235"
"1",1727776481625,"01/10/2024 09:54:41",1727780081625,1,"01/10/2024 11:54:41",187387,10,"questionnaire-tzdp",NA,40368600,11781403,NA,"complete",NA,"66fbc688a823e262d135a76c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","1","2","MDPRF93384"
"1",1727776527542,"01/10/2024 09:55:27",1727780127542,1,"01/10/2024 11:55:27",187387,10,"questionnaire-tzdp",NA,40368637,11781408,NA,"complete",NA,"66fbc6ecdc4444c5e5b76082","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x742",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq5","1","2","MDPRF45254"
"1",1727776545152,"01/10/2024 09:55:45",1727780145152,1,"01/10/2024 11:55:45",187387,10,"questionnaire-tzdp",NA,40368646,11781409,NA,"complete",NA,"66fbc6b231076f4efe4a6b71","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","MH_OCT","seq1","1","2","MDPRF55920"
"1",1727776640541,"01/10/2024 09:57:20",1727780240541,1,"01/10/2024 11:57:20",187387,10,"questionnaire-tzdp",NA,40368730,11781433,NA,"complete",NA,"66fbc7565bc026507baccafd","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1313",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","1","2","MDPRF93965"
"1",1727776718382,"01/10/2024 09:58:38",1727780318382,1,"01/10/2024 11:58:38",187387,10,"questionnaire-tzdp",NA,40368783,11781439,NA,"complete",NA,"66fbc78eebebaee0d0e67823","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 126.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq1","1","2","MDPRF93913"
"1",1727776729794,"01/10/2024 09:58:49",1727780329794,1,"01/10/2024 11:58:49",187387,10,"questionnaire-tzdp",NA,40368793,11781437,NA,"complete",NA,"66fbc6f7a664767cba4cb737","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1728x1117","1728x958",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq4","1","2","MDPRF43675"
"1",1727776917715,"01/10/2024 10:01:57",1727780517715,1,"01/10/2024 12:01:57",187387,10,"questionnaire-tzdp",NA,40368894,11781453,NA,"complete",NA,"66fbc7ff987cf0579621871f","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1707x960","1707x791",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq4","1","2","MDPRF36144"
"1",1727777193558,"01/10/2024 10:06:33",1727780793558,1,"01/10/2024 12:06:33",187387,10,"questionnaire-tzdp",NA,40369065,11781484,NA,"complete",NA,"66fbc6d2904225e7f7046fe6","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1334x868",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq1","1","2","MDPRF74611"
"1",1727777252585,"01/10/2024 10:07:32",1727780852585,1,"01/10/2024 12:07:32",187387,10,"questionnaire-tzdp",NA,40369103,11781488,NA,"complete",NA,"66fbc9907c7da77e60185c0b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","1","2","MDPRF11650"
"1",1727777328797,"01/10/2024 10:08:48",1727780928797,1,"01/10/2024 12:08:48",187387,10,"questionnaire-tzdp",NA,40369153,11781494,NA,"complete",NA,"66fbc9ea0c4936d912036f24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq3","1","2","MDPRF25901"
"1",1727777507403,"01/10/2024 10:11:47",1727781107403,1,"01/10/2024 12:11:47",187387,10,"questionnaire-tzdp",NA,40369311,11781533,NA,"complete",NA,"66fbc8aa248c042b63095a59","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x788",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq5","1","2","MDPRF99900"
"1",1727777608389,"01/10/2024 10:13:28",1727781208389,1,"01/10/2024 12:13:28",187387,10,"questionnaire-tzdp",NA,40369418,11781541,NA,"complete",NA,"66fbcaf67c7da77e60185c62","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","1","2","MDPRF91520"
"1",1727778268341,"01/10/2024 10:24:28",1727781868341,1,"01/10/2024 12:24:28",187387,10,"questionnaire-tzdp",NA,40369811,11781485,NA,"complete",NA,"66fbc7ac275a543b099dbb8e","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","1","2","MDPRF82114"
"1",1727778297356,"01/10/2024 10:24:57",1727781897356,1,"01/10/2024 12:24:57",187387,10,"questionnaire-tzdp",NA,40369825,11781614,NA,"complete",NA,"66fbcd9db3e34c35f2cbac1e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x680",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq3","1","2","MDPRF03327"
"1",1727778590799,"01/10/2024 10:29:50",1727782190799,1,"01/10/2024 12:29:50",187387,10,"questionnaire-tzdp",NA,40369966,11781652,NA,"complete",NA,"66fbcabb8ba1d400e8c0e32f","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq4","1","2","MDPRF00542"
"1",1727795741657,"01/10/2024 15:15:41",1727799341657,1,"01/10/2024 17:15:41",187387,10,"questionnaire-tzdp",NA,40379135,11784045,NA,"complete",NA,"66fc11feab8f800a81173b1e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1512x982","1339x747",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq5","1","2","MDPRF62253"
"1",1727796134435,"01/10/2024 15:22:14",1727799734435,1,"01/10/2024 17:22:14",187387,10,"questionnaire-tzdp",NA,40379380,11784098,NA,"complete",NA,"66fc133637854a1a1141fc47","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq2","1","2","MDPRF12149"
"1",1727796179840,"01/10/2024 15:22:59",1727799779840,1,"01/10/2024 17:22:59",187387,10,"questionnaire-tzdp",NA,40379400,11784102,NA,"complete",NA,"66fc13aaab9da3b917869a5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq3","1","2","MDPRF52805"
"1",1727796229313,"01/10/2024 15:23:49",1727799829313,1,"01/10/2024 17:23:49",187387,10,"questionnaire-tzdp",NA,40379414,11784104,NA,"complete",NA,"66fc13b0433712a2fd85b252","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq5","1","2","MDPRF44343"
"1",1727796217542,"01/10/2024 15:23:37",1727799817542,1,"01/10/2024 17:23:37",187387,10,"questionnaire-tzdp",NA,40379420,11784107,NA,"complete",NA,"66fc13bc0ba5d6f850803e1b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq1","1","2","MDPRF85491"
"1",1727796341165,"01/10/2024 15:25:41",1727799941165,1,"01/10/2024 17:25:41",187387,10,"questionnaire-tzdp",NA,40379490,11784125,NA,"complete",NA,"66fc137d8f43f378b78c4266","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","MH_OCT","seq3","1","2","MDPRF22506"
"1",1727796431816,"01/10/2024 15:27:11",1727800031816,1,"01/10/2024 17:27:11",187387,10,"questionnaire-tzdp",NA,40379529,11784130,NA,"complete",NA,"66fc1495b57242f3986b9937","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1739x979","1740x857",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq5","1","2","MDPRF10707"
"1",1727796486382,"01/10/2024 15:28:06",1727800086382,1,"01/10/2024 17:28:06",187387,10,"questionnaire-tzdp",NA,40379568,11784136,NA,"complete",NA,"66fc1411657c9ac37b29c67b","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x800","1280x665",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq1","1","2","MDPRF97151"
"1",1727796526220,"01/10/2024 15:28:46",1727782126220,-4,"01/10/2024 07:28:46",187387,10,"questionnaire-tzdp",NA,40379601,11784140,NA,"complete",NA,"66fc14e0102241d80da23cd4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq4","1","2","MDPRF57043"
"1",1727796526106,"01/10/2024 15:28:46",1727800126106,1,"01/10/2024 17:28:46",187387,10,"questionnaire-tzdp",NA,40379603,11784147,NA,"complete",NA,"66fc13588e054dc79adfe228","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1531x861","1124x612",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq3","1","2","MDPRF08332"
"1",1727796619106,"01/10/2024 15:30:19",1727800219106,1,"01/10/2024 17:30:19",187387,10,"questionnaire-tzdp",NA,40379659,11784152,NA,"complete",NA,"66fc152df79ac406f0488d6b","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq4","1","2","MDPRF82423"
"1",1727796627626,"01/10/2024 15:30:27",1727800227626,1,"01/10/2024 17:30:27",187387,10,"questionnaire-tzdp",NA,40379664,11784160,NA,"complete",NA,"66fc1569127d02b7de803e80","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","1","2","MDPRF56772"
