"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.at.the.rate.of..9.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1727694054858,"30/09/2024 11:00:54",1727697654858,1,"30/09/2024 13:00:54",187387,10,"questionnaire-1tsk",NA,40345440,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,0,"Consent",12,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF54499"
"1",1727694115748,"30/09/2024 11:01:55",1727697715748,1,"30/09/2024 13:01:55",187387,10,"questionnaire-1tsk",NA,40345454,11776167,NA,"complete",NA,"66fa84a3a793e074fd93de5d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1680x1050","1680x962",NA,NA,0,"Consent",12,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF98418"
"1",1727694125972,"30/09/2024 11:02:05",1727697725972,1,"30/09/2024 13:02:05",187387,10,"questionnaire-1tsk",NA,40345456,11776168,NA,"complete",NA,"66fa851e2e8bc46115f57fdc","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1706x959","1706x791",NA,NA,0,"Consent",12,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF93290"
"1",1727694141248,"30/09/2024 11:02:21",1727697741248,1,"30/09/2024 13:02:21",187387,10,"questionnaire-1tsk",NA,40345459,11776171,NA,"complete",NA,"66fa850eb54aee7b6b260f66","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x720","1280x551",NA,NA,0,"Consent",12,"In","DECFBGAHKIJ",NA,"In","MH_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF97544"
"1",1727694209040,"30/09/2024 11:03:29",1727697809040,1,"30/09/2024 13:03:29",187387,10,"questionnaire-1tsk",NA,40345478,11776175,NA,"complete",NA,"66fa856af673562c5e012b35","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1271",NA,NA,0,"Consent",12,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF44142"
"1",1727694892367,"30/09/2024 11:14:52",1727698492367,1,"30/09/2024 13:14:52",187387,10,"questionnaire-1tsk",NA,40345720,11776288,NA,"complete",NA,"66fa88191ca7e364a290870b","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x945",NA,NA,0,"Consent",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF65725"
"1",1727695028701,"30/09/2024 11:17:08",1727698628701,1,"30/09/2024 13:17:08",187387,10,"questionnaire-1tsk",NA,40345745,11776295,NA,"complete",NA,"66fa86c40a72d5544488a29e","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x641",NA,NA,0,"Consent",12,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF06113"
"1",1727695049949,"30/09/2024 11:17:29",1727680649949,-4,"30/09/2024 03:17:29",187387,10,"questionnaire-1tsk",NA,40345765,11776300,NA,"complete",NA,"66fa886cefd68e0fa5547dae","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x730",NA,NA,0,"Consent",12,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF91204"
"1",1727695703565,"30/09/2024 11:28:23",1727699303565,1,"30/09/2024 13:28:23",187387,10,"questionnaire-1tsk",NA,40345961,11776347,NA,"complete",NA,"66fa874687f56a7364b7397d","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x559",NA,NA,0,"Consent",12,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF36467"
"1",1727702125374,"30/09/2024 13:15:25",1727705725374,1,"30/09/2024 15:15:25",187387,10,"questionnaire-1tsk",NA,40347614,11776807,NA,"complete",NA,"66faa460e3fd478ac533a753","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x778",NA,NA,0,"Consent",12,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF34773"
