"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Slider_LH.object.2.Value","Random_ID"
"1",1727777604017,"01/10/2024 10:13:24",1727781204017,1,"01/10/2024 12:13:24",187387,10,"questionnaire-txxf",NA,40369412,11781494,NA,"complete",NA,"66fbc9ea0c4936d912036f24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq3","43","MDPRF25901"
"1",1727777663154,"01/10/2024 10:14:23",1727781263154,1,"01/10/2024 12:14:23",187387,10,"questionnaire-txxf",NA,40369467,11781533,NA,"complete",NA,"66fbc8aa248c042b63095a59","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x788",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq5","-62","MDPRF99900"
"1",1727777743913,"01/10/2024 10:15:43",1727781343913,1,"01/10/2024 12:15:43",187387,10,"questionnaire-txxf",NA,40369518,11781488,NA,"complete",NA,"66fbc9907c7da77e60185c0b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","69","MDPRF11650"
"1",1727777781788,"01/10/2024 10:16:21",1727781381788,1,"01/10/2024 12:16:21",187387,10,"questionnaire-txxf",NA,40369544,11781491,NA,"complete",NA,"66fbc9e19bba5b9cbed4d4bb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","2048x1152","1259x1025",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq1","-80","MDPRF93027"
"1",1727778007156,"01/10/2024 10:20:07",1727781607156,1,"01/10/2024 12:20:07",187387,10,"questionnaire-txxf",NA,40369657,11781484,NA,"complete",NA,"66fbc6d2904225e7f7046fe6","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1334x868",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq1","-43","MDPRF74611"
"1",1727778274393,"01/10/2024 10:24:34",1727781874393,1,"01/10/2024 12:24:34",187387,10,"questionnaire-txxf",NA,40369815,11781485,NA,"complete",NA,"66fbc7ac275a543b099dbb8e","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x703",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","-36","MDPRF82114"
"1",1727778507990,"01/10/2024 10:28:27",1727782107990,1,"01/10/2024 12:28:27",187387,10,"questionnaire-txxf",NA,40369936,11781614,NA,"complete",NA,"66fbcd9db3e34c35f2cbac1e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x680",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq3","32","MDPRF03327"
"1",1727796470971,"01/10/2024 15:27:50",1727800070971,1,"01/10/2024 17:27:50",187387,10,"questionnaire-txxf",NA,40379565,11784082,NA,"complete",NA,"66fc13100ba5d6f850803df9","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x919",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","10","MDPRF68541"
"1",1727796680597,"01/10/2024 15:31:20",1727800280597,1,"01/10/2024 17:31:20",187387,10,"questionnaire-txxf",NA,40379698,11784136,NA,"complete",NA,"66fc1411657c9ac37b29c67b","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x800","1280x665",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq1","-62","MDPRF97151"
"1",1727796877895,"01/10/2024 15:34:37",1727800477895,1,"01/10/2024 17:34:37",187387,10,"questionnaire-txxf",NA,40379855,11784193,NA,"complete",NA,"66fc163b9fb094833dc22423","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq1","57","MDPRF40116"
"1",1727796882101,"01/10/2024 15:34:42",1727800482101,1,"01/10/2024 17:34:42",187387,10,"questionnaire-txxf",NA,40379857,11784195,NA,"complete",NA,"66fc16425f593ebf3d6359b6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1680x1050","1660x1005",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","20","MDPRF98287"
"1",1727796990190,"01/10/2024 15:36:30",1727800590190,1,"01/10/2024 17:36:30",187387,10,"questionnaire-txxf",NA,40379937,11784155,NA,"complete",NA,"66fc153789f0571b5289e5e9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1792x1120","1792x998",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq2","26","MDPRF98699"
"1",1727797082420,"01/10/2024 15:38:02",1727782682420,-4,"01/10/2024 07:38:02",187387,10,"questionnaire-txxf",NA,40379997,11784140,NA,"complete",NA,"66fc14e0102241d80da23cd4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x911",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq4","27","MDPRF57043"
"1",1727797085409,"01/10/2024 15:38:05",1727800685409,1,"01/10/2024 17:38:05",187387,10,"questionnaire-txxf",NA,40380001,11784206,NA,"complete",NA,"66fc164abe52cfeff935d004","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1504x1003","1504x868",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq5","37","MDPRF31901"
"1",1727797142222,"01/10/2024 15:39:02",1727800742222,1,"01/10/2024 17:39:02",187387,10,"questionnaire-txxf",NA,40380041,11784147,NA,"complete",NA,"66fc13588e054dc79adfe228","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1531x861","1124x612",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq3","44","MDPRF08332"
"1",1727797774358,"01/10/2024 15:49:34",1727783374358,-4,"01/10/2024 07:49:34",187387,10,"questionnaire-txxf",NA,40380596,11784299,NA,"complete",NA,"66fc1933a2a87639b512611d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x798",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq2","-45","MDPRF02660"
