"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1415",54,1707932518025,"14/02/2024 17:41:58",1707932518025,0,"14/02/2024 17:41:58",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",22,"Rating","Screen 1","poh9ia",1,"continue","",2930.10000000001,2923.39999999999,2930.10000000001,2930.10000000001,2923.39999999999,2930.10000000001,1,2930.10000000001,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",8,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1416",55,1707932518025,"14/02/2024 17:41:58",1707932518025,0,"14/02/2024 17:41:58",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",22,"Rating","Screen 1","poh9ia",1,"response","59",1993,2923.39999999999,2930.10000000001,1993,2923.39999999999,2930.10000000001,1,1993,937.100000000006,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",8,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1417",56,1707932519274,"14/02/2024 17:41:59",1707932519274,0,"14/02/2024 17:41:59",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",23,"Rating","Screen 1","poh9ia",1,"continue","",1256.89999999851,1250.20000000001,1256.89999999851,1256.89999999851,1250.20000000001,1256.89999999851,1,1256.89999999851,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",8,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1418",57,1707932519274,"14/02/2024 17:41:59",1707932519274,0,"14/02/2024 17:41:59",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",23,"Rating","Screen 1","poh9ia",1,"response","37",680,1250.20000000001,1257.20000000001,680,1250.20000000001,1257.20000000001,1,680,577.200000000012,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",8,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1419",58,1707932520753,"14/02/2024 17:42:00",1707932520753,0,"14/02/2024 17:42:00",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",24,"Rating","Screen 1","poh9ia",1,"continue","",1486.09999999998,1479.19999999998,1486.09999999998,1486.09999999998,1479.19999999998,1486.09999999998,1,1486.09999999998,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",8,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1420",59,1707932520754,"14/02/2024 17:42:00",1707932520754,0,"14/02/2024 17:42:00",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",24,"Rating","Screen 1","poh9ia",1,"response","52",833.299999999988,1479.19999999998,1486.09999999998,833.299999999988,1479.19999999998,1486.09999999998,1,833.299999999988,652.799999999988,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",8,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1421",60,1707932551733,"14/02/2024 17:42:31",1707932551733,0,"14/02/2024 17:42:31",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",7,"RestL","Screen 1","sy8yuu",1,"continue","",30985.9,30985.9,30985.9,30985.9,30985.9,30985.9,1,30985.9,0,0,NA,"Fixation Timing","Fixation",1,"object-21","RestL","","","",NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1422",61,1707932553379,"14/02/2024 17:42:33",1707932553379,0,"14/02/2024 17:42:33",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",25,"Rating","Screen 1","poh9ia",1,"continue","",1646,1639,1646,1646,1639,1646,1,1646,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",9,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1423",62,1707932553379,"14/02/2024 17:42:33",1707932553379,0,"14/02/2024 17:42:33",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",25,"Rating","Screen 1","poh9ia",1,"response","59",1090.29999999999,1639,1646,1090.29999999999,1639,1646,1,1090.29999999999,555.700000000012,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",9,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1424",63,1707932555079,"14/02/2024 17:42:35",1707932555079,0,"14/02/2024 17:42:35",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",26,"Rating","Screen 1","poh9ia",1,"continue","",1707.70000000001,1700.90000000002,1707.70000000001,1707.70000000001,1700.90000000002,1707.70000000001,1,1707.70000000001,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",9,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1425",64,1707932555080,"14/02/2024 17:42:35",1707932555080,0,"14/02/2024 17:42:35",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",26,"Rating","Screen 1","poh9ia",1,"response","40",701.299999999988,1700.90000000002,1707.70000000001,701.299999999988,1700.90000000002,1707.70000000001,1,701.299999999988,1006.40000000002,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",9,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1426",65,1707932556260,"14/02/2024 17:42:36",1707932556260,0,"14/02/2024 17:42:36",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",27,"Rating","Screen 1","poh9ia",1,"continue","",1187.79999999993,1180.89999999997,1187.79999999993,1187.79999999993,1180.89999999997,1187.79999999993,1,1187.79999999993,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",9,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1427",66,1707932556260,"14/02/2024 17:42:36",1707932556260,0,"14/02/2024 17:42:36",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",27,"Rating","Screen 1","poh9ia",1,"response","48",618.5,1180.89999999997,1187.79999999993,618.5,1180.89999999997,1187.79999999993,1,618.5,569.29999999993,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",9,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
"1428",67,1707932587240,"14/02/2024 17:43:07",1707932587240,0,"14/02/2024 17:43:07",163173,5,"task-wwtl",NA,35151576,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","KLJAIBHCGDFE",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",8,"RestL","Screen 1","sy8yuu",1,"continue","",30986,30986,30986,30986,30986,30986,1,30986,0,0,NA,"Fixation Timing","Fixation",1,"object-21","RestL","","","",NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"MDPRF37738"
