"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1833",127,1707933611581,"14/02/2024 18:00:11",1707933611581,0,"14/02/2024 18:00:11",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",52,"Rating","Screen 1","poh9ia",1,"response","74",3148.60000000009,4465.10000000009,4470.30000000005,3148.60000000009,4465.10000000009,4470.30000000005,1,3148.60000000009,1321.69999999995,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",18,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1834",128,1707933618444,"14/02/2024 18:00:18",1707933618444,0,"14/02/2024 18:00:18",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",53,"Rating","Screen 1","poh9ia",1,"continue","",6868.19999999995,6864.29999999993,6868.19999999995,6868.19999999995,6864.29999999993,6868.19999999995,1,6868.19999999995,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",18,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1835",129,1707933618447,"14/02/2024 18:00:18",1707933618447,0,"14/02/2024 18:00:18",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",53,"Rating","Screen 1","poh9ia",1,"response","85",2015.59999999998,6864.29999999993,6871.50000001187,2015.59999999998,6864.29999999993,6871.50000001187,1,2015.59999999998,4855.9000000119,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",18,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1836",130,1707933621722,"14/02/2024 18:00:21",1707933621722,0,"14/02/2024 18:00:21",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",54,"Rating","Screen 1","poh9ia",1,"continue","",3282.00000002387,3265.40000000002,3282.00000002387,3282.00000002387,3265.40000000002,3282.00000002387,1,3282.00000002387,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",18,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1837",131,1707933621722,"14/02/2024 18:00:21",1707933621722,0,"14/02/2024 18:00:21",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",54,"Rating","Screen 1","poh9ia",1,"response","8",2049.09999999998,3265.40000000002,3282.5,2049.09999999998,3265.40000000002,3282.5,1,2049.09999999998,1233.40000000002,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",18,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1838",132,1707933652677,"14/02/2024 18:00:52",1707933652677,0,"14/02/2024 18:00:52",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",6,"Rest","Screen 1","6pwktf",1,"continue","",30971.6,30971.6,30971.6,30971.6,30971.6,30971.6,1,30971.6,0,0,NA,"Fixation Timing","Fixation",1,"object-46","Rest","","","",NA,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1839",133,1707933655266,"14/02/2024 18:00:55",1707933655266,0,"14/02/2024 18:00:55",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",55,"Rating","Screen 1","poh9ia",1,"continue","",2589.40000000002,2582.40000000002,2589.40000000002,2589.40000000002,2582.40000000002,2589.40000000002,1,2589.40000000002,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",19,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1840",134,1707933655267,"14/02/2024 18:00:55",1707933655267,0,"14/02/2024 18:00:55",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",55,"Rating","Screen 1","poh9ia",1,"response","27",1399.30000000005,2582.40000000002,2589.70000001194,1399.30000000005,2582.40000000002,2589.70000001194,1,1399.30000000005,1190.4000000119,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",19,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1841",135,1707933658343,"14/02/2024 18:00:58",1707933658343,0,"14/02/2024 18:00:58",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",56,"Rating","Screen 1","poh9ia",1,"continue","",3083.5,3081.59999999998,3083.5,3083.5,3081.59999999998,3083.5,1,3083.5,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",19,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1842",136,1707933658343,"14/02/2024 18:00:58",1707933658343,0,"14/02/2024 18:00:58",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",56,"Rating","Screen 1","poh9ia",1,"response","52",1998.59999999998,3081.59999999998,3084,1998.59999999998,3081.59999999998,3084,1,1998.59999999998,1085.40000000002,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",19,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1843",137,1707933661349,"14/02/2024 18:01:01",1707933661349,0,"14/02/2024 18:01:01",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",57,"Rating","Screen 1","poh9ia",1,"continue","",3007.80000000598,2999.40000000002,3007.80000000598,3007.80000000598,2999.40000000002,3007.80000000598,1,3007.80000000598,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",19,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1844",138,1707933661349,"14/02/2024 18:01:01",1707933661349,0,"14/02/2024 18:01:01",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",57,"Rating","Screen 1","poh9ia",1,"response","16",1732.90000000002,2999.40000000002,3008.50000002387,1732.90000000002,2999.40000000002,3008.50000002387,1,1732.90000000002,1275.60000002384,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",19,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1845",139,1707933692312,"14/02/2024 18:01:32",1707933692312,0,"14/02/2024 18:01:32",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",7,"Rest","Screen 1","6pwktf",1,"continue","",30971.1,30971.1,30971.1,30971.1,30971.1,30971.1,1,30971.1,0,0,NA,"Fixation Timing","Fixation",1,"object-46","Rest","","","",NA,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1846",140,1707933696124,"14/02/2024 18:01:36",1707933696124,0,"14/02/2024 18:01:36",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",58,"Rating","Screen 1","poh9ia",1,"continue","",3812.40000000002,3798.40000000002,3812.40000000002,3812.40000000002,3798.40000000002,3812.40000000002,1,3812.40000000002,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",20,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1847",141,1707933696124,"14/02/2024 18:01:36",1707933696124,0,"14/02/2024 18:01:36",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",58,"Rating","Screen 1","poh9ia",1,"response","19",2698.80000000005,3798.40000000002,3812.80000000598,2698.80000000005,3798.40000000002,3812.80000000598,1,2698.80000000005,1114.00000000594,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",20,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
"1848",142,1707933702107,"14/02/2024 18:01:42",1707933702107,0,"14/02/2024 18:01:42",163173,5,"task-ey14",NA,35152171,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","LAKBJCIDHEGF",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",59,"Rating","Screen 1","poh9ia",1,"continue","",5997,5981.59999999998,5997,5997,5981.59999999998,5997,1,5997,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",20,NA,NA,NA,NA,NA,2.98,0.15,NA,NA,"MDPRF63488"
