"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1347",156,1707932973949,"14/02/2024 17:49:33",1707932973949,0,"14/02/2024 17:49:33",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",65,"Rating","Screen 1","poh9ia",1,"continue","",2936.0999999881,2924.40000000002,2936.0999999881,2936.0999999881,2924.40000000002,2936.0999999881,1,2936.0999999881,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",22,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1348",157,1707932973949,"14/02/2024 17:49:33",1707932973949,0,"14/02/2024 17:49:33",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",65,"Rating","Screen 1","poh9ia",1,"response","36",1603.30000000005,2924.40000000002,2936.5999999881,1603.30000000005,2924.40000000002,2936.5999999881,1,1603.30000000005,1333.29999998806,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",22,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1349",158,1707932976883,"14/02/2024 17:49:36",1707932976883,0,"14/02/2024 17:49:36",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",66,"Rating","Screen 1","poh9ia",1,"continue","",2946.30000001192,2941.19999999995,2946.30000001192,2946.30000001192,2941.19999999995,2946.30000001192,1,2946.30000001192,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",22,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1350",159,1707932976884,"14/02/2024 17:49:36",1707932976884,0,"14/02/2024 17:49:36",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",66,"Rating","Screen 1","poh9ia",1,"response","83",1570.30000000005,2941.19999999995,2946.80000001192,1570.30000000005,2941.19999999995,2946.80000001192,1,1570.30000000005,1376.50000001187,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",22,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1351",160,1707933007845,"14/02/2024 17:50:07",1707933007845,0,"14/02/2024 17:50:07",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",10,"Rest","Screen 1","6pwktf",1,"continue","",30965.8,30965.8,30965.8,30965.8,30965.8,30965.8,1,30965.8,0,0,NA,"Fixation Timing","Fixation",1,"object-46","Rest","","","",NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1352",161,1707933011159,"14/02/2024 17:50:11",1707933011159,0,"14/02/2024 17:50:11",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",67,"Rating","Screen 1","poh9ia",1,"continue","",3314.19999998808,3309.19999999995,3314.19999998808,3314.19999998808,3309.19999999995,3314.19999998808,1,3314.19999998808,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",23,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1353",162,1707933011160,"14/02/2024 17:50:11",1707933011160,0,"14/02/2024 17:50:11",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",67,"Rating","Screen 1","poh9ia",1,"response","100",2072.30000000005,3309.19999999995,3314.69999998808,2072.30000000005,3309.19999999995,3314.69999998808,1,2072.30000000005,1242.39999998803,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",23,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1354",163,1707933014192,"14/02/2024 17:50:14",1707933014192,0,"14/02/2024 17:50:14",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",68,"Rating","Screen 1","poh9ia",1,"continue","",3037.99999998813,3024.70000000007,3037.99999998813,3037.99999998813,3024.70000000007,3037.99999998813,1,3037.99999998813,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",23,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1355",164,1707933014192,"14/02/2024 17:50:14",1707933014192,0,"14/02/2024 17:50:14",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",68,"Rating","Screen 1","poh9ia",1,"response","38",2121.80000000005,3024.70000000007,3038.30000000005,2121.80000000005,3024.70000000007,3038.30000000005,1,2121.80000000005,916.5,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",23,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1356",165,1707933016201,"14/02/2024 17:50:16",1707933016201,0,"14/02/2024 17:50:16",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",69,"Rating","Screen 1","poh9ia",1,"continue","",2020.99999999988,2004.29999999993,2020.99999999988,2020.99999999988,2004.29999999993,2020.99999999988,1,2020.99999999988,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",23,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
