"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"2052",18,1707934374353,"14/02/2024 18:12:54",1707934374353,0,"14/02/2024 18:12:54",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",1,"RestNF","Screen 1","i7hf2k",1,"continue","",30968,30968,30968,30968,30968,30968,1,30968,0,0,NA,"Fixation Timing","Fixation",1,"object-127","RestNF","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2053",19,1707934379321,"14/02/2024 18:12:59",1707934379321,0,"14/02/2024 18:12:59",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",7,"Rating","Screen 1","poh9ia",1,"continue","",4968.40000000029,4952.40000000001,4968.40000000029,4968.40000000029,4952.40000000001,4968.40000000029,1,4968.40000000029,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2054",20,1707934379323,"14/02/2024 18:12:59",1707934379323,0,"14/02/2024 18:12:59",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",7,"Rating","Screen 1","poh9ia",1,"response","2",3431.10000000001,4952.40000000001,4968.90000000001,3431.10000000001,4952.40000000001,4968.90000000001,1,3431.10000000001,1537.8,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2055",21,1707934382543,"14/02/2024 18:13:02",1707934382543,0,"14/02/2024 18:13:02",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",8,"Rating","Screen 1","poh9ia",1,"continue","",3238.40000000018,3225,3238.40000000018,3238.40000000018,3225,3238.40000000018,1,3238.40000000018,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2056",22,1707934382544,"14/02/2024 18:13:02",1707934382544,0,"14/02/2024 18:13:02",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",8,"Rating","Screen 1","poh9ia",1,"response","48",2329.5,3225,3239.00000000028,2329.5,3225,3239.00000000028,1,2329.5,909.500000000276,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2057",23,1707934385717,"14/02/2024 18:13:05",1707934385717,0,"14/02/2024 18:13:05",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",9,"Rating","Screen 1","poh9ia",1,"continue","",3187.00000000028,3174.8,3187.00000000028,3187.00000000028,3174.8,3187.00000000028,1,3187.00000000028,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2058",24,1707934385722,"14/02/2024 18:13:05",1707934385722,0,"14/02/2024 18:13:05",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",9,"Rating","Screen 1","poh9ia",1,"response","60",2396.09999999999,3174.8,3191.50000000001,2396.09999999999,3174.8,3191.50000000001,1,2396.09999999999,795.400000000023,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2059",25,1707934416674,"14/02/2024 18:13:36",1707934416674,0,"14/02/2024 18:13:36",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",2,"RestNF","Screen 1","i7hf2k",1,"continue","",30968.1,30968.1,30968.1,30968.1,30968.1,30968.1,1,30968.1,0,0,NA,"Fixation Timing","Fixation",1,"object-127","RestNF","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2060",26,1707934420394,"14/02/2024 18:13:40",1707934420394,0,"14/02/2024 18:13:40",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",10,"Rating","Screen 1","poh9ia",1,"continue","",3721.1999999999,3706,3721.1999999999,3721.1999999999,3706,3721.1999999999,1,3721.1999999999,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
"2061",27,1707934420395,"14/02/2024 18:13:40",1707934420395,0,"14/02/2024 18:13:40",163173,5,"task-h2kh",NA,35153499,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","HIGJFKELDACB",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",10,"Rating","Screen 1","poh9ia",1,"response","51",2645.09999999998,3706,3722.00000000018,2645.09999999998,3706,3722.00000000018,1,2645.09999999998,1076.9000000002,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69675"
