"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1694022995018,"06/09/2023 17:56:35",1694008595018,-4,"06/09/2023 09:56:35",142246,8,"questionnaire-tzdp",NA,31533392,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT52969"
"1",1694023705877,"06/09/2023 18:08:25",1694009305877,-4,"06/09/2023 10:08:25",142246,8,"questionnaire-tzdp",NA,31533693,9331580,NA,"complete","aszmrz","3DI28L7YXGDDHMUVMNZTPTDUSRPE1J","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"1","2","SUPAMT58485"
"1",1694045674039,"07/09/2023 00:14:34",1694031274039,-4,"06/09/2023 16:14:34",142246,8,"questionnaire-tzdp",NA,31533859,9331600,NA,"complete","zxbeud","3L0KT67Y8KFBHBAGZ7Q7SXSJZIJSY1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT04349"
"1",1694028589792,"06/09/2023 19:29:49",1694010589792,-5,"06/09/2023 09:29:49",142246,8,"questionnaire-tzdp",NA,31534495,9331688,NA,"complete","wqkjju","3IKZ72A5BAF8171GMLHX4IBX77HNFI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1707x960","1366x668",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT54694"
"1",1694025301412,"06/09/2023 18:35:01",1694010901412,-4,"06/09/2023 10:35:01",142246,8,"questionnaire-tzdp",NA,31534689,9331703,NA,"complete","hieajp","3HVVDCPGTKRCWBNVO7VX22O5Z7KTYO","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1517x765",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT05187"
"1",1694052192075,"07/09/2023 02:03:12",1694037792075,-4,"06/09/2023 18:03:12",142246,8,"questionnaire-tzdp",NA,31536762,9332062,NA,"complete","jkjqop","3BV8HQ2ZZ205YVEGCO9OO6EKE2KA6O","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT57890"
"1",1694043023106,"06/09/2023 23:30:23",1694028623106,-4,"06/09/2023 15:30:23",142246,8,"questionnaire-tzdp",NA,31542141,9332792,NA,"complete","ovgzzt","3TS1AR6UQWDJYM9T6E088LP77EKF7F","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1728x1117","1352x878",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT82251"
"1",1694050594190,"07/09/2023 01:36:34",1694036194190,-4,"06/09/2023 17:36:34",142246,8,"questionnaire-tzdp",NA,31544834,9333115,NA,"complete","gaylyz","3NXNZ5RS1GWAXCIG3S0GYP3W3W279N","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT39501"
"1",1694121269879,"07/09/2023 21:14:29",1694106869879,-4,"07/09/2023 13:14:29",142246,8,"questionnaire-tzdp",NA,31560155,9335361,NA,"complete","oycgnz","3X31TUMD73LRNS4N39MX2O3E1OUL1H","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"1","2","SUPAMT58446"
"1",1694118053446,"07/09/2023 20:20:53",1694103653446,-4,"07/09/2023 12:20:53",142246,8,"questionnaire-tzdp",NA,31567386,9337068,NA,"complete","mevyjh","3ZGVPD4G6ZGC11X0KTXGG9X76JLZTJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT28732"
"1",1694163293176,"08/09/2023 08:54:53",1694148893176,-4,"08/09/2023 00:54:53",142246,8,"questionnaire-tzdp",NA,31578766,9339308,NA,"complete","yyjdxn","34BBWHLWHGAIYSCKFUE53Y1GER9WIZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x571",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"1","2","SUPAMT93300"
"1",1694194628316,"08/09/2023 17:37:08",1694180228316,-4,"08/09/2023 09:37:08",142246,8,"questionnaire-tzdp",NA,31589988,9340873,NA,"complete","bwsfxs","3907X2AHF64O3Y1HE5FIOOM3XJHP21","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1910x1055","1248x889",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT96542"
"1",1694194780568,"08/09/2023 17:39:40",1694180380568,-4,"08/09/2023 09:39:40",142246,8,"questionnaire-tzdp",NA,31590039,9340880,NA,"complete","oxnwwu","3OS4RQUCRFE60YCJJVCODNB3Q4CFB2","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1360x768","907x413",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"1","2","SUPAMT78887"
"1",1694194809962,"08/09/2023 17:40:09",1694180409962,-4,"08/09/2023 09:40:09",142246,8,"questionnaire-tzdp",NA,31590071,9340886,NA,"complete","vvfnsq","3PZDLQMM0ZK599SD90TC4ONWXHL2CG","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT73359"
"1",1694195856732,"08/09/2023 17:57:36",1694181456732,-4,"08/09/2023 09:57:36",142246,8,"questionnaire-tzdp",NA,31590507,9340936,NA,"rejected - time limit reached","","3Z4AIRP3CCCMNMLCHSPLDIY18XXX18","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT06323"
