"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1694451116449,"11/09/2023 16:51:56",1694436716449,-4,"11/09/2023 08:51:56",142246,8,"questionnaire-qxhw",NA,31627292,9347812,NA,"complete","fwirwg","3YHH42UU5HERG3J57QIXOJK4WWNL0D","computer","Desktop or Laptop","Mac OS 10.14","Firefox 102.0","1440x900","1367x764",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"1-0","1","SUPAMT55556"
"1",1694451433819,"11/09/2023 16:57:13",1694437033819,-4,"11/09/2023 08:57:13",142246,8,"questionnaire-qxhw",NA,31627545,9348012,NA,"complete","jifdct","3WAKVUDHU2F8H46J13V7ULQAH0DU75","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"1-0","1","SUPAMT65671"
"1",1694488191864,"12/09/2023 03:09:51",1694462991864,-7,"11/09/2023 13:09:51",142246,8,"questionnaire-qxhw",NA,31627694,9348006,NA,"complete","snkrya","34Q075JO13CEQWF1EG0E44BQYQK10P","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"0","4","SUPAMT75094"
"1",1694452297884,"11/09/2023 17:11:37",1694437897884,-4,"11/09/2023 09:11:37",142246,8,"questionnaire-qxhw",NA,31627721,9348065,NA,"complete","swqeqv","3Q5C1WP23S0DL312BM6QLZ7HD8K51L","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1600x900","1600x783",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT38237"
"1",1694455309636,"11/09/2023 18:01:49",1694440909636,-4,"11/09/2023 10:01:49",142246,8,"questionnaire-qxhw",NA,31629293,9348307,NA,"complete","pmlnoq","3E337GFOLF7EF7XBX5NFM3B98ORNGV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"0-2","3","SUPAMT85212"
"1",1694456168688,"11/09/2023 18:16:08",1694441768688,-4,"11/09/2023 10:16:08",142246,8,"questionnaire-qxhw",NA,31629732,9348433,NA,"complete","waemuo","3VZLGYJEYR9JII6KP3YD5CIDLCTXZG","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1360x768","1360x619",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"1-0","1","SUPAMT98287"
"1",1694464566073,"11/09/2023 20:36:06",1694450166073,-4,"11/09/2023 12:36:06",142246,8,"questionnaire-qxhw",NA,31632676,9349147,NA,"complete","wxtcpy","3NGI5ARFTZ4HEDJLV1F4J5CY4AYP18","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"1-0","1","SUPAMT76571"
"1",1694465448203,"11/09/2023 20:50:48",1694451048203,-4,"11/09/2023 12:50:48",142246,8,"questionnaire-qxhw",NA,31632945,9349217,NA,"complete","wltptx","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"0-2","3","SUPAMT37698"
"1",1694465934913,"11/09/2023 20:58:54",1694451534913,-4,"11/09/2023 12:58:54",142246,8,"questionnaire-qxhw",NA,31633066,9349197,NA,"complete","smtfmz","3C5W7UE9CLPJJB71AE8JXAM4683XMR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"1-0","1","SUPAMT37698"
"1",1694466167429,"11/09/2023 21:02:47",1694451767429,-4,"11/09/2023 13:02:47",142246,8,"questionnaire-qxhw",NA,31633115,9349234,NA,"complete","wredeh","323Q6SJS8OFGRBF5JNMKZYE1KXWHFU","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x768",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"1-0","1","SUPAMT68797"
