"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Rating.Scale.object.6.Anxiety","Rating.Scale.object.6.Anxiety.Quantised","Rating.Scale.object.6.Avoidance","Rating.Scale.object.6.Avoidance.Quantised","Rating.Scale.object.8.Anxiety","Rating.Scale.object.8.Anxiety.Quantised","Rating.Scale.object.8.Avoidance","Rating.Scale.object.8.Avoidance.Quantised","Rating.Scale.object.9.Anxiety","Rating.Scale.object.9.Anxiety.Quantised","Rating.Scale.object.9.Avoidance","Rating.Scale.object.9.Avoidance.Quantised","Rating.Scale.object.11.Anxiety","Rating.Scale.object.11.Anxiety.Quantised","Rating.Scale.object.11.Avoidance","Rating.Scale.object.11.Avoidance.Quantised","Rating.Scale.object.12.Anxiety","Rating.Scale.object.12.Anxiety.Quantised","Rating.Scale.object.12.Avoidance","Rating.Scale.object.12.Avoidance.Quantised","Rating.Scale.object.13.Anxiety","Rating.Scale.object.13.Anxiety.Quantised","Rating.Scale.object.13.Avoidance","Rating.Scale.object.13.Avoidance.Quantised","Rating.Scale.object.14.Anxiety","Rating.Scale.object.14.Anxiety.Quantised","Rating.Scale.object.14.Avoidance","Rating.Scale.object.14.Avoidance.Quantised","Rating.Scale.object.15.Anxiety","Rating.Scale.object.15.Anxiety.Quantised","Rating.Scale.object.15.Avoidance","Rating.Scale.object.15.Avoidance.Quantised","Rating.Scale.object.16.Anxiety","Rating.Scale.object.16.Anxiety.Quantised","Rating.Scale.object.16.Avoidance","Rating.Scale.object.16.Avoidance.Quantised","Rating.Scale.object.17.Anxiety","Rating.Scale.object.17.Anxiety.Quantised","Rating.Scale.object.17.Avoidance","Rating.Scale.object.17.Avoidance.Quantised","Rating.Scale.object.18.Anxiety","Rating.Scale.object.18.Anxiety.Quantised","Rating.Scale.object.18.Avoidance","Rating.Scale.object.18.Avoidance.Quantised","Rating.Scale.object.19.Anxiety","Rating.Scale.object.19.Anxiety.Quantised","Rating.Scale.object.19.Avoidance","Rating.Scale.object.19.Avoidance.Quantised","Rating.Scale.object.20.Anxiety","Rating.Scale.object.20.Anxiety.Quantised","Rating.Scale.object.20.Avoidance","Rating.Scale.object.20.Avoidance.Quantised","Rating.Scale.object.21.Anxiety","Rating.Scale.object.21.Anxiety.Quantised","Rating.Scale.object.21.Avoidance","Rating.Scale.object.21.Avoidance.Quantised","Rating.Scale.object.22.Anxiety","Rating.Scale.object.22.Anxiety.Quantised","Rating.Scale.object.22.Avoidance","Rating.Scale.object.22.Avoidance.Quantised","Rating.Scale.object.23.Anxiety","Rating.Scale.object.23.Anxiety.Quantised","Rating.Scale.object.23.Avoidance","Rating.Scale.object.23.Avoidance.Quantised","Rating.Scale.object.24.Anxiety","Rating.Scale.object.24.Anxiety.Quantised","Rating.Scale.object.24.Avoidance","Rating.Scale.object.24.Avoidance.Quantised","Rating.Scale.object.25.Anxiety","Rating.Scale.object.25.Anxiety.Quantised","Rating.Scale.object.25.Avoidance","Rating.Scale.object.25.Avoidance.Quantised","Rating.Scale.object.26.Anxiety","Rating.Scale.object.26.Anxiety.Quantised","Rating.Scale.object.26.Avoidance","Rating.Scale.object.26.Avoidance.Quantised","Rating.Scale.object.27.Anxiety","Rating.Scale.object.27.Anxiety.Quantised","Rating.Scale.object.27.Avoidance","Rating.Scale.object.27.Avoidance.Quantised","Rating.Scale.object.28.Anxiety","Rating.Scale.object.28.Anxiety.Quantised","Rating.Scale.object.28.Avoidance","Rating.Scale.object.28.Avoidance.Quantised","Rating.Scale.object.29.Anxiety","Rating.Scale.object.29.Anxiety.Quantised","Rating.Scale.object.29.Avoidance","Rating.Scale.object.29.Avoidance.Quantised","Rating.Scale.object.30.Anxiety","Rating.Scale.object.30.Anxiety.Quantised","Rating.Scale.object.30.Avoidance","Rating.Scale.object.30.Avoidance.Quantised","Rating.Scale.object.31.Anxiety","Rating.Scale.object.31.Anxiety.Quantised","Rating.Scale.object.31.Avoidance","Rating.Scale.object.31.Avoidance.Quantised","Random_ID"
"1",1694023746741,"06/09/2023 18:09:06",1694009346741,-4,"06/09/2023 10:09:06",142246,8,"questionnaire-xzz2",NA,31533733,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"LSAS-SR",4,"In","ABKCJDIEHFG",NA,"2","3","1","2","1","2","2","3","2","3","1","2","1","2","1","2","2","3","1","2","1","2","2","3","2","3","1","2","1","2","2","3","2","3","2","3","1","2","2","3","2","3","1","2","2","3","1","2","1","2","2","3","2","3","1","2","2","3","2","3","2","3","1","2","2","3","1","2","1","2","2","3","2","3","1","2","1","2","2","3","2","3","1","2","2","3","1","2","2","3","2","3","2","3","1","2","SUPAMT52969"
"1",1694024002145,"06/09/2023 18:13:22",1694009602145,-4,"06/09/2023 10:13:22",142246,8,"questionnaire-xzz2",NA,31533846,9331580,NA,"complete","aszmrz","3DI28L7YXGDDHMUVMNZTPTDUSRPE1J","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"LSAS-SR",4,"In","BCADKEJFIGH",NA,"1","2","1","2","2","3","2","3","2","3","2","3","2","3","2","3","3","4","3","4","3","4","3","4","1","2","1","2","1","2","1","2","2","3","2","3","3","4","3","4","3","4","3","4","2","3","2","3","1","2","1","2","3","4","3","4","3","4","3","4","3","4","3","4","3","4","3","4","1","2","1","2","3","4","3","4","3","4","3","4","2","3","2","3","2","3","1","2","2","3","2","3","2","3","2","3","SUPAMT58485"
"1",1694045743720,"07/09/2023 00:15:43",1694031343720,-4,"06/09/2023 16:15:43",142246,8,"questionnaire-xzz2",NA,31533896,9331600,NA,"complete","zxbeud","3L0KT67Y8KFBHBAGZ7Q7SXSJZIJSY1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"LSAS-SR",4,"In","CDBEAFKGJHI",NA,"2","3","1","2","2","3","1","2","1","2","2","3","1","2","1","2","2","3","2","3","2","3","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","2","3","2","3","2","3","3","4","2","3","3","4","2","3","1","2","2","3","1","2","2","3","1","2","1","2","2","3","1","2","2","3","1","2","1","2","2","3","1","2","2","3","2","3","1","2","2","3","1","2","2","3","1","2","2","3","SUPAMT04349"
"1",1694028771808,"06/09/2023 19:32:51",1694010771808,-5,"06/09/2023 09:32:51",142246,8,"questionnaire-xzz2",NA,31534614,9331688,NA,"complete","wqkjju","3IKZ72A5BAF8171GMLHX4IBX77HNFI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1707x960","1366x668",NA,NA,0,"LSAS-SR",4,"In","EFDGCHBIAJK",NA,"0","1","0","1","1","2","0","1","0","1","0","1","0","1","0","1","3","4","0","1","3","4","0","1","1","2","3","4","3","4","0","1","0","1","0","1","1","2","0","1","1","2","0","1","1","2","0","1","0","1","0","1","0","1","0","1","3","4","1","2","3","4","1","2","3","4","0","1","0","1","0","1","3","4","3","4","3","4","0","1","0","1","0","1","0","1","0","1","1","2","3","4","0","1","0","1","SUPAMT54694"
"1",1694025484420,"06/09/2023 18:38:04",1694011084420,-4,"06/09/2023 10:38:04",142246,8,"questionnaire-xzz2",NA,31534800,9331703,NA,"complete","hieajp","3HVVDCPGTKRCWBNVO7VX22O5Z7KTYO","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1517x765",NA,NA,0,"LSAS-SR",4,"In","FGEHDICJBKA",NA,"1","2","1","2","1","2","1","2","0","1","0","1","0","1","0","1","1","2","2","3","2","3","2","3","2","3","3","4","1","2","2","3","1","2","1","2","2","3","2","3","1","2","1","2","1","2","1","2","0","1","0","1","0","1","0","1","2","3","2","3","1","2","2","3","0","1","0","1","1","2","2","3","0","1","0","1","1","2","1","2","2","3","3","4","1","2","2","3","2","3","2","3","1","2","0","1","SUPAMT05187"
"1",1694052372104,"07/09/2023 02:06:12",1694037972104,-4,"06/09/2023 18:06:12",142246,8,"questionnaire-xzz2",NA,31536810,9332062,NA,"complete","jkjqop","3BV8HQ2ZZ205YVEGCO9OO6EKE2KA6O","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"LSAS-SR",4,"In","GHFIEJDKCAB",NA,"2","3","1","2","2","3","1","2","1","2","1","2","2","3","1","2","1","2","2","3","1","2","2","3","1","2","2","3","1","2","1","2","1","2","1","2","1","2","2","3","1","2","1","2","2","3","1","2","1","2","3","4","1","2","2","3","1","2","1","2","2","3","1","2","1","2","2","3","1","2","1","2","2","3","1","2","1","2","2","3","1","2","1","2","2","3","1","2","2","3","1","2","2","3","1","2","SUPAMT57890"
"1",1694043386719,"06/09/2023 23:36:26",1694028986719,-4,"06/09/2023 15:36:26",142246,8,"questionnaire-xzz2",NA,31542274,9332792,NA,"complete","ovgzzt","3TS1AR6UQWDJYM9T6E088LP77EKF7F","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1728x1117","1352x878",NA,NA,0,"LSAS-SR",4,"In","IJHKGAFBECD",NA,"1","2","2","3","2","3","2","3","1","2","1","2","2","3","2","3","2","3","2","3","3","4","3","4","3","4","3","4","2","3","2","3","1","2","1","2","2","3","2","3","2","3","2","3","2","3","2","3","0","1","0","1","2","3","1","2","3","4","3","4","2","3","2","3","1","2","0","1","1","2","3","4","1","2","2","3","3","4","3","4","1","2","1","2","1","2","0","1","3","4","3","4","1","2","1","2","SUPAMT82251"
"1",1694050904835,"07/09/2023 01:41:44",1694036504835,-4,"06/09/2023 17:41:44",142246,8,"questionnaire-xzz2",NA,31544907,9333115,NA,"complete","gaylyz","3NXNZ5RS1GWAXCIG3S0GYP3W3W279N","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"LSAS-SR",4,"In","JKIAHBGCFDE",NA,"2","3","2","3","3","4","2","3","2","3","1","2","2","3","1","2","2","3","1","2","2","3","2","3","2","3","1","2","2","3","0","1","2","3","0","1","3","4","1","2","2","3","2","3","2","3","2","3","1","2","0","1","1","2","0","1","1","2","1","2","1","2","0","1","1","2","0","1","2","3","3","4","0","1","0","1","1","2","1","2","1","2","1","2","1","2","2","3","2","3","2","3","2","3","2","3","SUPAMT39501"
"1",1694121639809,"07/09/2023 21:20:39",1694107239809,-4,"07/09/2023 13:20:39",142246,8,"questionnaire-xzz2",NA,31560302,9335361,NA,"complete","oycgnz","3X31TUMD73LRNS4N39MX2O3E1OUL1H","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"LSAS-SR",4,"In","KAJBICHDGEF",NA,"3","4","2","3","1","2","3","4","2","3","1","2","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","1","2","2","3","3","4","2","3","1","2","1","2","2","3","3","4","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","SUPAMT58446"
"1",1694118882526,"07/09/2023 20:34:42",1694104482526,-4,"07/09/2023 12:34:42",142246,8,"questionnaire-xzz2",NA,31567912,9337068,NA,"complete","mevyjh","3ZGVPD4G6ZGC11X0KTXGG9X76JLZTJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"LSAS-SR",4,"In","ABKCJDIEHFG",NA,"2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","1","2","2","3","1","2","2","3","1","2","2","3","2","3","1","2","1","2","2","3","1","2","2","3","2","3","1","2","1","2","2","3","2","3","1","2","2","3","2","3","1","2","2","3","2","3","1","2","1","2","2","3","2","3","1","2","1","2","2","3","2","3","1","2","1","2","2","3","2","3","1","2","1","2","2","3","SUPAMT28732"
