"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Slider_LH.object.2.Value","Random_ID"
"1",1695399580820,"22/09/2023 16:19:40",1695385180820,-4,"22/09/2023 08:19:40",142246,8,"questionnaire-txxf",NA,31796436,9404493,NA,"complete","uvtrlq","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"100","SUPAMT23130"
"1",1695399681589,"22/09/2023 16:21:21",1695385281589,-4,"22/09/2023 08:21:21",142246,8,"questionnaire-txxf",NA,31796468,9404432,NA,"complete","kzonkq","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"100","SUPAMT97235"
"1",1695399771800,"22/09/2023 16:22:51",1695385371800,-4,"22/09/2023 08:22:51",142246,8,"questionnaire-txxf",NA,31796507,9404596,NA,"complete","dwsxfz","3FDJT1UU7A7FR4NOJWC8QE3GO4Y5KK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"100","SUPAMT47263"
"1",1695399950234,"22/09/2023 16:25:50",1695385550234,-4,"22/09/2023 08:25:50",142246,8,"questionnaire-txxf",NA,31796592,9404631,NA,"complete","unazkd","32Z9ZLUT1RJAXOSYIQ5AMSNFDIZOH4","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"42","SUPAMT61006"
"1",1695400332994,"22/09/2023 16:32:12",1695385932994,-4,"22/09/2023 08:32:12",142246,8,"questionnaire-txxf",NA,31796734,9404676,NA,"complete","kcdsln","3VZLGYJEYR9JII6KP3YD5CIDLCKXZ7","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x598",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"66","SUPAMT82878"
"1",1695400493149,"22/09/2023 16:34:53",1695386093149,-4,"22/09/2023 08:34:53",142246,8,"questionnaire-txxf",NA,31796777,9404590,NA,"complete","hzapwi","3CN4LGXD53NSFQ8596UPUUCDMNBY42","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"100","SUPAMT67727"
"1",1695400562120,"22/09/2023 16:36:02",1695386162120,-4,"22/09/2023 08:36:02",142246,8,"questionnaire-txxf",NA,31796874,9404327,NA,"complete","yacnae","351SEKWQS6G5L52KJE7733JCQQLMD8","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"43","SUPAMT25764"
"1",1695400920542,"22/09/2023 16:42:00",1695386520542,-4,"22/09/2023 08:42:00",142246,8,"questionnaire-txxf",NA,31796898,9404727,NA,"complete","zaoezl","33LKR6A5KKJF65CSCIOOOFDVV1F1TZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"45","SUPAMT85554"
"1",1695401047803,"22/09/2023 16:44:07",1695386647803,-4,"22/09/2023 08:44:07",142246,8,"questionnaire-txxf",NA,31796943,9404612,NA,"complete","hctqol","3WMOAN2SRHWXX4N6M0M1M4EJVN4VNL","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"44","SUPAMT62253"
"1",1695401413381,"22/09/2023 16:50:13",1695387013381,-4,"22/09/2023 08:50:13",142246,8,"questionnaire-txxf",NA,31797085,9404778,NA,"complete","hptzpj","34HJIJKLPBVBBWD04V75NV8J466V4N","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"29","SUPAMT09275"
