"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695066493242,"18/09/2023 19:48:13",1695052093242,-4,"18/09/2023 11:48:13",142246,8,"questionnaire-79c5",NA,31722039,9376581,NA,"complete","varmrk","33LK57MYLZ4BM1KLVTSQ641L5CNSZS","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT10666"
"1",1695088137373,"19/09/2023 01:48:57",1695073737373,-4,"18/09/2023 17:48:57",142246,8,"questionnaire-79c5",NA,31722043,9376618,NA,"complete","yuctob","3KV0LJBBH8KZMFLP1F2R8S0G5S6RMF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT46237"
"1",1695066508364,"18/09/2023 19:48:28",1695052108364,-4,"18/09/2023 11:48:28",142246,8,"questionnaire-79c5",NA,31722047,9376642,NA,"complete","mfpbkz","3PZDLQMM0ZK599SD90TC4ONWY04C2C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","KAJBICHDGEF",NA,"Somewhat true","2","Not true","1","Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Not true","1","SUPAMT20625"
"1",1695066728575,"18/09/2023 19:52:08",1695052328575,-4,"18/09/2023 11:52:08",142246,8,"questionnaire-79c5",NA,31722127,9376622,NA,"complete","nnrtcs","3AMYWKA6YHLU0Z8HM7E6P1YP44EO6Y","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","IJHKGAFBECD",NA,"Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","SUPAMT03607"
"1",1695067133603,"18/09/2023 19:58:53",1695052733603,-4,"18/09/2023 11:58:53",142246,8,"questionnaire-79c5",NA,31722457,9376719,NA,"complete","owjpvu","308Q0PEVBEC7MWZCMJ4DPET5IYII97","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","ABKCJDIEHFG",NA,"Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT43420"
"1",1695072247122,"18/09/2023 21:24:07",1695054247122,-5,"18/09/2023 11:24:07",142246,8,"questionnaire-79c5",NA,31722668,9376775,NA,"complete","wobdyu","3Y4W8Q93L5JOBSWTX68YQZ2PHJPVDQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","2048x1152","2048x1003",NA,NA,0,"ARI",2,"In","BCADKEJFIGH",NA,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT03550"
"1",1695069429940,"18/09/2023 20:37:09",1695055029940,-4,"18/09/2023 12:37:09",142246,8,"questionnaire-79c5",NA,31722878,9376769,NA,"complete","cgxdjm","33FOTY3KESKYKOAHQWTYZ5DR7FFC1R","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","CDBEAFKGJHI",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT23519"
"1",1695091368984,"19/09/2023 02:42:48",1695076968984,-4,"18/09/2023 18:42:48",142246,8,"questionnaire-79c5",NA,31722975,9376799,NA,"complete","uqmpvw","3CTOC39K3DPZ3OVPP4RTNJHZ0KFJ7Y","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"ARI",2,"In","DECFBGAHKIJ",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPAMT06162"
"1",1695098566185,"19/09/2023 04:42:46",1695076966185,-6,"18/09/2023 16:42:46",142246,8,"questionnaire-79c5",NA,31722987,9376806,NA,"complete","qvzqaz","3PXX5PX6L3XB47VB8FQWZM0CS33ABH","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"ARI",2,"In","EFDGCHBIAJK",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","SUPAMT57557"
"1",1695091815833,"19/09/2023 02:50:15",1695077415833,-4,"18/09/2023 18:50:15",142246,8,"questionnaire-79c5",NA,31723108,9376854,NA,"complete","fcocsc","3DHE4R9OC2AIQL8IBMPVUF8BWS3G2X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT34408"
