participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,-40.97222222,3.6389,2.0031,0,0,0,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,-6.666666667,3.1634,2.0065,0,1,1,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,-3.333333333,4.7248,2.0068,0,2,2,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF55869,21865A02-D867-4BDD-8D6B-A0ADA438C4DD,2023-10-30_16h15.31.080,VExplicitOC_RO,2022.2.5,Win32,143.9055979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
