participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,40.18519084,7.3961,2.0096,0,0,0,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,69.07407973,4.8325,2.015,0,1,1,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,40.18519084,5.6679,2.016,0,2,2,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.25925361,5.2343,0,0,0,0,1,rest (looking at a fixed cross),001.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33333333,3.0086,0,1,1,1,1,stand up,002.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.44444444,2.1382,0,2,2,2,1,stretch,003.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1.4104,0,3,3,3,1,make a drink,004.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.96296014,2.5552,0,4,4,4,1,scroll social media,005.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.18517388,2.0732,0,5,5,5,1,listen to music,006.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF03640,F257F329-0673-4C65-B070-903BB8EDB6AC,2023-10-30_17h41.05.197,VExplicitOC_RO,2022.2.5,Win32,60.39376736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.77777778,2.1437,0,6,6,6,1,daydream,007.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
