participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,-100,3.4959,2.0023,0,0,0,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,-48.51851852,2.9932,2.0067,0,1,1,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,-54.25925926,3.1488,2.0067,0,2,2,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.62962963,7.7147,0,0,0,0,1,rest (looking at a fixed cross),001.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,2.7108,0,1,1,1,1,stand up,002.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.51851852,1.4381,0,2,2,2,1,stretch,003.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.77777778,3.7331,0,3,3,3,1,make a drink,004.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.48148148,1.6874,0,4,4,4,1,scroll social media,005.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF58485,6DDAA8C0-83D7-4345-8733-5AE1DB76B064,2023-10-30_17h51.22.846,VExplicitOC_RO,2022.2.5,Win32,60.41931001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.66666667,1.7451,0,5,5,5,1,listen to music,006.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
