participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,100,6.005,2.004,0,0,0,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,32.44444444,4.016,2.016,0,1,1,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,57.77777778,4.702,2.001,0,2,2,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,4.483,0,0,0,0,1,rest (looking at a fixed cross),001.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.44444444,2.553,0,1,1,1,1,stand up,002.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.22222222,1.87,0,2,2,2,1,stretch,003.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2.854,0,3,3,3,1,make a drink,004.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,1.972,0,4,4,4,1,scroll social media,005.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.55555556,2.702,0,5,5,5,1,listen to music,006.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.66666667,2.453,0,6,6,6,1,daydream,007.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF57890,854F3B72-5B4F-4A89-8A83-9F93CCDDF067,2023-10-30_16h16.08.521,VExplicitOC_RO,2022.2.5,MacIntel,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74,3.104,0,7,7,7,1,watch a short animation,008.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
