participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,90.70138889,6.7241,2.0075,0,0,0,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,2.0162,0,1,1,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,-21.08854167,6.0344,2.0179,0,2,2,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF95014,22ED6B0E-E046-4932-A64B-88BFF2C8E943,2023-10-30_17h39.43.154,VExplicitOC_RO,2022.2.5,MacIntel,59.99880002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
