"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.at.the.rate.of..9.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1730559929168,"02/11/2024 15:05:29",1730559929168,0,"02/11/2024 15:05:29",193496,6,"questionnaire-1tsk",NA,41066654,11991274,NA,"complete",NA,"67263faac09c45e34d940bc5","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x991",NA,NA,0,"Consent",12,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF48951"
"1",1730560821949,"02/11/2024 15:20:21",1730560821949,0,"02/11/2024 15:20:21",193496,6,"questionnaire-1tsk",NA,41066699,11991286,NA,"complete",NA,"67263fb0077a6f1611a42eb4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","911x427",NA,NA,0,"Consent",12,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF59066"
"1",1730560433671,"02/11/2024 15:13:53",1730546033671,-4,"02/11/2024 07:13:53",193496,6,"questionnaire-1tsk",NA,41066771,11991304,NA,"complete",NA,"6726413fccd3ac4b2f62cddd","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x559",NA,NA,0,"Consent",12,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF75783"
"1",1730560438920,"02/11/2024 15:13:58",1730560438920,0,"02/11/2024 15:13:58",193496,6,"questionnaire-1tsk",NA,41066774,11991307,NA,"complete",NA,"6726419c40ba1b1c8a02a142","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"Consent",12,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF06979"
"1",1730560442402,"02/11/2024 15:14:02",1730560442402,0,"02/11/2024 15:14:02",193496,6,"questionnaire-1tsk",NA,41066775,11991308,NA,"complete",NA,"672640b30d21df547cee43bf","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1920x1080","1200x665",NA,NA,0,"Consent",12,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF09587"
"1",1730560673308,"02/11/2024 15:17:53",1730560673308,0,"02/11/2024 15:17:53",193496,6,"questionnaire-1tsk",NA,41066856,11991329,NA,"complete",NA,"6726428b0d21df547cee4456","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x738",NA,NA,0,"Consent",12,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF55556"
"1",1730560700481,"02/11/2024 15:18:20",1730560700481,0,"02/11/2024 15:18:20",193496,6,"questionnaire-1tsk",NA,41066863,11991332,NA,"complete",NA,"672642ac40ba1b1c8a02a17f","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x695",NA,NA,0,"Consent",12,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF84283"
"1",1730560839979,"02/11/2024 15:20:39",1730560839979,0,"02/11/2024 15:20:39",193496,6,"questionnaire-1tsk",NA,41066908,11991336,NA,"complete",NA,"67264337a05950f0df9892f7","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"Consent",12,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF94460"
"1",1730560917917,"02/11/2024 15:21:57",1730560917917,0,"02/11/2024 15:21:57",193496,6,"questionnaire-1tsk",NA,41066937,11991341,NA,"complete",NA,"6726434e779a8f3bff98916c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1280x832","1280x712",NA,NA,0,"Consent",12,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF37610"
"1",1730561161553,"02/11/2024 15:26:01",1730561161553,0,"02/11/2024 15:26:01",193496,6,"questionnaire-1tsk",NA,41067031,11991355,NA,"complete",NA,"67264261b58f023fb1e41d13","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1707x960","1365x671",NA,NA,0,"Consent",12,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF61088"
