"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1730465139386,"01/11/2024 12:45:39",1730465139386,0,"01/11/2024 12:45:39",193496,6,"questionnaire-tzdp",NA,41047280,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","1","2","MDPRF05688"
"1",1730465207527,"01/11/2024 12:46:47",1730465207527,0,"01/11/2024 12:46:47",193496,6,"questionnaire-tzdp",NA,41047295,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","1","2","MDPRF56321"
"1",1730465622978,"01/11/2024 12:53:42",1730465622978,0,"01/11/2024 12:53:42",193496,6,"questionnaire-tzdp",NA,41047439,11986060,NA,"complete",NA,"6724cde33934138679257f61","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1494x934","1494x793",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq1","1","2","MDPRF38095"
"1",1730465804208,"01/11/2024 12:56:44",1730465804208,0,"01/11/2024 12:56:44",193496,6,"questionnaire-tzdp",NA,41047481,11986070,NA,"complete",NA,"6724cfd1b1886425b73159eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","1","2","MDPRF67412"
"1",1730466075059,"01/11/2024 13:01:15",1730466075059,0,"01/11/2024 13:01:15",193496,6,"questionnaire-tzdp",NA,41047582,11986097,NA,"complete",NA,"6724cf3b223fc85abf2f32a5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1470x956","1200x721",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","MH_OCT","seq3","1","2","MDPRF46237"
"1",1730466116848,"01/11/2024 13:01:56",1730466116848,0,"01/11/2024 13:01:56",193496,6,"questionnaire-tzdp",NA,41047601,11986103,NA,"complete",NA,"6724d1189a4ebf6cba59225c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","1","2","MDPRF14083"
"1",1730466123570,"01/11/2024 13:02:03",1730466123570,0,"01/11/2024 13:02:03",193496,6,"questionnaire-tzdp",NA,41047605,11986104,NA,"complete",NA,"6724d0ec75133c29b72581e0","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq4","1","2","MDPRF43235"
"1",1730472417178,"01/11/2024 14:46:57",1730472417178,0,"01/11/2024 14:46:57",193496,6,"questionnaire-tzdp",NA,41050381,11986932,NA,"complete",NA,"6724e97e14f13b75e32a4dd2","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1600x900","1600x765",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq5","1","2","MDPRF08085"
"1",1730473373203,"01/11/2024 15:02:53",1730473373203,0,"01/11/2024 15:02:53",193496,6,"questionnaire-tzdp",NA,41050705,11987054,NA,"complete",NA,"6724ecfc81ff83b75562fa5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq1","1","2","MDPRF69892"
"1",1730504760457,"01/11/2024 23:46:00",1730504760457,0,"01/11/2024 23:46:00",193496,6,"questionnaire-tzdp",NA,41059539,11989570,NA,"complete",NA,"6725680c93d312b6ac186a04","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq2","1","2","MDPRF83022"
