"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1698680873293,"30/10/2023 15:47:53",1698680872016,0,"30/10/2023 15:47:52",149691,4,"task-9qxs",NA,32578515,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF45287"
"2",1698680879614,"30/10/2023 15:47:59",1698680878328,0,"30/10/2023 15:47:58",149691,4,"task-9qxs",NA,32578515,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",5666.19999980927,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF45287"
"3",1698680881930,"30/10/2023 15:48:01",1698680880707,0,"30/10/2023 15:48:00",149691,4,"task-9qxs",NA,32578515,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",2347.60000038147,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF45287"
"4",1698680882026,"30/10/2023 15:48:02",1698680880715,0,"30/10/2023 15:48:00",149691,4,"task-9qxs",NA,32578515,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",8699,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF45287"
"1",1698681400289,"30/10/2023 15:56:40",1698681400195,0,"30/10/2023 15:56:40",149691,4,"task-9qxs",NA,32578780,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF10933"
"2",1698681414248,"30/10/2023 15:56:54",1698681414193,0,"30/10/2023 15:56:54",149691,4,"task-9qxs",NA,32578780,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",13225.3999999985,NA,"Enter Key","Elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF10933"
"3",1698681417589,"30/10/2023 15:56:57",1698681417556,0,"30/10/2023 15:56:57",149691,4,"task-9qxs",NA,32578780,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",3351.59999999776,NA,"Enter Key","Sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF10933"
"4",1698681417659,"30/10/2023 15:56:57",1698681417559,0,"30/10/2023 15:56:57",149691,4,"task-9qxs",NA,32578780,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",17364,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF10933"
"1",1698681120382,"30/10/2023 15:52:00",1698681121014,0,"30/10/2023 15:52:01",149691,4,"task-9qxs",NA,32578637,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF03895"
"2",1698681129789,"30/10/2023 15:52:09",1698681130323,0,"30/10/2023 15:52:10",149691,4,"task-9qxs",NA,32578637,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",8936.70000004768,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF03895"
