"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1707930597969,"14/02/2024 17:09:57",1707930597969,0,"14/02/2024 17:09:57",163173,5,"questionnaire-tzdp",NA,35149425,10387491,NA,"complete",NA,"65ccf38b7c8fa41cb1d4ae4d","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",4,"1","2","MDPRF23119"
"1",1707930641471,"14/02/2024 17:10:41",1707912641471,-5,"14/02/2024 07:10:41",163173,5,"questionnaire-tzdp",NA,35149459,10387506,NA,"complete",NA,"65ccf3d9e62215312acf18ac","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1422x790",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",4,"1","2","MDPRF13097"
"1",1707930695695,"14/02/2024 17:11:35",1707930695695,0,"14/02/2024 17:11:35",163173,5,"questionnaire-tzdp",NA,35149538,10387524,NA,"complete",NA,"65ccf40ac163c204f747e289","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",2,"1","2","MDPRF64836"
"1",1707930804141,"14/02/2024 17:13:24",1707930804141,0,"14/02/2024 17:13:24",163173,5,"questionnaire-tzdp",NA,35149686,10387555,NA,"complete",NA,"65ccf482e1bae130ba2a80c2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x800","1280x673",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",4,"1","2","MDPRF54374"
"1",1707930801150,"14/02/2024 17:13:21",1707930801150,0,"14/02/2024 17:13:21",163173,5,"questionnaire-tzdp",NA,35149687,10387526,NA,"complete",NA,"65ccf4349dae843a0d0f9880","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1920x1080","1703x844",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In",2,"1","2","MDPRF02797"
"1",1707930821977,"14/02/2024 17:13:41",1707930821977,0,"14/02/2024 17:13:41",163173,5,"questionnaire-tzdp",NA,35149716,10387564,NA,"complete",NA,"65ccf48b8a8e9c826f9c5ecf","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x929",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In",4,"1","2","MDPRF10666"
"1",1707930946014,"14/02/2024 17:15:46",1707930946014,0,"14/02/2024 17:15:46",163173,5,"questionnaire-tzdp",NA,35149858,10387604,NA,"complete",NA,"65ccf509ab1e0c50343ca407","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In",1,"1","2","MDPRF41746"
"1",1707930976819,"14/02/2024 17:16:16",1707930976819,0,"14/02/2024 17:16:16",163173,5,"questionnaire-tzdp",NA,35149899,10387626,NA,"complete",NA,"65ccf540792c7d5ae6024ccb","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","2048x926",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In",2,"1","2","MDPRF62405"
"1",1707930990086,"14/02/2024 17:16:30",1707930990086,0,"14/02/2024 17:16:30",163173,5,"questionnaire-tzdp",NA,35149918,10387622,NA,"complete",NA,"65ccf525ad4f6da6f1dc487c","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1366x768","1366x635",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"In",1,"1","2","MDPRF56705"
"1",1707931030726,"14/02/2024 17:17:10",1707931030726,0,"14/02/2024 17:17:10",163173,5,"questionnaire-tzdp",NA,35149958,10387633,NA,"complete",NA,"65ccf57bc06aada397cbe508","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x833",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In",3,"1","2","MDPRF36379"
