"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things..Quantised","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited.Quantised","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t.Quantised","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people..Quantised","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything..Quantised","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable.Quantised","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future.Quantised","Multiple.Choice.Grid.object.3.I.felt.enthusiastic","Multiple.Choice.Grid.object.3.I.felt.enthusiastic..Quantised","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything..Quantised","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring.Quantised","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me.Quantised","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion..Quantised","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do.Quantised","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose.Quantised","Score..ASA.Score","Random_ID"
"1",1707930741374,"14/02/2024 17:12:21",1707930741374,0,"14/02/2024 17:12:21",163173,5,"questionnaire-nsch",NA,35149606,10387499,NA,"complete",NA,"65ccf3430ed0fd86d10054a7","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","958x943",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",1,"Always","4","Always","4","Sometimes","2","Always","4","Always","4","Often","3","Always","4","Often","3","Always","4","Often","3","Never","1","Always","4","Always","4","Always","4","34","MDPRF01065"
"1",1707930757382,"14/02/2024 17:12:37",1707912757382,-5,"14/02/2024 07:12:37",163173,5,"questionnaire-nsch",NA,35149633,10387506,NA,"complete",NA,"65ccf3d9e62215312acf18ac","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1422x790",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",4,"Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","Often","3","Never","1","Sometimes","2","Sometimes","2","11","MDPRF13097"
"1",1707930821464,"14/02/2024 17:13:41",1707930821464,0,"14/02/2024 17:13:41",163173,5,"questionnaire-nsch",NA,35149714,10387466,NA,"complete",NA,"65ccf2f9b0efb42d0625139b","computer","Desktop or Laptop","Windows 10","Opera 106.0.0.0","1920x1080","1879x970",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",3,"Often","3","Always","4","Always","4","Always","4","Always","4","Always","4","Always","4","Never","1","Always","4","Always","4","Never","1","Often","3","Always","4","Never","1","31","MDPRF09500"
"1",1707931102576,"14/02/2024 17:18:22",1707931102576,0,"14/02/2024 17:18:22",163173,5,"questionnaire-nsch",NA,35150048,10387524,NA,"complete",NA,"65ccf40ac163c204f747e289","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",2,"Always","4","Always","4","Often","3","Always","4","Often","3","Often","3","Often","3","Sometimes","2","Often","3","Sometimes","2","Never","1","Sometimes","2","Always","4","Never","1","25","MDPRF64836"
"1",1707932085607,"14/02/2024 17:34:45",1707932085607,0,"14/02/2024 17:34:45",163173,5,"questionnaire-nsch",NA,35151318,10387555,NA,"complete",NA,"65ccf482e1bae130ba2a80c2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x800","1280x673",NA,NA,0,"ASA (Clone)",1,"In","EFDGCHBIAJLK",NA,"In",4,"Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Often","3","Sometimes","2","Never","1","Always","4","9","MDPRF54374"
"1",1707932608639,"14/02/2024 17:43:28",1707932608639,0,"14/02/2024 17:43:28",163173,5,"questionnaire-nsch",NA,35151937,10387526,NA,"complete",NA,"65ccf4349dae843a0d0f9880","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1920x1080","1703x844",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",2,"Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Often","3","Never","1","Sometimes","2","Often","3","9","MDPRF02797"
"1",1707931102839,"14/02/2024 17:18:22",1707931102839,0,"14/02/2024 17:18:22",163173,5,"questionnaire-nsch",NA,35150045,10387633,NA,"complete",NA,"65ccf57bc06aada397cbe508","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x833",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",3,"Sometimes","2","Often","3","Often","3","Always","4","Often","3","Often","3","Always","4","Sometimes","2","Always","4","Sometimes","2","Sometimes","2","Often","3","Always","4","Sometimes","2","27","MDPRF36379"
"1",1707931157261,"14/02/2024 17:19:17",1707931157261,0,"14/02/2024 17:19:17",163173,5,"questionnaire-nsch",NA,35150108,10387660,NA,"complete",NA,"65ccf5aec925b33add15f64a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"ASA (Clone)",1,"In","LAKBJCIDHEGF",NA,"In",3,"Often","3","Often","3","Often","3","Often","3","Sometimes","2","Often","3","Never","1","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Often","3","17","MDPRF53772"
"1",1707931171287,"14/02/2024 17:19:31",1707931171287,0,"14/02/2024 17:19:31",163173,5,"questionnaire-nsch",NA,35150126,10387662,NA,"complete",NA,"65ccf5d589fa91e9c82510cc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",2,"Sometimes","2","Never","1","Never","1","Sometimes","2","Never","1","Sometimes","2","Never","1","Often","3","Never","1","Never","1","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","8","MDPRF05446"
"1",1707931176020,"14/02/2024 17:19:36",1707931176020,0,"14/02/2024 17:19:36",163173,5,"questionnaire-nsch",NA,35150132,10387626,NA,"complete",NA,"65ccf540792c7d5ae6024ccb","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","2048x926",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",2,"Sometimes","2","Sometimes","2","Often","3","Often","3","Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","Always","4","Sometimes","2","Never","1","Often","3","Often","3","16","MDPRF62405"
