"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Slider_LH.object.2.Value","Random_ID"
"1",1707931487374,"14/02/2024 17:24:47",1707931487374,0,"14/02/2024 17:24:47",163173,5,"questionnaire-txxf",NA,35150546,10387524,NA,"complete",NA,"65ccf40ac163c204f747e289","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",2,"-75","MDPRF64836"
"1",1707931493334,"14/02/2024 17:24:53",1707931493334,0,"14/02/2024 17:24:53",163173,5,"questionnaire-txxf",NA,35150558,10387491,NA,"complete",NA,"65ccf38b7c8fa41cb1d4ae4d","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",4,"26","MDPRF23119"
"1",1707931502558,"14/02/2024 17:25:02",1707931502558,0,"14/02/2024 17:25:02",163173,5,"questionnaire-txxf",NA,35150563,10387555,NA,"complete",NA,"65ccf482e1bae130ba2a80c2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x800","1280x673",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",4,"49","MDPRF54374"
"1",1707930958197,"14/02/2024 17:15:58",1707930958197,0,"14/02/2024 17:15:58",163173,5,"questionnaire-txxf",NA,35149877,10387604,NA,"complete",NA,"65ccf509ab1e0c50343ca407","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",1,"-19","MDPRF41746"
"1",1707931061952,"14/02/2024 17:17:41",1707931061952,0,"14/02/2024 17:17:41",163173,5,"questionnaire-txxf",NA,35149999,10387626,NA,"complete",NA,"65ccf540792c7d5ae6024ccb","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","2048x926",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",2,"70","MDPRF62405"
"1",1707931220923,"14/02/2024 17:20:20",1707931220923,0,"14/02/2024 17:20:20",163173,5,"questionnaire-txxf",NA,35150178,10387622,NA,"complete",NA,"65ccf525ad4f6da6f1dc487c","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1366x768","1366x635",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In",1,"53","MDPRF56705"
"1",1707931261212,"14/02/2024 17:21:01",1707931261212,0,"14/02/2024 17:21:01",163173,5,"questionnaire-txxf",NA,35150227,10387633,NA,"complete",NA,"65ccf57bc06aada397cbe508","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x833",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In",3,"8","MDPRF36379"
"1",1707931342484,"14/02/2024 17:22:22",1707913342484,-5,"14/02/2024 07:22:22",163173,5,"questionnaire-txxf",NA,35150339,10387701,NA,"complete",NA,"65ccf68189fa91e9c82510f1","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",2,"58","MDPRF94910"
"1",1707931400342,"14/02/2024 17:23:20",1707931400342,0,"14/02/2024 17:23:20",163173,5,"questionnaire-txxf",NA,35150422,10387699,NA,"complete",NA,"65ccf65e82d02149b515f608","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","960x546",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",2,"-56","MDPRF54733"
"1",1707931522752,"14/02/2024 17:25:22",1707931522752,0,"14/02/2024 17:25:22",163173,5,"questionnaire-txxf",NA,35150596,10387698,NA,"complete",NA,"65ccf677d89ea75f23a6f20f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",3,"60","MDPRF62264"
