"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"11",1707929950099,"14/02/2024 16:59:10",1707929950099,0,"14/02/2024 16:59:10",163173,5,"questionnaire-uu2n",NA,35148385,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",6824.7,11016.3,11024,6824.7,11016.3,11024,1,6824.7,4199.29999999996,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF13138"
"12",1707929950100,"14/02/2024 16:59:10",1707929950100,0,"14/02/2024 16:59:10",163173,5,"questionnaire-uu2n",NA,35148385,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",8849.8,11016.3,11024.4000000001,8849.8,11016.3,11024.4000000001,1,8849.8,2174.60000000009,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF13138"
"13",1707929950100,"14/02/2024 16:59:10",1707929950100,0,"14/02/2024 16:59:10",163173,5,"questionnaire-uu2n",NA,35148385,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","7",10383,11016.3,11024.5,10383,11016.3,11024.5,1,10383,641.5,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF13138"
"14",1707929950104,"14/02/2024 16:59:10",1707929950104,0,"14/02/2024 16:59:10",163173,5,"questionnaire-uu2n",NA,35148385,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF13138"
"1",1707929764954,"14/02/2024 16:56:04",1707929764954,0,"14/02/2024 16:56:04",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF63569"
"2",1707929779642,"14/02/2024 16:56:19",1707929779642,0,"14/02/2024 16:56:19",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",14698.28,14688.98,14698.28,14698.28,14688.98,14698.28,1,14698.28,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF63569"
"3",1707929779644,"14/02/2024 16:56:19",1707929779644,0,"14/02/2024 16:56:19",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",6568.48,14688.98,14704.58,6568.48,14688.98,14704.58,1,6568.48,8136.1,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF63569"
"4",1707929779644,"14/02/2024 16:56:19",1707929779644,0,"14/02/2024 16:56:19",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",8656.88,14688.98,14704.58,8656.88,14688.98,14704.58,1,8656.88,6047.7,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF63569"
"5",1707929779645,"14/02/2024 16:56:19",1707929779645,0,"14/02/2024 16:56:19",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",13268.48,14688.98,14704.58,13268.48,14688.98,14704.58,1,13268.48,1436.1,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF63569"
"6",1707929793869,"14/02/2024 16:56:33",1707929793869,0,"14/02/2024 16:56:33",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",14242.4,14238.5,14242.4,14242.4,14238.5,14242.4,1,14242.4,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF63569"
