"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"3",1707931969420,"14/02/2024 17:32:49",1707931969396,0,"14/02/2024 17:32:49",163173,5,"task-9qxs",NA,35151158,10387725,NA,"complete",NA,"65ccf702018a2f91fd4de631","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x825",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKELDACB",NA,"In",4,"Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",2314.80000000447,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF36650"
"4",1707931969504,"14/02/2024 17:32:49",1707931969398,0,"14/02/2024 17:32:49",163173,5,"task-9qxs",NA,35151158,10387725,NA,"complete",NA,"65ccf702018a2f91fd4de631","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x825",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKELDACB",NA,"In",4,"Spreadsheet1","",NA,"END TASK",NA,"","","",14465,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF36650"
"1",1707932120119,"14/02/2024 17:35:20",1707932120058,0,"14/02/2024 17:35:20",163173,5,"task-9qxs",NA,35151368,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In",2,"Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF15001"
"2",1707932129477,"14/02/2024 17:35:29",1707932129434,0,"14/02/2024 17:35:29",163173,5,"task-9qxs",NA,35151368,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In",2,"Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",9177.30000001192,NA,"Enter Key","Cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF15001"
"3",1707932133581,"14/02/2024 17:35:33",1707932133554,0,"14/02/2024 17:35:33",163173,5,"task-9qxs",NA,35151368,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In",2,"Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",4108,NA,"Enter Key","Snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF15001"
"4",1707932133629,"14/02/2024 17:35:33",1707932133560,0,"14/02/2024 17:35:33",163173,5,"task-9qxs",NA,35151368,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In",2,"Spreadsheet1","",NA,"END TASK",NA,"","","",13502,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF15001"
"1",1707932141325,"14/02/2024 17:35:41",1707932140779,0,"14/02/2024 17:35:40",163173,5,"task-9qxs",NA,35151391,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In",4,"Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF06162"
"2",1707932147226,"14/02/2024 17:35:47",1707932146721,0,"14/02/2024 17:35:46",163173,5,"task-9qxs",NA,35151391,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In",4,"Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",5585.79999999702,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF06162"
"3",1707932149228,"14/02/2024 17:35:49",1707932148678,0,"14/02/2024 17:35:48",163173,5,"task-9qxs",NA,35151391,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In",4,"Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",1951.29999999702,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF06162"
"4",1707932149469,"14/02/2024 17:35:49",1707932148680,0,"14/02/2024 17:35:48",163173,5,"task-9qxs",NA,35151391,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In",4,"Spreadsheet1","",NA,"END TASK",NA,"","","",7901,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF06162"
