"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1707933287268,"14/02/2024 17:54:47",1707933287268,0,"14/02/2024 17:54:47",163173,5,"questionnaire-79c5",NA,35152520,10387877,NA,"complete",NA,"65ccf95806151f0d36e04283","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x681",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"In",2,"Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","MDPRF88097"
"1",1707933479426,"14/02/2024 17:57:59",1707933479426,0,"14/02/2024 17:57:59",163173,5,"questionnaire-79c5",NA,35152723,10387907,NA,"complete",NA,"65ccf91d2db74dea4b209019","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"In",4,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF82422"
"1",1707933523157,"14/02/2024 17:58:43",1707933523157,0,"14/02/2024 17:58:43",163173,5,"questionnaire-79c5",NA,35152759,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"In",4,"Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","MDPRF69675"
"1",1707933743991,"14/02/2024 18:02:23",1707933743991,0,"14/02/2024 18:02:23",163173,5,"questionnaire-79c5",NA,35153007,10387879,NA,"complete",NA,"65ccf9a2b0efb42d06251545","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1318x646",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"In",2,"Certainly true","3","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","MDPRF72992"
"1",1707933816227,"14/02/2024 18:03:36",1707933816227,0,"14/02/2024 18:03:36",163173,5,"questionnaire-79c5",NA,35153090,10388203,NA,"complete",NA,"65ccff82f200e9541dc03e61","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1280x617",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",2,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF65249"
"1",1707933845365,"14/02/2024 18:04:05",1707933845365,0,"14/02/2024 18:04:05",163173,5,"questionnaire-79c5",NA,35153125,10388170,NA,"complete",NA,"65ccff7276d1e7e176ecd8cb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 95.0.4638.54","1440x900","1440x821",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"In",1,"Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","MDPRF50626"
"1",1707935192161,"14/02/2024 18:26:32",1707913592161,-6,"14/02/2024 06:26:32",163173,5,"questionnaire-79c5",NA,35154121,10388441,NA,"complete",NA,"65cd0587377ad148b585ac2e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",4,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF56429"
"1",1707937409305,"14/02/2024 19:03:29",1707937409305,0,"14/02/2024 19:03:29",163173,5,"questionnaire-79c5",NA,35155321,10388716,NA,"complete",NA,"65cd0d38500351e8c8f80863","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x632",NA,NA,0,"ARI",2,"In","LAKBJCIDHEGF",NA,"In",1,"Not true","1","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","MDPRF66474"
"1",1707938527945,"14/02/2024 19:22:07",1707938527945,0,"14/02/2024 19:22:07",163173,5,"questionnaire-79c5",NA,35155950,10388818,NA,"complete",NA,"65cd107fe75dfbcced622892","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1536x864","1528x742",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"In",3,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF26473"
"1",1707939776163,"14/02/2024 19:42:56",1707939776163,0,"14/02/2024 19:42:56",163173,5,"questionnaire-79c5",NA,35156578,10388952,NA,"complete",NA,"65cd14d809dab9082ed13b86","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","865x673",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"In",2,"Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF32263"
