"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"28","APPROVED","Not Applicable","2024-02-14T17:36:33.661000Z","2024-02-14T18:14:02.607000Z","2024-02-15T10:12:53.977000Z","2024-02-14T18:14:03.181059Z",2249,"C1FKYHSS",363,"English","21","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","MDPRF02872"
"29","APPROVED","Not Applicable","2024-02-14T18:01:34.519000Z","2024-02-14T18:43:20.481000Z","2024-02-15T10:22:07.311000Z","2024-02-14T18:43:21.065542Z",2506,"C1FKYHSS",894,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF65249"
"30","APPROVED","Not Applicable","2024-02-14T18:59:30.078000Z","2024-02-14T19:42:37.512000Z","2024-02-15T10:17:24.237000Z","2024-02-14T19:42:38.021946Z",2588,"C1FKYHSS",236,"English","20","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Full-Time","MDPRF66474"
"31","APPROVED","Not Applicable","2024-02-15T10:04:38.458000Z","2024-02-15T10:48:05.228000Z","2024-02-15T15:52:05.290000Z","2024-02-15T10:48:05.679983Z",2607,"NOCODE",180,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF99282"
"32","APPROVED","Not Applicable","2024-02-15T10:07:07.195000Z","2024-02-15T10:34:34.460000Z","2024-02-15T15:52:05.520000Z","2024-02-15T10:34:35.004297Z",1648,"C1FKYHSS",198,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF41593"
"33","APPROVED","Not Applicable","2024-02-15T10:10:07.381000Z","2024-02-15T10:51:36.678000Z","2024-02-15T15:47:49.896000Z","2024-02-15T10:51:37.220409Z",2490,"C1FKYHSS",411,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF75167"
"34","APPROVED","Not Applicable","2024-02-15T10:22:21.052000Z","2024-02-15T10:57:55.298000Z","2024-02-15T15:45:54.823000Z","2024-02-15T10:57:55.798723Z",2135,"C1FKYHSS",1371,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF05565"
"35","APPROVED","Not Applicable","2024-02-15T10:24:02.574000Z","2024-02-15T11:00:10.160000Z","2024-02-15T15:49:17.465000Z","2024-02-15T11:00:10.826637Z",2168,"C1FKYHSS",89,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF22046"
"36","APPROVED","Not Applicable","2024-02-15T10:29:58.851000Z","2024-02-15T11:15:55.651000Z","2024-02-15T15:52:05.745000Z","2024-02-15T11:15:56.145362Z",2757,"C1FKYHSS",88,"English","18","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","MDPRF02681"
"37","APPROVED","Not Applicable","2024-02-15T10:37:26.804000Z","2024-02-15T11:47:04.701000Z","2024-02-15T15:47:50.340000Z","2024-02-15T11:47:05.304522Z",4178,"C1FKYHSS",242,"English, Danish, Somali","24","Male","Black","United Kingdom","United Kingdom","United Kingdom","Somali","No","Full-Time","MDPRF95465"
