"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"87","APPROVED","Not Applicable","2024-02-14T17:02:23.658000Z","2024-02-14T17:38:54.744000Z","2024-02-15T10:17:17.997000Z","2024-02-14T17:38:56.028000Z",2192,"C1FKYHSS",214,"English","26","Female","White","Canada","United Kingdom","Canada","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF99152"
"88","APPROVED","Not Applicable","2024-02-14T17:06:30.690000Z","2024-02-14T18:12:49.538000Z","2024-02-15T10:19:52.945000Z","2024-02-14T18:12:50.275000Z",3979,"C1FKYHSS",229,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF09500"
"89","APPROVED","Not Applicable","2024-02-14T17:08:56.041000Z","2024-02-14T18:03:35.034000Z","2024-02-15T10:17:22.477000Z","2024-02-14T18:03:35.961000Z",3279,"C1FKYHSS",1320,"English","27","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","MDPRF01065"
"90","APPROVED","Not Applicable","2024-02-14T17:07:37.679000Z","2024-02-14T17:47:56.348000Z","2024-02-15T10:22:02.035000Z","2024-02-14T17:47:57.369000Z",2419,"C1FKYHSS",480,"English, Urdu","24","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF36184"
"91","APPROVED","Not Applicable","2024-02-14T17:08:30.595000Z","2024-02-14T17:55:10.767000Z","2024-02-15T10:19:53.358000Z","2024-02-14T17:55:11.711000Z",2801,"C1FKYHSS",368,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF23119"
"92","APPROVED","Not Applicable","2024-02-14T17:09:09.445000Z","2024-02-14T17:46:58.500000Z","2024-02-15T10:10:51.294000Z","2024-02-14T17:46:59.251000Z",2270,"C1FKYHSS",414,"English, Nepali","24","Female","Asian","Nepal","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF88213"
"93","APPROVED","Not Applicable","2024-02-14T17:09:49.767000Z","2024-02-14T17:45:34.205000Z","2024-02-15T10:10:51.890000Z","2024-02-14T17:45:35.300000Z",2145,"C1FKYHSS",1568,"French, English","23","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF13097"
"94","APPROVED","Not Applicable","2024-02-14T17:10:44.105000Z","2024-02-14T17:51:36.383000Z","2024-02-15T10:17:22.817000Z","2024-02-14T17:51:37.247000Z",2453,"C1FKYHSS",38,"English, French","24","Male","White","France","United Kingdom","France","French","Yes","Unemployed (and job seeking)","MDPRF64836"
"95","APPROVED","Not Applicable","2024-02-14T17:11:16.486000Z","2024-02-14T18:33:00.907000Z","2024-02-15T10:17:23.018000Z","2024-02-14T18:33:01.728000Z",4905,"C1FKYHSS",1415,"English","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF02797"
"96","APPROVED","Not Applicable","2024-02-14T17:12:40.205000Z","2024-02-14T18:09:17.721000Z","2024-02-15T10:17:23.215000Z","2024-02-14T18:09:18.659000Z",3398,"C1FKYHSS",151,"English, Polish","22","Male","White","Poland","United Kingdom","Poland","Polish","DATA_EXPIRED","DATA_EXPIRED","MDPRF54374"
"97","APPROVED","Not Applicable","2024-02-14T17:12:47.683000Z","2024-02-14T17:48:52.265000Z","2024-02-15T10:19:53.573000Z","2024-02-14T17:48:52.998000Z",2165,"C1FKYHSS",313,"English","26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF10666"
"98","APPROVED","Not Applicable","2024-02-14T17:14:56.051000Z","2024-02-14T17:51:53.207000Z","2024-02-15T10:10:56.325000Z","2024-02-14T17:51:53.995000Z",2218,"C1FKYHSS",420,"English, Urdu","26","Male","Asian","United Arab Emirates","United Kingdom","Canada","Urdu","DATA_EXPIRED","DATA_EXPIRED","MDPRF41746"
"99","APPROVED","Not Applicable","2024-02-14T17:15:21.088000Z","2024-02-14T17:56:42.253000Z","2024-02-15T10:19:53.779000Z","2024-02-14T17:56:43.389000Z",2482,"C1FKYHSS",60,"English, Hindi, Pashto, Urdu","18","Male","Asian","Pakistan","United Kingdom","Pakistan","English","Yes","Other","MDPRF56705"
"100","APPROVED","Not Applicable","2024-02-14T17:15:44.778000Z","2024-02-14T17:50:37.088000Z","2024-02-15T10:08:14.199000Z","2024-02-14T17:50:38.239000Z",2093,"C1FKYHSS",506,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Due to start a new job within the next month","MDPRF62405"
"101","APPROVED","Not Applicable","2024-02-14T17:16:45.720000Z","2024-02-14T17:46:02.188000Z","2024-02-15T10:12:48.631000Z","2024-02-14T17:46:03.013000Z",1757,"C1FKYHSS",302,"English","23","Female","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF36379"
"102","APPROVED","Not Applicable","2024-02-14T17:18:06.425000Z","2024-02-14T18:12:07.217000Z","2024-02-15T10:17:23.410000Z","2024-02-14T18:12:08.052000Z",3241,"C1FKYHSS",203,"English, Other","25","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Full-Time","MDPRF53772"
"103","APPROVED","Not Applicable","2024-02-14T17:17:55.127000Z","2024-02-14T18:01:40.204000Z","2024-02-15T10:22:06.557000Z","2024-02-14T18:01:41.086000Z",2626,"C1FKYHSS",250,"English","25","Male","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF66727"
"104","APPROVED","Not Applicable","2024-02-14T17:18:31.911000Z","2024-02-14T17:52:01.817000Z","2024-02-15T10:12:53.638000Z","2024-02-14T17:52:02.837000Z",2010,"C1FKYHSS",496,"English","19","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Due to start a new job within the next month","MDPRF05446"
"105","APPROVED","Not Applicable","2024-02-14T17:18:34.881000Z","2024-02-14T17:50:51.158000Z","2024-02-15T10:17:23.603000Z","2024-02-14T17:50:51.931000Z",1937,"C1FKYHSS",346,"English, Polish","26","Male","White","Poland","United Kingdom","Poland","Polish","DATA_EXPIRED","DATA_EXPIRED","MDPRF96993"
"106","APPROVED","Not Applicable","2024-02-14T17:20:14.073000Z","2024-02-14T18:00:30.539000Z","2024-02-15T10:17:18.207000Z","2024-02-14T18:00:31.217000Z",2417,"C1FKYHSS",55,"English, Welsh","24","Female","White","United Kingdom","United Kingdom","United Kingdom","Welsh","No","Full-Time","MDPRF48256"
"107","APPROVED","Not Applicable","2024-02-14T17:21:08.090000Z","2024-02-14T17:53:21.752000Z","2024-02-15T10:17:23.812000Z","2024-02-14T17:53:22.658000Z",1934,"C1FKYHSS",541,"Chinese, English","24","Male","Asian","Malaysia","United Kingdom","Malaysia","English","No","Full-Time","MDPRF54733"
"108","APPROVED","Not Applicable","2024-02-14T17:21:02.942000Z","2024-02-14T17:59:15.253000Z","2024-02-15T10:17:18.419000Z","2024-02-14T17:59:15.976000Z",2293,"C1FKYHSS",755,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF62264"
"109","APPROVED","Not Applicable","2024-02-14T17:21:11.894000Z","2024-02-14T18:01:45.934000Z","2024-02-15T10:22:02.237000Z","2024-02-14T18:01:46.695000Z",2435,"C1FKYHSS",342,"English","24","Female","White","United States","United Kingdom","United States","English","Yes","Unemployed (and job seeking)","MDPRF94910"
"110","APPROVED","Not Applicable","2024-02-14T17:21:24.807000Z","2024-02-14T18:40:25.166000Z","2024-02-15T10:17:24.043000Z","2024-02-14T18:40:25.915000Z",4741,"C1FKYHSS",29,"English","22","Male","White","United States","United States","United States","English","No","Full-Time","MDPRF00664"
"111","APPROVED","Not Applicable","2024-02-14T17:23:16.067000Z","2024-02-14T17:53:57.858000Z","2024-02-15T10:19:54.004000Z","2024-02-14T17:53:58.768000Z",1842,"C1FKYHSS",622,"English, Spanish","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF36650"
"112","APPROVED","Not Applicable","2024-02-14T17:24:06.602000Z","2024-02-14T17:59:13.534000Z","2024-02-15T10:17:18.628000Z","2024-02-14T17:59:14.253000Z",2107,"C1FKYHSS",387,"English, Cantonese, Mandarin","23","Female","Asian","Hong Kong","United Kingdom","Hong Kong","Cantonese","Yes","DATA_EXPIRED","MDPRF15001"
"113","APPROVED","Not Applicable","2024-02-14T17:24:38.860000Z","2024-02-14T18:03:23.841000Z","2024-02-15T10:10:56.697000Z","2024-02-14T18:03:24.511000Z",2325,"C1FKYHSS",312,"DATA_EXPIRED","26","Male","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","MDPRF71024"
"114","APPROVED","Not Applicable","2024-02-14T17:25:02.790000Z","2024-02-14T18:00:26.411000Z","2024-02-15T10:08:19.232000Z","2024-02-14T18:00:27.131000Z",2124,"C1FKYHSS",1632,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF88210"
"115","APPROVED","Not Applicable","2024-02-14T17:25:56.864000Z","2024-02-14T18:11:50.461000Z","2024-02-15T10:17:18.844000Z","2024-02-14T18:11:51.204000Z",2754,"C1FKYHSS",73,"DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","MDPRF59606"
"116","APPROVED","Not Applicable","2024-02-14T17:25:31.261000Z","2024-02-14T17:59:48.413000Z","2024-02-15T10:22:06.887000Z","2024-02-14T17:59:49.291000Z",2058,"C1FKYHSS",179,"English","21","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF32156"
"117","APPROVED","Not Applicable","2024-02-14T17:25:27.593000Z","2024-02-14T17:56:42.753000Z","2024-02-15T10:10:56.927000Z","2024-02-14T17:56:43.622000Z",1876,"C1FKYHSS",272,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF06162"
"118","APPROVED","Not Applicable","2024-02-14T17:25:36.377000Z","2024-02-14T18:01:21.015000Z","2024-02-15T10:10:52.104000Z","2024-02-14T18:01:21.704000Z",2145,"C1FKYHSS",432,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF84633"
"119","APPROVED","Not Applicable","2024-02-14T17:25:48.080000Z","2024-02-14T18:22:28.360000Z","2024-02-15T10:22:07.092000Z","2024-02-14T18:22:29.154000Z",3401,"C1FKYHSS",107,"Spanish, Catalan, English","22","Male","White","Spain","United States","Spain","Spanish","DATA_EXPIRED","Part-Time","MDPRF06732"
"120","APPROVED","Not Applicable","2024-02-14T17:26:35.536000Z","2024-02-14T18:16:03.148000Z","2024-02-15T10:22:02.434000Z","2024-02-14T18:16:04.255000Z",2968,"C1FKYHSS",1433,"English","26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","MDPRF63488"
"121","APPROVED","Not Applicable","2024-02-14T17:26:09.020000Z","2024-02-14T18:03:50.359000Z","2024-02-15T10:10:52.309000Z","2024-02-14T18:03:51.212000Z",2262,"C1FKYHSS",770,"English, French","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF42960"
"122","APPROVED","Not Applicable","2024-02-14T17:26:56.569000Z","2024-02-14T18:00:24.845000Z","2024-02-15T10:22:02.626000Z","2024-02-14T18:00:25.656000Z",2009,"C1FKYHSS",345,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF27407"
"123","APPROVED","Not Applicable","2024-02-14T17:28:11.337000Z","2024-02-14T18:12:02.708000Z","2024-02-15T10:19:54.224000Z","2024-02-14T18:12:03.508000Z",2632,"C1FKYHSS",610,"English","26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","MDPRF42249"
"124","APPROVED","Not Applicable","2024-02-14T17:28:20.198000Z","2024-02-14T18:18:49.822000Z","2024-02-15T10:19:54.612000Z","2024-02-14T18:18:50.565000Z",3030,"C1FKYHSS",351,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF20908"
"125","APPROVED","Not Applicable","2024-02-14T17:31:21.259000Z","2024-02-14T18:04:43.290000Z","2024-02-15T10:17:19.056000Z","2024-02-14T18:04:44.158000Z",2003,"C1FKYHSS",1456,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","MDPRF77020"
"126","APPROVED","Not Applicable","2024-02-14T17:30:32.566000Z","2024-02-14T18:06:48.011000Z","2024-02-15T10:08:14.524000Z","2024-02-14T18:06:48.928000Z",2176,"C1FKYHSS",775,"English","25","Male","White","Australia","United Kingdom","Australia","English","Yes","DATA_EXPIRED","MDPRF98941"
"127","APPROVED","Not Applicable","2024-02-14T17:31:23.626000Z","2024-02-14T17:58:40.624000Z","2024-02-15T10:08:14.725000Z","2024-02-14T17:58:41.571000Z",1637,"C1FKYHSS",948,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF37738"
"128","APPROVED","Not Applicable","2024-02-14T17:40:14.191000Z","2024-02-14T18:35:57.379000Z","2024-02-15T10:08:15.155000Z","2024-02-14T18:35:58.233000Z",3344,"C1FKYHSS",865,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Other","MDPRF69675"
"129","APPROVED","Not Applicable","2024-02-14T17:36:33.318000Z","2024-02-14T18:26:40.210000Z","2024-02-15T10:19:54.824000Z","2024-02-14T18:26:41.113000Z",3007,"C1FKYHSS",111,"English, French","24","Male","White","United Kingdom","United Kingdom","Ireland","English","Yes","Other","MDPRF82422"
"130","APPROVED","Not Applicable","2024-02-14T17:33:18.065000Z","2024-02-14T18:26:22.453000Z","2024-02-15T10:22:02.835000Z","2024-02-14T18:26:23.694000Z",3185,"C1FKYHSS",1011,"Italian, French, English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF88097"
"131","APPROVED","Not Applicable","2024-02-14T17:34:33.126000Z","2024-02-14T18:40:24.899000Z","2024-02-15T10:19:48.480000Z","2024-02-14T18:40:25.703000Z",3952,"C1FKYHSS",446,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF72992"
"132","APPROVED","Not Applicable","2024-02-14T17:36:33.661000Z","2024-02-14T18:14:02.607000Z","2024-02-15T10:12:53.977000Z","2024-02-14T18:14:03.856000Z",2249,"C1FKYHSS",632,"English","21","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF02872"
"133","APPROVED","Not Applicable","2024-02-14T17:38:50.303000Z","2024-02-14T19:24:41.968000Z","2024-02-15T10:19:48.712000Z","2024-02-14T19:24:42.957000Z",6352,"C1FKYHSS",2086,"English","26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF32301"
"134","APPROVED","Not Applicable","2024-02-14T17:59:18.418000Z","2024-02-14T18:39:27.120000Z","2024-02-15T10:10:52.550000Z","2024-02-14T18:39:28.039000Z",2409,"C1FKYHSS",373,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF50626"
"135","APPROVED","Not Applicable","2024-02-14T18:01:34.519000Z","2024-02-14T18:43:20.481000Z","2024-02-15T10:22:07.311000Z","2024-02-14T18:43:21.325000Z",2506,"C1FKYHSS",978,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF65249"
"136","APPROVED","Not Applicable","2024-02-14T18:25:24.078000Z","2024-02-14T18:58:54.747000Z","2024-02-15T10:22:03.036000Z","2024-02-14T18:58:55.547000Z",2011,"C1FKYHSS",4311,"English","23","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF56429"
"137","APPROVED","Not Applicable","2024-02-14T18:59:30.078000Z","2024-02-14T19:42:37.512000Z","2024-02-15T10:17:24.237000Z","2024-02-14T19:42:38.320000Z",2588,"C1FKYHSS",266,"English","20","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Full-Time","MDPRF66474"
"138","APPROVED","Not Applicable","2024-02-14T19:13:17.906000Z","2024-02-14T20:02:51.264000Z","2024-02-15T10:22:03.231000Z","2024-02-14T20:02:52.092000Z",2974,"C1FKYHSS",858,"Punjabi, Urdu, English","19","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF26473"
"139","APPROVED","Not Applicable","2024-02-14T19:30:37.743000Z","2024-02-14T20:13:35.251000Z","2024-02-15T10:17:19.258000Z","2024-02-14T20:13:36.562000Z",2578,"C1FKYHSS",1527,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF32263"
"140","APPROVED","Not Applicable","2024-02-15T10:02:38.185000Z","2024-02-15T10:34:41.275000Z","2024-02-15T15:49:12.435000Z","2024-02-15T10:34:42.056000Z",1924,"C1FKYHSS",516,"English, German","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF79831"
"141","APPROVED","Not Applicable","2024-02-15T10:04:38.458000Z","2024-02-15T10:48:05.228000Z","2024-02-15T15:52:05.290000Z","2024-02-15T10:48:05.993000Z",2607,"NOCODE",198,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF99282"
"142","APPROVED","Not Applicable","2024-02-15T10:05:21.138000Z","2024-02-15T10:55:47.903000Z","2024-02-15T15:50:47.510000Z","2024-02-15T10:55:49.101000Z",3027,"C1FKYHSS",616,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","MDPRF72552"
"143","APPROVED","Not Applicable","2024-02-15T10:07:07.195000Z","2024-02-15T10:34:34.460000Z","2024-02-15T15:52:05.520000Z","2024-02-15T10:34:35.270000Z",1648,"C1FKYHSS",240,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF41593"
"144","APPROVED","Not Applicable","2024-02-15T10:10:07.381000Z","2024-02-15T10:51:36.678000Z","2024-02-15T15:47:49.896000Z","2024-02-15T10:51:37.473000Z",2490,"C1FKYHSS",533,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","MDPRF75167"
"145","APPROVED","Not Applicable","2024-02-15T10:22:21.052000Z","2024-02-15T10:57:55.298000Z","2024-02-15T15:45:54.823000Z","2024-02-15T10:57:56.068000Z",2135,"C1FKYHSS",1539,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF05565"
"146","APPROVED","Not Applicable","2024-02-15T10:29:08.177000Z","2024-02-15T10:56:57.857000Z","2024-02-15T15:50:47.945000Z","2024-02-15T10:56:58.895000Z",1670,"C1FKYHSS",528,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF08258"
"147","APPROVED","Not Applicable","2024-02-15T10:24:02.574000Z","2024-02-15T11:00:10.160000Z","2024-02-15T15:49:17.465000Z","2024-02-15T11:00:11.160000Z",2168,"C1FKYHSS",209,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF22046"
"148","APPROVED","Not Applicable","2024-02-15T10:24:45.193000Z","2024-02-15T10:59:50.349000Z","2024-02-15T15:52:10.354000Z","2024-02-15T10:59:51.174000Z",2106,"C1FKYHSS",371,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF02973"
"149","APPROVED","Not Applicable","2024-02-15T10:24:54.048000Z","2024-02-15T11:00:05.439000Z","2024-02-15T15:50:48.221000Z","2024-02-15T11:00:06.277000Z",2112,"C1FKYHSS",745,"DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","DATA_EXPIRED","MDPRF42986"
"150","APPROVED","Not Applicable","2024-02-15T10:28:51.886000Z","2024-02-15T11:15:57.602000Z","2024-02-15T15:47:54.893000Z","2024-02-15T11:15:58.426000Z",2826,"C1FKYHSS",751,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF73286"
"151","APPROVED","Not Applicable","2024-02-15T10:29:12.735000Z","2024-02-15T11:11:31.532000Z","2024-02-15T15:47:55.269000Z","2024-02-15T11:11:33.026000Z",2539,"C1FKYHSS",238,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF93128"
"152","APPROVED","Not Applicable","2024-02-15T10:29:58.851000Z","2024-02-15T11:15:55.651000Z","2024-02-15T15:52:05.745000Z","2024-02-15T11:15:56.397000Z",2757,"C1FKYHSS",109,"English","19","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF02681"
"153","APPROVED","Not Applicable","2024-02-15T10:37:26.804000Z","2024-02-15T11:47:04.701000Z","2024-02-15T15:47:50.340000Z","2024-02-15T11:47:05.616000Z",4178,"C1FKYHSS",343,"Danish, English, Somali","25","Male","Black","United Kingdom","United Kingdom","United Kingdom","Somali","DATA_EXPIRED","DATA_EXPIRED","MDPRF95465"
"154","APPROVED","Not Applicable","2024-02-15T10:31:30.538000Z","2024-02-15T11:13:21.366000Z","2024-02-15T15:50:48.456000Z","2024-02-15T11:13:22.264000Z",2511,"C1FKYHSS",497,"English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF51662"
"155","APPROVED","Not Applicable","2024-02-15T10:32:15.899000Z","2024-02-15T11:24:23.772000Z","2024-02-15T15:50:48.726000Z","2024-02-15T11:24:24.563000Z",3128,"C1FKYHSS",208,"English, Pashto","22","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF26790"
"156","APPROVED","Not Applicable","2024-02-15T10:33:52.240000Z","2024-02-15T11:16:29.591000Z","2024-02-15T15:50:48.991000Z","2024-02-15T11:16:30.400000Z",2558,"C1FKYHSS",215,"English, German","26","Female","White","Germany","United Kingdom","Germany","German","No","Full-Time","MDPRF73193"
"157","APPROVED","Not Applicable","2024-02-15T10:49:32.993000Z","2024-02-15T11:22:23.170000Z","2024-02-15T15:53:04.136000Z","2024-02-15T11:22:23.948000Z",1971,"C1FKYHSS",587,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF04034"
"158","APPROVED","Not Applicable","2024-02-15T10:58:17.654000Z","2024-02-15T11:43:21.904000Z","2024-02-15T15:53:09.258000Z","2024-02-15T11:43:22.735000Z",2705,"C1FKYHSS",352,"Chinese, English","23","Male","Asian","China","United Kingdom","China","Chinese","Yes","Other","MDPRF56785"
"159","APPROVED","Not Applicable","2024-02-15T12:45:19.945000Z","2024-02-15T13:41:37.216000Z","2024-02-15T15:45:55.086000Z","2024-02-15T13:41:38.407000Z",3378,"C1FKYHSS",869,"English, Vietnamese","25","Male","Asian","Vietnam","United States","United States","Vietnamese","DATA_EXPIRED","Full-Time","MDPRF20625"
"160","APPROVED","Not Applicable","2024-02-16T09:31:41.035000Z","2024-02-16T10:04:16.961000Z","2024-02-16T11:34:43.638000Z","2024-02-16T10:04:18.221000Z",1956,"C1FKYHSS",264,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF16300"
