"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1695735322851,"26/09/2023 13:35:22",1695720922851,-4,"26/09/2023 05:35:22",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT97669"
"2",1695735333288,"26/09/2023 13:35:33",1695720933288,-4,"26/09/2023 05:35:33",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",10461.797,10445.131,10461.797,10461.797,10445.131,10461.797,1,10461.797,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT97669"
"3",1695735333293,"26/09/2023 13:35:33",1695720933293,-4,"26/09/2023 05:35:33",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",2621.474,10445.131,10461.797,2621.474,10445.131,10461.797,1,2621.474,7840.323,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT97669"
"4",1695735333294,"26/09/2023 13:35:33",1695720933294,-4,"26/09/2023 05:35:33",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",3339.794,10445.131,10461.797,3339.794,10445.131,10461.797,1,3339.794,7122.003,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT97669"
"5",1695735333294,"26/09/2023 13:35:33",1695720933294,-4,"26/09/2023 05:35:33",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",5058.808,10445.131,10461.797,5058.808,10445.131,10461.797,1,5058.808,5402.989,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT97669"
"6",1695735337422,"26/09/2023 13:35:37",1695720937422,-4,"26/09/2023 05:35:37",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",4151.39199998808,4148.11,4151.39199998808,4151.39199998808,4148.11,4151.39199998808,1,4151.39199998808,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT97669"
"7",1695735337423,"26/09/2023 13:35:37",1695720937423,-4,"26/09/2023 05:35:37",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",2140.403,4148.11,4152.39199998808,2140.403,4148.11,4152.39199998808,1,2140.403,2011.98899998808,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT97669"
"8",1695735337423,"26/09/2023 13:35:37",1695720937423,-4,"26/09/2023 05:35:37",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",2724.734,4148.11,4152.89199998808,2724.734,4148.11,4152.89199998808,1,2724.734,1428.15799998808,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT97669"
"9",1695735337424,"26/09/2023 13:35:37",1695720937424,-4,"26/09/2023 05:35:37",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",3292.251,4148.11,4153.39199998808,3292.251,4148.11,4153.39199998808,1,3292.251,861.14099998808,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT97669"
"10",1695735340932,"26/09/2023 13:35:40",1695720940932,-4,"26/09/2023 05:35:40",144339,3,"questionnaire-uu2n",NA,31871814,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"BIQ (Charlotte)",2,"In","JKIAHBGCFDE",NA,"LH","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",3513.68199999404,3497.504,3513.68199999404,3513.68199999404,3497.504,3513.68199999404,1,3513.68199999404,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT97669"
