"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695735076825,"26/09/2023 13:31:16",1695720676825,-4,"26/09/2023 05:31:16",144339,3,"questionnaire-tzdp",NA,31871731,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"LH","1","2","SUPAMT97669"
"1",1695735670591,"26/09/2023 13:41:10",1695721270591,-4,"26/09/2023 05:41:10",144339,3,"questionnaire-tzdp",NA,31871961,9423329,NA,"complete","fcmvkc","336YQZE831DAHSNR48PO5RVKDSXM5C","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"LH","1","2","SUPAMT65935"
"1",1695736021297,"26/09/2023 13:47:01",1695721621297,-4,"26/09/2023 05:47:01",144339,3,"questionnaire-tzdp",NA,31872059,9423356,NA,"complete","ektyic","3NQL1CS15X7R93RKT2VC3KCQZQDYVL","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"HL","1","2","SUPAMT73133"
"1",1695736589003,"26/09/2023 13:56:29",1695722189003,-4,"26/09/2023 05:56:29",144339,3,"questionnaire-tzdp",NA,31872191,9423398,NA,"complete","efepow","3S96KQ6I9S39Y0S4SB8JPHE4KHRTDS","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"HL","1","2","SUPAMT11912"
"1",1695748492273,"26/09/2023 17:14:52",1695723292273,-7,"26/09/2023 03:14:52",144339,3,"questionnaire-tzdp",NA,31872598,9423485,NA,"complete","mpskad","3LEIZ60CDPYTHMOMMNSZP9WVES69ZF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"LH","1","2","SUPAMT79593"
"1",1695737898727,"26/09/2023 14:18:18",1695723498727,-4,"26/09/2023 06:18:18",144339,3,"questionnaire-tzdp",NA,31872715,9423504,NA,"complete","pkqdmp","3WOKGM4L77FZMOM2KIYPG0OYRK9O0G","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"HL","1","2","SUPAMT63428"
"1",1695738216996,"26/09/2023 14:23:36",1695723816996,-4,"26/09/2023 06:23:36",144339,3,"questionnaire-tzdp",NA,31872908,9423547,NA,"complete","eymrir","3FE2ERCCZ372A5QM13DFV1P6ZSDOPF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"HL","1","2","SUPAMT54374"
"1",1695759766315,"26/09/2023 20:22:46",1695745366315,-4,"26/09/2023 12:22:46",144339,3,"questionnaire-tzdp",NA,31872938,9423554,NA,"complete","wofrqc","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"LH","1","2","SUPAMT42249"
"1",1695738033263,"26/09/2023 14:20:33",1695723633263,-4,"26/09/2023 06:20:33",144339,3,"questionnaire-tzdp",NA,31872995,9423559,NA,"complete","iuwqvk","374TNBHA8HUZ4VV37312XXDIIYYYQR","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"LH","1","2","SUPAMT62293"
"1",1695738519161,"26/09/2023 14:28:39",1695724119161,-4,"26/09/2023 06:28:39",144339,3,"questionnaire-tzdp",NA,31873256,9423601,NA,"complete","urqnky","3WSELTNVR91B0TPS81HHZG6YZE2TAY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"LH","1","2","SUPAMT21106"
