"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695735112796,"26/09/2023 13:31:52",1695720712796,-4,"26/09/2023 05:31:52",144339,3,"questionnaire-79c5",NA,31871737,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"LH","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT97669"
"1",1695735689915,"26/09/2023 13:41:29",1695721289915,-4,"26/09/2023 05:41:29",144339,3,"questionnaire-79c5",NA,31871964,9423329,NA,"complete","fcmvkc","336YQZE831DAHSNR48PO5RVKDSXM5C","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"ARI",2,"In","KAJBICHDGEF",NA,"LH","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","SUPAMT65935"
"1",1695736127775,"26/09/2023 13:48:47",1695721727775,-4,"26/09/2023 05:48:47",144339,3,"questionnaire-79c5",NA,31872086,9423356,NA,"complete","ektyic","3NQL1CS15X7R93RKT2VC3KCQZQDYVL","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"ARI",2,"In","ABKCJDIEHFG",NA,"HL","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT73133"
"1",1695736853779,"26/09/2023 14:00:53",1695722453779,-4,"26/09/2023 06:00:53",144339,3,"questionnaire-79c5",NA,31872275,9423398,NA,"complete","efepow","3S96KQ6I9S39Y0S4SB8JPHE4KHRTDS","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"ARI",2,"In","BCADKEJFIGH",NA,"HL","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","SUPAMT11912"
"1",1695748784729,"26/09/2023 17:19:44",1695723584729,-7,"26/09/2023 03:19:44",144339,3,"questionnaire-79c5",NA,31872791,9423485,NA,"complete","mpskad","3LEIZ60CDPYTHMOMMNSZP9WVES69ZF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"ARI",2,"In","CDBEAFKGJHI",NA,"LH","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT79593"
"1",1695738332021,"26/09/2023 14:25:32",1695723932021,-4,"26/09/2023 06:25:32",144339,3,"questionnaire-79c5",NA,31873131,9423504,NA,"complete","pkqdmp","3WOKGM4L77FZMOM2KIYPG0OYRK9O0G","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"ARI",2,"In","DECFBGAHKIJ",NA,"HL","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","SUPAMT63428"
"1",1695738265062,"26/09/2023 14:24:25",1695723865062,-4,"26/09/2023 06:24:25",144339,3,"questionnaire-79c5",NA,31873196,9423559,NA,"complete","iuwqvk","374TNBHA8HUZ4VV37312XXDIIYYYQR","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"LH","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPAMT62293"
"1",1695738669149,"26/09/2023 14:31:09",1695724269149,-4,"26/09/2023 06:31:09",144339,3,"questionnaire-79c5",NA,31873292,9423547,NA,"complete","eymrir","3FE2ERCCZ372A5QM13DFV1P6ZSDOPF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","EFDGCHBIAJK",NA,"HL","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT54374"
"1",1695738642794,"26/09/2023 14:30:42",1695724242794,-4,"26/09/2023 06:30:42",144339,3,"questionnaire-79c5",NA,31873354,9423601,NA,"complete","urqnky","3WSELTNVR91B0TPS81HHZG6YZE2TAY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"ARI",2,"In","HIGJFKEADBC",NA,"LH","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT21106"
"1",1695760339460,"26/09/2023 20:32:19",1695745939460,-4,"26/09/2023 12:32:19",144339,3,"questionnaire-79c5",NA,31873392,9423554,NA,"complete","wofrqc","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"In","FGEHDICJBKA",NA,"LH","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Certainly true","3","Certainly true","3","Somewhat true","2","SUPAMT63488"
"1",1695738724799,"26/09/2023 14:32:04",1695724324799,-4,"26/09/2023 06:32:04",144339,3,"questionnaire-79c5",NA,31873408,9423600,NA,"complete","ldjdhr","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"In","IJHKGAFBECD",NA,"HL","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","SUPAMT21106"
"1",1695742220760,"26/09/2023 15:30:20",1695727820760,-4,"26/09/2023 07:30:20",144339,3,"questionnaire-79c5",NA,31874432,9423917,NA,"complete","jvufrg","3QUO65DNQ0NF2AYIIPC957C579JUOV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"LH","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","SUPAMT62780"
"1",1695746260801,"26/09/2023 16:37:40",1695728260801,-5,"26/09/2023 06:37:40",144339,3,"questionnaire-79c5",NA,31874630,9423966,NA,"complete","lcxvvn","336YQZE831DAHSNR48PO5RVKDS5M5K","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"ARI",2,"In","KAJBICHDGEF",NA,"HL","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT07312"
"1",1695743040934,"26/09/2023 15:44:00",1695728640934,-4,"26/09/2023 07:44:00",144339,3,"questionnaire-79c5",NA,31874939,9424039,NA,"complete","hqggqg","34Q075JO13CEQWF1EG0E44BQY9Z106","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1350x582",NA,NA,0,"ARI",2,"In","ABKCJDIEHFG",NA,"HL","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","SUPAMT95465"
"1",1695743983736,"26/09/2023 15:59:43",1695729583736,-4,"26/09/2023 07:59:43",144339,3,"questionnaire-79c5",NA,31875511,9424191,NA,"complete","zvdjcf","3ZPBJO59KV0JTR19SHRUBYBG9ONHDZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"ARI",2,"In","BCADKEJFIGH",NA,"LH","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","SUPAMT97320"
"1",1695748007278,"26/09/2023 17:06:47",1695733607278,-4,"26/09/2023 09:06:47",144339,3,"questionnaire-79c5",NA,31877999,9424816,NA,"complete","zubiog","3L2IS5HSFGHXKPY6HACWQIC0H02UN6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"ARI",2,"In","CDBEAFKGJHI",NA,"LH","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT52256"
"1",1695748250439,"26/09/2023 17:10:50",1695733850439,-4,"26/09/2023 09:10:50",144339,3,"questionnaire-79c5",NA,31878159,9424911,NA,"complete","tgryou","37UQDCYH63U8UJVJ6T5CQ7STVS87VZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"ARI",2,"In","DECFBGAHKIJ",NA,"HL","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT14876"
"1",1695749261955,"26/09/2023 17:27:41",1695734861955,-4,"26/09/2023 09:27:41",144339,3,"questionnaire-79c5",NA,31878693,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"ARI",2,"In","FGEHDICJBKA",NA,"HL","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT80130"
"1",1695749937055,"26/09/2023 17:38:57",1695735537055,-4,"26/09/2023 09:38:57",144339,3,"questionnaire-79c5",NA,31878999,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","EFDGCHBIAJK",NA,"LH","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","SUPAMT37840"
"1",1695750400500,"26/09/2023 17:46:40",1695736000500,-4,"26/09/2023 09:46:40",144339,3,"questionnaire-79c5",NA,31879177,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"HL","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT21877"
"1",1695752370457,"26/09/2023 18:19:30",1695737970457,-4,"26/09/2023 10:19:30",144339,3,"questionnaire-79c5",NA,31879850,9425567,NA,"complete","umvfhu","33C7UALJVRXW8LK49KDTXJH8H98811","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","IJHKGAFBECD",NA,"LH","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","SUPAMT77733"
"1",1695752483471,"26/09/2023 18:21:23",1695738083471,-4,"26/09/2023 10:21:23",144339,3,"questionnaire-79c5",NA,31879896,9425531,NA,"complete","jtiljg","39PAAFCODSZVSHSQJW8DV3KBKQYVT0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"ARI",2,"In","HIGJFKEADBC",NA,"LH","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","SUPAMT61541"
"1",1695753037538,"26/09/2023 18:30:37",1695738637538,-4,"26/09/2023 10:30:37",144339,3,"questionnaire-79c5",NA,31880250,9425561,NA,"complete","dxbrrk","3TEM0PF1QBW8IRVDU9K956CZN8X0DU","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"HL","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPAMT02660"
