"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695742503640,"26/09/2023 15:35:03",1695728103640,-4,"26/09/2023 07:35:03",144339,3,"questionnaire-qxhw",NA,31874555,9423917,NA,"complete","jvufrg","3QUO65DNQ0NF2AYIIPC957C579JUOV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"LH","1-0","1","SUPAMT62780"
"1",1695747011353,"26/09/2023 16:50:11",1695729011353,-5,"26/09/2023 06:50:11",144339,3,"questionnaire-qxhw",NA,31875216,9423966,NA,"complete","lcxvvn","336YQZE831DAHSNR48PO5RVKDS5M5K","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"HL","1-0","1","SUPAMT07312"
"1",1695743913418,"26/09/2023 15:58:33",1695729513418,-4,"26/09/2023 07:58:33",144339,3,"questionnaire-qxhw",NA,31875482,9424039,NA,"complete","hqggqg","34Q075JO13CEQWF1EG0E44BQY9Z106","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1350x582",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"HL","1-0","1","SUPAMT95465"
"1",1695744256583,"26/09/2023 16:04:16",1695729856583,-4,"26/09/2023 08:04:16",144339,3,"questionnaire-qxhw",NA,31875635,9424191,NA,"complete","zvdjcf","3ZPBJO59KV0JTR19SHRUBYBG9ONHDZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"LH","0-2","3","SUPAMT97320"
"1",1695748316373,"26/09/2023 17:11:56",1695733916373,-4,"26/09/2023 09:11:56",144339,3,"questionnaire-qxhw",NA,31878210,9424816,NA,"complete","zubiog","3L2IS5HSFGHXKPY6HACWQIC0H02UN6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"LH","0-2","3","SUPAMT52256"
"1",1695748413705,"26/09/2023 17:13:33",1695734013705,-4,"26/09/2023 09:13:33",144339,3,"questionnaire-qxhw",NA,31878276,9424911,NA,"complete","tgryou","37UQDCYH63U8UJVJ6T5CQ7STVS87VZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"HL","0-2","3","SUPAMT14876"
"1",1695749340194,"26/09/2023 17:29:00",1695734940194,-4,"26/09/2023 09:29:00",144339,3,"questionnaire-qxhw",NA,31878737,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"HL","1","2","SUPAMT80130"
"1",1695749986170,"26/09/2023 17:39:46",1695735586170,-4,"26/09/2023 09:39:46",144339,3,"questionnaire-qxhw",NA,31879022,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"LH","1-0","1","SUPAMT37840"
"1",1695750505612,"26/09/2023 17:48:25",1695736105612,-4,"26/09/2023 09:48:25",144339,3,"questionnaire-qxhw",NA,31879209,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"HL","1-0","1","SUPAMT21877"
"1",1695752896753,"26/09/2023 18:28:16",1695738496753,-4,"26/09/2023 10:28:16",144339,3,"questionnaire-qxhw",NA,31880168,9425531,NA,"complete","jtiljg","39PAAFCODSZVSHSQJW8DV3KBKQYVT0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"LH","0-2","3","SUPAMT61541"
