"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Slider_LH.object.2.Value","Random_ID"
"1",1695735265186,"26/09/2023 13:34:25",1695720865186,-4,"26/09/2023 05:34:25",144339,3,"questionnaire-txxf",NA,31871798,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"LH","56","SUPAMT97669"
"1",1695736176728,"26/09/2023 13:49:36",1695721776728,-4,"26/09/2023 05:49:36",144339,3,"questionnaire-txxf",NA,31872087,9423329,NA,"complete","fcmvkc","336YQZE831DAHSNR48PO5RVKDSXM5C","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"LH","100","SUPAMT65935"
"1",1695736519348,"26/09/2023 13:55:19",1695722119348,-4,"26/09/2023 05:55:19",144339,3,"questionnaire-txxf",NA,31872198,9423356,NA,"complete","ektyic","3NQL1CS15X7R93RKT2VC3KCQZQDYVL","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"HL","100","SUPAMT73133"
"1",1695737008466,"26/09/2023 14:03:28",1695722608466,-4,"26/09/2023 06:03:28",144339,3,"questionnaire-txxf",NA,31872346,9423398,NA,"complete","efepow","3S96KQ6I9S39Y0S4SB8JPHE4KHRTDS","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"HL","100","SUPAMT11912"
"1",1695748800037,"26/09/2023 17:20:00",1695723600037,-7,"26/09/2023 03:20:00",144339,3,"questionnaire-txxf",NA,31872805,9423485,NA,"complete","mpskad","3LEIZ60CDPYTHMOMMNSZP9WVES69ZF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"LH","58","SUPAMT79593"
"1",1695759793747,"26/09/2023 20:23:13",1695745393747,-4,"26/09/2023 12:23:13",144339,3,"questionnaire-txxf",NA,31872969,9423554,NA,"complete","wofrqc","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"LH","58","SUPAMT63428"
"1",1695738046857,"26/09/2023 14:20:46",1695723646857,-4,"26/09/2023 06:20:46",144339,3,"questionnaire-txxf",NA,31873008,9423559,NA,"complete","iuwqvk","374TNBHA8HUZ4VV37312XXDIIYYYQR","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"LH","100","SUPAMT62293"
"1",1695738215263,"26/09/2023 14:23:35",1695723815263,-4,"26/09/2023 06:23:35",144339,3,"questionnaire-txxf",NA,31873030,9423504,NA,"complete","pkqdmp","3WOKGM4L77FZMOM2KIYPG0OYRK9O0G","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"HL","98","SUPAMT63428"
"1",1695738450115,"26/09/2023 14:27:30",1695724050115,-4,"26/09/2023 06:27:30",144339,3,"questionnaire-txxf",NA,31873140,9423547,NA,"complete","eymrir","3FE2ERCCZ372A5QM13DFV1P6ZSDOPF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"HL","36","SUPAMT54374"
"1",1695738592627,"26/09/2023 14:29:52",1695724192627,-4,"26/09/2023 06:29:52",144339,3,"questionnaire-txxf",NA,31873322,9423601,NA,"complete","urqnky","3WSELTNVR91B0TPS81HHZG6YZE2TAY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"LH","65","SUPAMT21106"
