"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1718882576164,"20/06/2024 11:22:56",1718886176164,1,"20/06/2024 13:22:56",178265,9,"questionnaire-tzdp",NA,38391442,11284545,NA,"complete",NA,"667410df85e20836509632c5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","1","2","MDPRF12782"
"1",1718882723373,"20/06/2024 11:25:23",1718886323373,1,"20/06/2024 13:25:23",178265,9,"questionnaire-tzdp",NA,38391517,11284564,NA,"complete",NA,"667411553c10b42edfef22b0","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","895x690",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","1","2","MDPRF15998"
"1",1718882782226,"20/06/2024 11:26:22",1718886382226,1,"20/06/2024 13:26:22",178265,9,"questionnaire-tzdp",NA,38391548,11284573,NA,"complete",NA,"667411be7e122f3b0d5884e5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","1","2","MDPRF05151"
"1",1718882815338,"20/06/2024 11:26:55",1718886415338,1,"20/06/2024 13:26:55",178265,9,"questionnaire-tzdp",NA,38391563,11284565,NA,"complete",NA,"6674111a287b4f2112e8a5fd","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","1","2","MDPRF50909"
"1",1718882842469,"20/06/2024 11:27:22",1718886442469,1,"20/06/2024 13:27:22",178265,9,"questionnaire-tzdp",NA,38391585,11284577,NA,"complete",NA,"667411f785f472fbb31cf32d","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","857x870",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","1","2","MDPRF31721"
"1",1718882995219,"20/06/2024 11:29:55",1718886595219,1,"20/06/2024 13:29:55",178265,9,"questionnaire-tzdp",NA,38391668,11284586,NA,"complete",NA,"66741256e8e9c6ec32d85d1d","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","1","2","MDPRF34679"
"1",1718882995496,"20/06/2024 11:29:55",1718886595496,1,"20/06/2024 13:29:55",178265,9,"questionnaire-tzdp",NA,38391670,11284587,NA,"complete",NA,"667412867e38a68bb2aad47a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","1","2","MDPRF16544"
"1",1718883091478,"20/06/2024 11:31:31",1718868691478,-4,"20/06/2024 03:31:31",178265,9,"questionnaire-tzdp",NA,38391765,11284609,NA,"complete",NA,"667412b92a32c0e4b41c53dd","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1080","2560x953",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","1","2","MDPRF96648"
"1",1718883398578,"20/06/2024 11:36:38",1718886998578,1,"20/06/2024 13:36:38",178265,9,"questionnaire-tzdp",NA,38392108,11284696,NA,"complete",NA,"6674135547003a88c1be09b7","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 125.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","1","2","MDPRF14619"
"1",1718883510671,"20/06/2024 11:38:30",1718887110671,1,"20/06/2024 13:38:30",178265,9,"questionnaire-tzdp",NA,38392181,11284715,NA,"complete",NA,"667414644a0b815b84744224","computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","1","2","MDPRF14738"
