"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1718882877745,"20/06/2024 11:27:57",1718886477745,1,"20/06/2024 13:27:57",178265,9,"questionnaire-txxf",NA,38391607,11284573,NA,"complete",NA,"667411be7e122f3b0d5884e5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","-58","MDPRF05151"
"1",1718882971995,"20/06/2024 11:29:31",1718886571995,1,"20/06/2024 13:29:31",178265,9,"questionnaire-txxf",NA,38391645,11284565,NA,"complete",NA,"6674111a287b4f2112e8a5fd","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x919",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","20","MDPRF50909"
"1",1718883244187,"20/06/2024 11:34:04",1718886844187,1,"20/06/2024 13:34:04",178265,9,"questionnaire-txxf",NA,38391957,11284577,NA,"complete",NA,"667411f785f472fbb31cf32d","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","857x870",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"In","68","MDPRF31721"
"1",1718883378497,"20/06/2024 11:36:18",1718886978497,1,"20/06/2024 13:36:18",178265,9,"questionnaire-txxf",NA,38392090,11284587,NA,"complete",NA,"667412867e38a68bb2aad47a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"In","31","MDPRF16544"
"1",1718883456264,"20/06/2024 11:37:36",1718887056264,1,"20/06/2024 13:37:36",178265,9,"questionnaire-txxf",NA,38392163,11284586,NA,"complete",NA,"66741256e8e9c6ec32d85d1d","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"In","-53","MDPRF34679"
"1",1718883587964,"20/06/2024 11:39:47",1718887187964,1,"20/06/2024 13:39:47",178265,9,"questionnaire-txxf",NA,38392251,11284724,NA,"complete",NA,"66741499210d37e3b00bf442","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","9","MDPRF84507"
"1",1718883714613,"20/06/2024 11:41:54",1718887314613,1,"20/06/2024 13:41:54",178265,9,"questionnaire-txxf",NA,38392389,11284740,NA,"complete",NA,"6674146c26a2d95fe1904f69","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x833",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","45","MDPRF05791"
"1",1718883732159,"20/06/2024 11:42:12",1718869332159,-4,"20/06/2024 03:42:12",178265,9,"questionnaire-txxf",NA,38392396,11284609,NA,"complete",NA,"667412b92a32c0e4b41c53dd","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1080","2560x953",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","-26","MDPRF96648"
"1",1718883782944,"20/06/2024 11:43:02",1718887382944,1,"20/06/2024 13:43:02",178265,9,"questionnaire-txxf",NA,38392411,11284715,NA,"complete",NA,"667414644a0b815b84744224","computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1536x864","1536x695",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"In","30","MDPRF14738"
"1",1718883766113,"20/06/2024 11:42:46",1718887366113,1,"20/06/2024 13:42:46",178265,9,"questionnaire-txxf",NA,38392419,11284743,NA,"complete",NA,"667414319da3fdb506dd9dd5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","45","MDPRF15787"
"1",1718883812373,"20/06/2024 11:43:32",1718887412373,1,"20/06/2024 13:43:32",178265,9,"questionnaire-txxf",NA,38392452,11284723,NA,"complete",NA,"6674145ec50dc87bc1444b5e","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1281x564","1280x559",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","17","MDPRF45532"
"1",1718883866176,"20/06/2024 11:44:26",1718887466176,1,"20/06/2024 13:44:26",178265,9,"questionnaire-txxf",NA,38392491,11284696,NA,"complete",NA,"6674135547003a88c1be09b7","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 125.0.0.0","1366x768","1366x633",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"In","-56","MDPRF14619"
"1",1718883930669,"20/06/2024 11:45:30",1718887530669,1,"20/06/2024 13:45:30",178265,9,"questionnaire-txxf",NA,38392540,11284731,NA,"complete",NA,"667414a33d825aedadef7dec","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1792x1120","1557x897",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"In","49","MDPRF05489"
"1",1718884204895,"20/06/2024 11:50:04",1718887804895,1,"20/06/2024 13:50:04",178265,9,"questionnaire-txxf",NA,38392773,11284513,NA,"complete",NA,"66740ef96f7fc086f510c1ea","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","58","MDPRF65569"
"1",1718884304767,"20/06/2024 11:51:44",1718887904767,1,"20/06/2024 13:51:44",178265,9,"questionnaire-txxf",NA,38392776,11284781,NA,"complete",NA,"66741628d376d07b0f73162f","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","1279x1313",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"In","45","MDPRF62256"
"1",1718884360756,"20/06/2024 11:52:40",1718887960756,1,"20/06/2024 13:52:40",178265,9,"questionnaire-txxf",NA,38392852,11284756,NA,"complete",NA,"66741496c2e7185660444c1b","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1368x912","912x500",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"In","-21","MDPRF97532"
"1",1718884602646,"20/06/2024 11:56:42",1718888202646,1,"20/06/2024 13:56:42",178265,9,"questionnaire-txxf",NA,38392997,11284793,NA,"complete",NA,"66741605fd1782e0e5026356","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"In","-62","MDPRF38981"
"1",1718884684891,"20/06/2024 11:58:04",1718888284891,1,"20/06/2024 13:58:04",178265,9,"questionnaire-txxf",NA,38393035,11284853,NA,"complete",NA,"66741561dad13cd44a61f97d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1463x823","1463x654",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","63","MDPRF70702"
"1",1718884714493,"20/06/2024 11:58:34",1718888314493,1,"20/06/2024 13:58:34",178265,9,"questionnaire-txxf",NA,38393049,11284851,NA,"complete",NA,"667418e6b4b337c0902e10a8","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","2560x1279",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"In","36","MDPRF44269"
"1",1718884819097,"20/06/2024 12:00:19",1718888419097,1,"20/06/2024 14:00:19",178265,9,"questionnaire-txxf",NA,38393115,11284816,NA,"complete",NA,"66741769c1be196f6727f22d","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","-65","MDPRF91399"
"1",1718884834622,"20/06/2024 12:00:34",1718888434622,1,"20/06/2024 14:00:34",178265,9,"questionnaire-txxf",NA,38393122,11284850,NA,"complete",NA,"667418aba71d121242c52a52","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1366x607",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"In","-30","MDPRF66245"
"1",1718884874216,"20/06/2024 12:01:14",1718888474216,1,"20/06/2024 14:01:14",178265,9,"questionnaire-txxf",NA,38393147,11284864,NA,"complete",NA,"66741969cdfeb6002491ab93","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","-56","MDPRF01328"
"1",1718884917164,"20/06/2024 12:01:57",1718888517164,1,"20/06/2024 14:01:57",178265,9,"questionnaire-txxf",NA,38393171,11284846,NA,"complete",NA,"667418b97b5b05c45cd64b42","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","4","MDPRF65440"
"1",1718885141790,"20/06/2024 12:05:41",1718888741790,1,"20/06/2024 14:05:41",178265,9,"questionnaire-txxf",NA,38393326,11284871,NA,"complete",NA,"667419689477551181cbdcd9","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1552x970","1552x848",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","86","MDPRF13522"
"1",1718885238195,"20/06/2024 12:07:18",1718888838195,1,"20/06/2024 14:07:18",178265,9,"questionnaire-txxf",NA,38393396,11284875,NA,"complete",NA,"667419b86853a5d3ea662fb6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x703",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"In","48","MDPRF73133"
"1",1718885374196,"20/06/2024 12:09:34",1718888974196,1,"20/06/2024 14:09:34",178265,9,"questionnaire-txxf",NA,38393484,11284903,NA,"complete",NA,"667419f23ae34288567110bc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x833",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"In","15","MDPRF09311"
"1",1718885765714,"20/06/2024 12:16:05",1718889365714,1,"20/06/2024 14:16:05",178265,9,"questionnaire-txxf",NA,38393724,11284904,NA,"complete",NA,"66741a82d376d07b0f7316e7","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","2560x1279",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"In","67","MDPRF61412"
"1",1718885947975,"20/06/2024 12:19:07",1718889547975,1,"20/06/2024 14:19:07",178265,9,"questionnaire-txxf",NA,38393830,11284994,NA,"complete",NA,"66741ca1d5b0121b5a819963","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1080x1920","1080x1799",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"In","50","MDPRF81485"
"1",1718885957683,"20/06/2024 12:19:17",1718889557683,1,"20/06/2024 14:19:17",178265,9,"questionnaire-txxf",NA,38393835,11284991,NA,"complete",NA,"66741bf25420df405f010fb6","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x953",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","49","MDPRF20810"
"1",1718886019380,"20/06/2024 12:20:19",1718889619380,1,"20/06/2024 14:20:19",178265,9,"questionnaire-txxf",NA,38393871,11284975,NA,"complete",NA,"66741ccaa937e5fc87703603","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","960x945",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"In","61","MDPRF18538"
"1",1718886024601,"20/06/2024 12:20:24",1718889624601,1,"20/06/2024 14:20:24",178265,9,"questionnaire-txxf",NA,38393873,11284955,NA,"complete",NA,"66741ba56db16cb3c00264e0","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x945",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","-27","MDPRF98743"
"1",1718887211916,"20/06/2024 12:40:11",1718890811916,1,"20/06/2024 14:40:11",178265,9,"questionnaire-txxf",NA,38394636,11285240,NA,"complete",NA,"667422f2bef477d910655498","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 125.0.0.0","1396x785","1397x616",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","-7","MDPRF24504"
"1",1718888925460,"20/06/2024 13:08:45",1718892525460,1,"20/06/2024 15:08:45",178265,9,"questionnaire-txxf",NA,38395593,11285472,NA,"complete",NA,"667427edab2b66350d5601d2","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x593",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","100","MDPRF02217"
"1",1718889586459,"20/06/2024 13:19:46",1718875186459,-4,"20/06/2024 05:19:46",178265,9,"questionnaire-txxf",NA,38395919,11285566,NA,"complete",NA,"66741affc3b799be351043ba","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","638x632",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","82","MDPRF31972"
"1",1718891370657,"20/06/2024 13:49:30",1718894970657,1,"20/06/2024 15:49:30",178265,9,"questionnaire-txxf",NA,38396783,11285719,NA,"complete",NA,"66741bff01568cce646e784f","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"In","37","MDPRF94218"
