"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1718879754130,"20/06/2024 10:35:54",1718879753995,1,"20/06/2024 11:35:53",178265,9,"task-9qxs",NA,38390098,11284191,NA,"complete",NA,"667403e1ca904020b37afd52","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x991",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF24387"
"2",1718879763068,"20/06/2024 10:36:03",1718879762983,1,"20/06/2024 11:36:02",178265,9,"task-9qxs",NA,38390098,11284191,NA,"complete",NA,"667403e1ca904020b37afd52","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x991",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",8825.19999998808,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF24387"
"3",1718879764971,"20/06/2024 10:36:04",1718879764872,1,"20/06/2024 11:36:04",178265,9,"task-9qxs",NA,38390098,11284191,NA,"complete",NA,"667403e1ca904020b37afd52","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x991",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",1885.40000003576,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF24387"
"4",1718879765016,"20/06/2024 10:36:05",1718879764874,1,"20/06/2024 11:36:04",178265,9,"task-9qxs",NA,38390098,11284191,NA,"complete",NA,"667403e1ca904020b37afd52","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x991",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",10879,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF24387"
"1",1718880275614,"20/06/2024 10:44:35",1718880275509,1,"20/06/2024 11:44:35",178265,9,"task-9qxs",NA,38390287,11284203,NA,"complete",NA,"6674047b76089b80c636e57a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x728",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF46030"
"2",1718880285505,"20/06/2024 10:44:45",1718880285444,1,"20/06/2024 11:44:45",178265,9,"task-9qxs",NA,38390287,11284203,NA,"complete",NA,"6674047b76089b80c636e57a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x728",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",9709.10000002384,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF46030"
"3",1718880287444,"20/06/2024 10:44:47",1718880287395,1,"20/06/2024 11:44:47",178265,9,"task-9qxs",NA,38390287,11284203,NA,"complete",NA,"6674047b76089b80c636e57a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x728",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",1942.5,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF46030"
"4",1718880287504,"20/06/2024 10:44:47",1718880287397,1,"20/06/2024 11:44:47",178265,9,"task-9qxs",NA,38390287,11284203,NA,"complete",NA,"6674047b76089b80c636e57a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x728",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",11888,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF46030"
"1",1718881036621,"20/06/2024 10:57:16",1718881039413,1,"20/06/2024 11:57:19",178265,9,"task-9qxs",NA,38390494,11284290,NA,"complete",NA,"66740843fa0af119bfab98e8","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHKIJ",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF52921"
"2",1718881050335,"20/06/2024 10:57:30",1718881053135,1,"20/06/2024 11:57:33",178265,9,"task-9qxs",NA,38390494,11284290,NA,"complete",NA,"66740843fa0af119bfab98e8","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHKIJ",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",13487.0999999046,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF52921"
