"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1694118642819,"07/09/2023 20:30:42",1694093442819,-7,"07/09/2023 06:30:42",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT03527"
"2",1694118684265,"07/09/2023 20:31:24",1694093484265,-7,"07/09/2023 06:31:24",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",41465.5,41437.5,41465.5,41465.5,41437.5,41465.5,1,41465.5,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT03527"
"3",1694118689688,"07/09/2023 20:31:29",1694093489688,-7,"07/09/2023 06:31:29",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",46890.5,46875,46890.5,46890.5,46875,46890.5,1,46890.5,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT03527"
"4",1694118689689,"07/09/2023 20:31:29",1694093489689,-7,"07/09/2023 06:31:29",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",23875,46875,46890.5,23875,46875,46890.5,1,23875,23015.5,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT03527"
"5",1694118689689,"07/09/2023 20:31:29",1694093489689,-7,"07/09/2023 06:31:29",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",30593.75,46875,46891.5,30593.75,46875,46891.5,1,30593.75,16297.75,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT03527"
"6",1694118689690,"07/09/2023 20:31:29",1694093489690,-7,"07/09/2023 06:31:29",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",45687.5,46875,46892.5,45687.5,46875,46892.5,1,45687.5,1205,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT03527"
"7",1694118706768,"07/09/2023 20:31:46",1694093506768,-7,"07/09/2023 06:31:46",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",17093.75,17062.5,17093.75,17093.75,17062.5,17093.75,1,17093.75,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT03527"
"8",1694118706772,"07/09/2023 20:31:46",1694093506772,-7,"07/09/2023 06:31:46",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",3187.5,17062.5,17093.75,3187.5,17062.5,17093.75,1,3187.5,13906.25,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT03527"
"9",1694118706772,"07/09/2023 20:31:46",1694093506772,-7,"07/09/2023 06:31:46",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",6125,17062.5,17093.75,6125,17062.5,17093.75,1,6125,10968.75,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT03527"
"10",1694118706773,"07/09/2023 20:31:46",1694093506773,-7,"07/09/2023 06:31:46",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",7468.75,17062.5,17093.75,7468.75,17062.5,17093.75,1,7468.75,9625,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT03527"
