"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Slider_LH.object.2.Value","Random_ID"
"1",1694118717813,"07/09/2023 20:31:57",1694093517813,-7,"07/09/2023 06:31:57",142342,3,"questionnaire-txxf",NA,31560559,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"55","SUPAMT03527"
"1",1694125449025,"07/09/2023 22:24:09",1694107449025,-5,"07/09/2023 12:24:09",142342,3,"questionnaire-txxf",NA,31569712,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"68","SUPAMT50322"
"1",1694123696474,"07/09/2023 21:54:56",1694109296474,-4,"07/09/2023 13:54:56",142342,3,"questionnaire-txxf",NA,31571439,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"56","SUPAMT34462"
"1",1694126341802,"07/09/2023 22:39:01",1694111941802,-4,"07/09/2023 14:39:01",142342,3,"questionnaire-txxf",NA,31573073,9337754,NA,"complete","xkyeqk","3TVRFO09GQEZDTPGA274XX7F4ZSXLU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"87","SUPAMT65847"
"1",1694138557582,"08/09/2023 02:02:37",1694113357582,-7,"07/09/2023 12:02:37",142342,3,"questionnaire-txxf",NA,31573713,9338143,NA,"complete","zvfati","","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"81","SUPAMT67941"
"1",1694128735630,"07/09/2023 23:18:55",1694114335630,-4,"07/09/2023 15:18:55",142342,3,"questionnaire-txxf",NA,31574157,9338259,NA,"complete","gnzhav","3X1FV8S5J3QRNC6KZW96WK5MS3KGVI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"83","SUPAMT16716"
"1",1694153774414,"08/09/2023 06:16:14",1694128574414,-7,"07/09/2023 16:16:14",142342,3,"questionnaire-txxf",NA,31577549,9339002,NA,"complete","eddpzh","3HMVI3QICPRBNRBMMOBNWW5AA5A1Y5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"44","SUPAMT43003"
"1",1694195046725,"08/09/2023 17:44:06",1694180646725,-4,"08/09/2023 09:44:06",142342,3,"questionnaire-txxf",NA,31590159,9340882,NA,"complete","kjtsxz","3DBQWDE4YCXGZA8RG94OI6KKIZ6N5A","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"42","SUPAMT12467"
"1",1694195127857,"08/09/2023 17:45:27",1694180727857,-4,"08/09/2023 09:45:27",142342,3,"questionnaire-txxf",NA,31590192,9340875,NA,"complete","gmniep","3LQ8PUHQFRR012HVKVS52VRTZ5NHIF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"47","SUPAMT23519"
"1",1694195988612,"08/09/2023 17:59:48",1694181588612,-4,"08/09/2023 09:59:48",142342,3,"questionnaire-txxf",NA,31590576,9340884,NA,"complete","jpkeep","36NEMU28XLC4UB2B09CXVR8XX7LWMN","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"41","SUPAMT43905"
