"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1694205049069,"08/09/2023 20:30:49",1694190649069,-4,"08/09/2023 12:30:49",142342,3,"questionnaire-qxhw",NA,31594462,9341565,NA,"complete","rkeeiv","3WYGZ5XF32EGX6LZVSPGJPD82O1KSW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"0","4","SUPAMT94886"
"1",1694223364703,"09/09/2023 01:36:04",1694208964703,-4,"08/09/2023 17:36:04",142342,3,"questionnaire-qxhw",NA,31598962,9342396,NA,"complete","oglqly","3KGTPGBS63K1V39DVRECYU924J8U22","computer","Desktop or Laptop","Windows 10","Firefox 117.0","2176x1224","2176x1110",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"1-0","1","SUPAMT38854"
"1",1694264300738,"09/09/2023 12:58:20",1694249900738,-4,"09/09/2023 04:58:20",142342,3,"questionnaire-qxhw",NA,31601359,9343005,NA,"complete","krvanj","3HL8HNGX4B0NC5XMLBYSMHGD25TF9E","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x657",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"0-2","3","SUPAMT37681"
"1",1694381034775,"10/09/2023 21:23:54",1694366634775,-4,"10/09/2023 13:23:54",142342,3,"questionnaire-qxhw",NA,31617154,9345571,NA,"complete","ggfqbm","3VFJCI1K45YZU5P3QC4WVNGJ95TGRT","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"0-2","3","SUPAMT61059"
"1",1694443178393,"11/09/2023 14:39:38",1694428778393,-4,"11/09/2023 06:39:38",142342,3,"questionnaire-qxhw",NA,31623755,9347090,NA,"complete","xtvgwq","3AMW0RGHOJ1KSKQA0OD2GCP179ZNP6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"1-0","1","SUPAMT69479"
"1",1694443638063,"11/09/2023 14:47:18",1694429238063,-4,"11/09/2023 06:47:18",142342,3,"questionnaire-qxhw",NA,31623853,9347100,NA,"complete","furujy","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"1-0","1","SUPAMT72992"
"1",1694445230214,"11/09/2023 15:13:50",1694430830214,-4,"11/09/2023 07:13:50",142342,3,"questionnaire-qxhw",NA,31624531,9347134,NA,"rejected - time limit reached","","31UV0MXWNWBOL9X0JTRWDYO3UA4I5Z","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1515x687",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"1-0","1","SUPAMT35299"
"1",1694445321005,"11/09/2023 15:15:21",1694430921005,-4,"11/09/2023 07:15:21",142342,3,"questionnaire-qxhw",NA,31624590,9347225,NA,"rejected - time limit reached","","38BQUHLA92ZWP2T99NLNEXVBU47MOK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1346x602",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"1-0","1","SUPAMT13138"
"1",1694449031076,"11/09/2023 16:17:11",1694431031076,-5,"11/09/2023 06:17:11",142342,3,"questionnaire-qxhw",NA,31624656,9347160,NA,"complete","hdreiq","3ZPBJO59KV0JTR19SHRUBYBG95MDHS","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"1-0","1","SUPAMT02681"
"1",1694445879975,"11/09/2023 15:24:39",1694431479975,-4,"11/09/2023 07:24:39",142342,3,"questionnaire-qxhw",NA,31624957,9347302,NA,"complete","lckmws","3A0EX8ZRNENC0PTEOL4C28IJWF2BYV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT13097"
