"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Rating.Scale.object.6.Anxiety","Rating.Scale.object.6.Anxiety.Quantised","Rating.Scale.object.6.Avoidance","Rating.Scale.object.6.Avoidance.Quantised","Rating.Scale.object.8.Anxiety","Rating.Scale.object.8.Anxiety.Quantised","Rating.Scale.object.8.Avoidance","Rating.Scale.object.8.Avoidance.Quantised","Rating.Scale.object.9.Anxiety","Rating.Scale.object.9.Anxiety.Quantised","Rating.Scale.object.9.Avoidance","Rating.Scale.object.9.Avoidance.Quantised","Rating.Scale.object.11.Anxiety","Rating.Scale.object.11.Anxiety.Quantised","Rating.Scale.object.11.Avoidance","Rating.Scale.object.11.Avoidance.Quantised","Rating.Scale.object.12.Anxiety","Rating.Scale.object.12.Anxiety.Quantised","Rating.Scale.object.12.Avoidance","Rating.Scale.object.12.Avoidance.Quantised","Rating.Scale.object.13.Anxiety","Rating.Scale.object.13.Anxiety.Quantised","Rating.Scale.object.13.Avoidance","Rating.Scale.object.13.Avoidance.Quantised","Rating.Scale.object.14.Anxiety","Rating.Scale.object.14.Anxiety.Quantised","Rating.Scale.object.14.Avoidance","Rating.Scale.object.14.Avoidance.Quantised","Rating.Scale.object.15.Anxiety","Rating.Scale.object.15.Anxiety.Quantised","Rating.Scale.object.15.Avoidance","Rating.Scale.object.15.Avoidance.Quantised","Rating.Scale.object.16.Anxiety","Rating.Scale.object.16.Anxiety.Quantised","Rating.Scale.object.16.Avoidance","Rating.Scale.object.16.Avoidance.Quantised","Rating.Scale.object.17.Anxiety","Rating.Scale.object.17.Anxiety.Quantised","Rating.Scale.object.17.Avoidance","Rating.Scale.object.17.Avoidance.Quantised","Rating.Scale.object.18.Anxiety","Rating.Scale.object.18.Anxiety.Quantised","Rating.Scale.object.18.Avoidance","Rating.Scale.object.18.Avoidance.Quantised","Rating.Scale.object.19.Anxiety","Rating.Scale.object.19.Anxiety.Quantised","Rating.Scale.object.19.Avoidance","Rating.Scale.object.19.Avoidance.Quantised","Rating.Scale.object.20.Anxiety","Rating.Scale.object.20.Anxiety.Quantised","Rating.Scale.object.20.Avoidance","Rating.Scale.object.20.Avoidance.Quantised","Rating.Scale.object.21.Anxiety","Rating.Scale.object.21.Anxiety.Quantised","Rating.Scale.object.21.Avoidance","Rating.Scale.object.21.Avoidance.Quantised","Rating.Scale.object.22.Anxiety","Rating.Scale.object.22.Anxiety.Quantised","Rating.Scale.object.22.Avoidance","Rating.Scale.object.22.Avoidance.Quantised","Rating.Scale.object.23.Anxiety","Rating.Scale.object.23.Anxiety.Quantised","Rating.Scale.object.23.Avoidance","Rating.Scale.object.23.Avoidance.Quantised","Rating.Scale.object.24.Anxiety","Rating.Scale.object.24.Anxiety.Quantised","Rating.Scale.object.24.Avoidance","Rating.Scale.object.24.Avoidance.Quantised","Rating.Scale.object.25.Anxiety","Rating.Scale.object.25.Anxiety.Quantised","Rating.Scale.object.25.Avoidance","Rating.Scale.object.25.Avoidance.Quantised","Rating.Scale.object.26.Anxiety","Rating.Scale.object.26.Anxiety.Quantised","Rating.Scale.object.26.Avoidance","Rating.Scale.object.26.Avoidance.Quantised","Rating.Scale.object.27.Anxiety","Rating.Scale.object.27.Anxiety.Quantised","Rating.Scale.object.27.Avoidance","Rating.Scale.object.27.Avoidance.Quantised","Rating.Scale.object.28.Anxiety","Rating.Scale.object.28.Anxiety.Quantised","Rating.Scale.object.28.Avoidance","Rating.Scale.object.28.Avoidance.Quantised","Rating.Scale.object.29.Anxiety","Rating.Scale.object.29.Anxiety.Quantised","Rating.Scale.object.29.Avoidance","Rating.Scale.object.29.Avoidance.Quantised","Rating.Scale.object.30.Anxiety","Rating.Scale.object.30.Anxiety.Quantised","Rating.Scale.object.30.Avoidance","Rating.Scale.object.30.Avoidance.Quantised","Rating.Scale.object.31.Anxiety","Rating.Scale.object.31.Anxiety.Quantised","Rating.Scale.object.31.Avoidance","Rating.Scale.object.31.Avoidance.Quantised","Random_ID"
"1",1694202934227,"08/09/2023 19:55:34",1694188534227,-4,"08/09/2023 11:55:34",142342,3,"questionnaire-xzz2",NA,31593118,9341382,NA,"complete","rlvoid","3B4YI393VFVELPY701YIAB4IHEXSSU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"LSAS-SR",4,"In","BCADKEJFIGH",NA,"0","1","0","1","0","1","0","1","0","1","0","1","0","1","2","3","0","1","0","1","0","1","1","2","0","1","3","4","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","2","0","1","2","3","0","1","0","1","0","1","2","3","0","1","2","3","0","1","0","1","1","2","2","3","0","1","0","1","0","1","0","1","0","1","2","3","0","1","0","1","0","1","3","4","0","1","0","1","SUPAMT85972"
"1",1694206874917,"08/09/2023 21:01:14",1694188874917,-5,"08/09/2023 11:01:14",142342,3,"questionnaire-xzz2",NA,31593264,9341405,NA,"complete","ojutlg","3DBQWDE4YCXGZA8RG94OI6KKGVHN5B","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","2048x1152","2048x1002",NA,NA,0,"LSAS-SR",4,"In","CDBEAFKGJHI",NA,"2","3","3","4","3","4","3","4","1","2","1","2","2","3","2","3","2","3","2","3","3","4","3","4","2","3","2","3","2","3","2","3","2","3","1","2","3","4","3","4","3","4","3","4","3","4","3","4","0","1","0","1","2","3","2","3","3","4","3","4","3","4","3","4","2","3","2","3","1","2","1","2","1","2","1","2","3","4","3","4","0","1","0","1","2","3","2","3","2","3","2","3","0","1","0","1","SUPAMT29232"
"1",1694203643720,"08/09/2023 20:07:23",1694189243720,-4,"08/09/2023 12:07:23",142342,3,"questionnaire-xzz2",NA,31593663,9341491,NA,"complete","fbadmi","3MD9PLUKKODE6OSGNXB47ARFHUPZNU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"LSAS-SR",4,"In","DECFBGAHKIJ",NA,"1","2","2","3","1","2","2","3","1","2","1","2","0","1","0","1","1","2","2","3","2","3","2","3","1","2","1","2","3","4","3","4","3","4","3","4","2","3","2","3","2","3","2","3","2","3","2","3","0","1","1","2","1","2","1","2","1","2","2","3","1","2","2","3","1","2","1","2","1","2","2","3","1","2","1","2","2","3","2","3","0","1","0","1","0","1","1","2","1","2","0","1","1","2","2","3","SUPAMT55264"
"1",1694204688802,"08/09/2023 20:24:48",1694190288802,-4,"08/09/2023 12:24:48",142342,3,"questionnaire-xzz2",NA,31594282,9341565,NA,"complete","rkeeiv","3WYGZ5XF32EGX6LZVSPGJPD82O1KSW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"LSAS-SR",4,"In","EFDGCHBIAJK",NA,"2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","1","2","SUPAMT94886"
"1",1694222797881,"09/09/2023 01:26:37",1694208397881,-4,"08/09/2023 17:26:37",142342,3,"questionnaire-xzz2",NA,31598861,9342396,NA,"complete","oglqly","3KGTPGBS63K1V39DVRECYU924J8U22","computer","Desktop or Laptop","Windows 10","Firefox 117.0","2176x1224","2176x1110",NA,NA,0,"LSAS-SR",4,"In","FGEHDICJBKA",NA,"0","1","1","2","1","2","0","1","0","1","0","1","0","1","3","4","1","2","1","2","1","2","2","3","2","3","3","4","2","3","3","4","2","3","3","4","1","2","2","3","0","1","1","2","0","1","2","3","0","1","0","1","0","1","0","1","1","2","3","4","2","3","2","3","0","1","0","1","0","1","1","2","2","3","2","3","2","3","2","3","2","3","3","4","0","1","0","1","0","1","3","4","0","1","0","1","SUPAMT38854"
"1",1694264096728,"09/09/2023 12:54:56",1694249696728,-4,"09/09/2023 04:54:56",142342,3,"questionnaire-xzz2",NA,31601313,9343005,NA,"complete","krvanj","3HL8HNGX4B0NC5XMLBYSMHGD25TF9E","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x657",NA,NA,0,"LSAS-SR",4,"In","GHFIEJDKCAB",NA,"2","3","1","2","2","3","2","3","2","3","1","2","1","2","2","3","2","3","2","3","1","2","1","2","1","2","2","3","2","3","2","3","2","3","2","3","1","2","2","3","2","3","2","3","1","2","2","3","1","2","2","3","2","3","2","3","2","3","2","3","1","2","1","2","1","2","2","3","2","3","2","3","2","3","2","3","1","2","2","3","1","2","1","2","1","2","1","2","1","2","2","3","1","2","1","2","SUPAMT37681"
"1",1694379835186,"10/09/2023 21:03:55",1694365435186,-4,"10/09/2023 13:03:55",142342,3,"questionnaire-xzz2",NA,31617061,9345571,NA,"complete","ggfqbm","3VFJCI1K45YZU5P3QC4WVNGJ95TGRT","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"LSAS-SR",4,"In","HIGJFKEADBC",NA,"2","3","3","4","2","3","1","2","2","3","3","4","2","3","3","4","2","3","3","4","2","3","1","2","2","3","3","4","2","3","1","2","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","3","4","2","3","1","2","1","2","2","3","1","2","2","3","3","4","2","3","1","2","2","3","3","4","2","3","2","3","3","4","SUPAMT61059"
"1",1694443119837,"11/09/2023 14:38:39",1694428719837,-4,"11/09/2023 06:38:39",142342,3,"questionnaire-xzz2",NA,31623712,9347090,NA,"complete","xtvgwq","3AMW0RGHOJ1KSKQA0OD2GCP179ZNP6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"LSAS-SR",4,"In","IJHKGAFBECD",NA,"2","3","1","2","1","2","2","3","1","2","1","2","1","2","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","1","2","1","2","2","3","1","2","2","3","1","2","2","3","1","2","2","3","1","2","1","2","1","2","1","2","1","2","2","3","1","2","2","3","1","2","1","2","1","2","2","3","1","2","2","3","1","2","1","2","1","2","SUPAMT69479"
"1",1694443501764,"11/09/2023 14:45:01",1694429101764,-4,"11/09/2023 06:45:01",142342,3,"questionnaire-xzz2",NA,31623783,9347100,NA,"complete","furujy","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"LSAS-SR",4,"In","JKIAHBGCFDE",NA,"2","3","2","3","1","2","2","3","2","3","3","4","2","3","2","3","2","3","2","3","3","4","2","3","2","3","3","4","3","4","2","3","2","3","3","4","2","3","2","3","2","3","3","4","2","3","1","2","1","2","2","3","2","3","1","2","2","3","2","3","2","3","3","4","2","3","3","4","3","4","3","4","2","3","2","3","1","2","1","2","2","3","2","3","2","3","1","2","2","3","3","4","2","3","2","3","SUPAMT72992"
"1",1694444206040,"11/09/2023 14:56:46",1694429806040,-4,"11/09/2023 06:56:46",142342,3,"questionnaire-xzz2",NA,31624109,9347134,NA,"rejected - time limit reached","","31UV0MXWNWBOL9X0JTRWDYO3UA4I5Z","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1515x687",NA,NA,0,"LSAS-SR",4,"In","KAJBICHDGEF",NA,"0","1","2","3","0","1","0","1","0","1","2","3","3","4","3","4","0","1","0","1","1","2","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","2","1","2","1","2","1","2","1","2","0","1","1","2","3","4","0","1","0","1","0","1","0","1","1","2","0","1","0","1","0","1","1","2","1","2","0","1","1","2","1","2","0","1","0","1","0","1","0","1","0","1","0","1","0","1","2","3","1","2","SUPAMT35299"
