"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1694204626109,"08/09/2023 20:23:46",1694190226109,-4,"08/09/2023 12:23:46",142342,3,"questionnaire-tzdp",NA,31594252,9341565,NA,"complete","rkeeiv","3WYGZ5XF32EGX6LZVSPGJPD82O1KSW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT94886"
"1",1694222430268,"09/09/2023 01:20:30",1694208030268,-4,"08/09/2023 17:20:30",142342,3,"questionnaire-tzdp",NA,31598786,9342396,NA,"complete","oglqly","3KGTPGBS63K1V39DVRECYU924J8U22","computer","Desktop or Laptop","Windows 10","Firefox 117.0","2176x1224","2176x1110",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT38854"
"1",1694263833148,"09/09/2023 12:50:33",1694249433148,-4,"09/09/2023 04:50:33",142342,3,"questionnaire-tzdp",NA,31601281,9343005,NA,"complete","krvanj","3HL8HNGX4B0NC5XMLBYSMHGD25TF9E","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x657",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT37681"
"1",1694378324322,"10/09/2023 20:38:44",1694363924322,-4,"10/09/2023 12:38:44",142342,3,"questionnaire-tzdp",NA,31616893,9345571,NA,"complete","ggfqbm","3VFJCI1K45YZU5P3QC4WVNGJ95TGRT","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"1","2","SUPAMT61059"
"1",1694442542057,"11/09/2023 14:29:02",1694428142057,-4,"11/09/2023 06:29:02",142342,3,"questionnaire-tzdp",NA,31623467,9347090,NA,"complete","xtvgwq","3AMW0RGHOJ1KSKQA0OD2GCP179ZNP6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT69479"
"1",1694442907333,"11/09/2023 14:35:07",1694428507333,-4,"11/09/2023 06:35:07",142342,3,"questionnaire-tzdp",NA,31623500,9347100,NA,"complete","furujy","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT72992"
"1",1694443367356,"11/09/2023 14:42:47",1694428967356,-4,"11/09/2023 06:42:47",142342,3,"questionnaire-tzdp",NA,31623691,9347134,NA,"rejected - time limit reached","","31UV0MXWNWBOL9X0JTRWDYO3UA4I5Z","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1515x687",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"1","2","SUPAMT35299"
"1",1694447324003,"11/09/2023 15:48:44",1694429324003,-5,"11/09/2023 05:48:44",142342,3,"questionnaire-tzdp",NA,31623890,9347160,NA,"complete","hdreiq","3ZPBJO59KV0JTR19SHRUBYBG95MDHS","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT02681"
"1",1694444295459,"11/09/2023 14:58:15",1694429895459,-4,"11/09/2023 06:58:15",142342,3,"questionnaire-tzdp",NA,31624141,9347225,NA,"rejected - time limit reached","","38BQUHLA92ZWP2T99NLNEXVBU47MOK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"1","2","SUPAMT13138"
"1",1694445121956,"11/09/2023 15:12:01",1694430721956,-4,"11/09/2023 07:12:01",142342,3,"questionnaire-tzdp",NA,31624475,9347302,NA,"complete","lckmws","3A0EX8ZRNENC0PTEOL4C28IJWF2BYV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT13097"
"1",1694446264906,"11/09/2023 15:31:04",1694431864906,-4,"11/09/2023 07:31:04",142342,3,"questionnaire-tzdp",NA,31625399,9347546,NA,"complete","cktauf","340UGXU9D40ASU7FJ1YN0Z6D3ZNUVY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"1","2","SUPAMT02924"
"1",1694446807469,"11/09/2023 15:40:07",1694432407469,-4,"11/09/2023 07:40:07",142342,3,"questionnaire-tzdp",NA,31625773,9347600,NA,"complete","mjpddr","3QUO65DNQ0NF2AYIIPC957C57Q9UOJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT59799"
"1",1694451516894,"11/09/2023 16:58:36",1694433516894,-5,"11/09/2023 06:58:36",142342,3,"questionnaire-tzdp",NA,31626015,9347681,NA,"complete","nfrksp","3ATPCQ38JE97HFOMI74G7XYDC7EAYE","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1360x768","1360x651",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT72552"
"1",1694449165753,"11/09/2023 16:19:25",1694434765753,-4,"11/09/2023 08:19:25",142342,3,"questionnaire-tzdp",NA,31626584,9347855,NA,"complete","gqpfeh","3CPLWGV3MUYZ0XA3JZH5UMPM4VM9NK","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT97544"
