"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","Manipulation..Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","order.ot79","branch.mcuq","Random_ID"
1,1692371767503,"18/08/2023 15:16",1692375367503,1,"18/08/2023 17:16",140895,11,"questionnaire-uu2n",NA,31247825,NA,"rejected - time limit reached",NA,"64df8799051b63398ae8f4c2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.1","1800x1169","1800x958",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABLCKDJEIFHG","","MDPRF87016"
1,1692369126446,"18/08/2023 14:32",1692372726446,1,"18/08/2023 16:32",140895,11,"questionnaire-uu2n",NA,31247210,NA,"complete",NA,"64df70ad330cbb1e7cfa554f","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKBJCIDHEGF","","MDPRF45424"
1,1692313117400,"17/08/2023 22:58",1692316717400,1,"18/08/2023 00:58",140895,11,"questionnaire-uu2n",NA,31241649,NA,"complete",NA,"64dea3b32f0ee1f7f7627144","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLJAIBHCGDFE","","MDPRF89348"
1,1692973288868,"25/08/2023 14:21",1692976888868,1,"25/08/2023 16:21",140895,11,"questionnaire-uu2n",NA,31363936,NA,"complete",NA,"64e8b6d7a33ee79f33a4f2d5","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x715",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLJAIBHCGDFE","","MDPRF45704"
1,1692301187158,"17/08/2023 19:39",1692304787158,1,"17/08/2023 21:39",140895,11,"questionnaire-uu2n",NA,31240549,NA,"complete",NA,"64de76d5809a8c95d1d63c6b","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1280x720","1225x601",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GHFIEJDKCLBA","","MDPRF70595"
1,1692298340823,"17/08/2023 18:52",1692301940823,1,"17/08/2023 20:52",140895,11,"questionnaire-uu2n",NA,31240138,NA,"complete",NA,"64de6c2068b434ec15bfd9f1","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2560x1440","2560x1283",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FGEHDICJBKAL","","MDPRF14173"
1,1692277211200,"17/08/2023 13:00",1692280811200,1,"17/08/2023 15:00",140895,11,"questionnaire-uu2n",NA,31233455,NA,"complete",NA,"64de194ef9f6bd8fc7879ae9","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EFDGCHBIAJLK","","MDPRF70880"
1,1692276872235,"17/08/2023 12:54",1692280472235,1,"17/08/2023 14:54",140895,11,"questionnaire-uu2n",NA,31233243,NA,"complete",NA,"64de178fa7e443a0cd6b10ed","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DECFBGAHLIKJ","","MDPRF18662"
1,1692712601260,"22/08/2023 13:56",1692716201260,1,"22/08/2023 15:56",140895,11,"questionnaire-uu2n",NA,31284680,NA,"complete",NA,"64e4bd6cb43152842353bf5b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IJHKGLFAEBDC","","MDPRF78305"
1,1692713041568,"22/08/2023 14:04",1692716641568,1,"22/08/2023 16:04",140895,11,"questionnaire-uu2n",NA,31284870,NA,"complete",NA,"64e4be227a043e01393606e6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.6.1","1440x900","1440x820",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLJAIBHCGDFE","","MDPRF71639"
