"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Score..Consent","branch.mcuq","Random_ID"
1,1692271298693,"17/08/2023 11:21",1692274898693,1,"17/08/2023 13:21",140895,11,"questionnaire-rew7",NA,31230154,NA,"complete",NA,"64de02b7326b177d85d63964","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent Prolific Pilot",3,"In","ABLCKDJEIFHG",1,1,1,1,1,1,1,1,1,18,"","MDPRF78720"
1,1692271883766,"17/08/2023 11:31",1692275483766,1,"17/08/2023 13:31",140895,11,"questionnaire-rew7",NA,31230359,NA,"complete",NA,"64de04fcb7001124abd6392c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x783",NA,NA,0,"Consent Prolific Pilot",3,"In","BCADLEKFJGIH",1,1,1,1,1,1,1,1,1,18,"","MDPRF91978"
1,1692658007710,"21/08/2023 22:46",1692661607710,1,"22/08/2023 00:46",140895,11,"questionnaire-rew7",NA,31275080,NA,"complete",NA,"64e3e94c705556bd8c2579b1","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Consent Prolific Pilot",3,"In","GHFIEJDKCLBA",1,1,1,1,1,1,1,1,1,18,"","MDPRF28694"
1,1692620162931,"21/08/2023 12:16",1692623762931,1,"21/08/2023 14:16",140895,11,"questionnaire-rew7",NA,31267050,NA,"complete",NA,"64e35442fc5451919b22bc06","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x739",NA,NA,0,"Consent Prolific Pilot",3,"In","FGEHDICJBKAL",1,1,1,1,1,1,1,1,1,18,"","MDPRF90079"
1,1692601723599,"21/08/2023 07:08",1692605323599,1,"21/08/2023 09:08",140895,11,"questionnaire-rew7",NA,31264860,NA,"complete",NA,"64e30d0ac2c662ff2bf16f3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1366x735",NA,NA,0,"Consent Prolific Pilot",3,"In","EFDGCHBIAJLK",1,1,1,1,1,1,1,1,1,18,"","MDPRF04190"
1,1692486839763,"19/08/2023 23:13",1692490439763,1,"20/08/2023 01:13",140895,11,"questionnaire-rew7",NA,31259757,NA,"complete",NA,"64e14c8b312d89f6e54938d6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.5","1440x900","1440x710",NA,NA,0,"Consent Prolific Pilot",3,"In","DECFBGAHLIKJ",1,1,1,1,1,1,1,1,1,18,"","MDPRF17949"
1,1692454963807,"19/08/2023 14:22",1692458563807,1,"19/08/2023 16:22",140895,11,"questionnaire-rew7",NA,31255813,NA,"complete",NA,"64e0d026da5528b0f8d9f4e0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Consent Prolific Pilot",3,"In","CDBEAFLGKHJI",1,1,1,1,1,1,1,1,1,18,"","MDPRF66080"
1,1692447433797,"19/08/2023 12:17",1692451033797,1,"19/08/2023 14:17",140895,11,"questionnaire-rew7",NA,31254953,NA,"complete",NA,"64e0b2bf7d7d370fb1e87bd4","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1442x945",NA,NA,0,"Consent Prolific Pilot",3,"In","BCADLEKFJGIH",1,1,1,1,1,1,1,1,1,18,"","MDPRF93511"
1,1692370858454,"18/08/2023 15:00",1692374458454,1,"18/08/2023 17:00",140895,11,"questionnaire-rew7",NA,31247627,NA,"rejected - time limit reached",NA,"64df8799051b63398ae8f4c2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.1","1800x1169","1800x958",NA,NA,0,"Consent Prolific Pilot",3,"In","ABLCKDJEIFHG",1,1,1,1,1,1,1,1,1,18,"","MDPRF87016"
1,1692364986773,"18/08/2023 13:23",1692368586773,1,"18/08/2023 15:23",140895,11,"questionnaire-rew7",NA,31245510,NA,"complete",NA,"64df70ad330cbb1e7cfa554f","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent Prolific Pilot",3,"In","LAKBJCIDHEGF",1,1,1,1,1,1,1,1,1,18,"","MDPRF45424"
