"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"1",1701885470720,"06/12/2023 17:57:50",1701885470720,0,"06/12/2023 17:57:50",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"2",1701885474298,"06/12/2023 17:57:54",1701885474298,0,"06/12/2023 17:57:54",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",1,"Instructions","Screen 1","ddykq7",1,"continue","",3597.23599999404,3583.19,3597.23599999404,3597.23599999404,3583.19,3597.23599999404,1,3597.23599999404,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"3",1701885477288,"06/12/2023 17:57:57",1701885477288,0,"06/12/2023 17:57:57",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",1,"Instructions","Screen 2","dcmmer",2,"continue","",3000.143,2983.477,3000.143,3000.143,2983.477,3000.143,1,3000.143,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"4",1701885479555,"06/12/2023 17:57:59",1701885479555,0,"06/12/2023 17:57:59",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",1,"Instructions","Screen 3","ntxvt6",3,"continue","",2287.66900001788,2283.242,2287.66900001788,2287.66900001788,2283.242,2287.66900001788,1,2287.66900001788,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"5",1701885482567,"06/12/2023 17:58:02",1701885482567,0,"06/12/2023 17:58:02",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",1,"Rating","Screen 1","poh9ia",1,"continue","",3014.52700001192,2999.88,3014.52700001192,3014.52700001192,2999.88,3014.52700001192,1,3014.52700001192,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"6",1701885482570,"06/12/2023 17:58:02",1701885482570,0,"06/12/2023 17:58:02",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",1,"Rating","Screen 1","poh9ia",1,"response","28",1899.924,2999.88,3016.546,1899.924,2999.88,3016.546,1,1899.924,1116.622,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"7",1701885484514,"06/12/2023 17:58:04",1701885484514,0,"06/12/2023 17:58:04",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",2,"Rating","Screen 1","poh9ia",1,"continue","",1962.94699999404,1949.922,1962.94699999404,1962.94699999404,1949.922,1962.94699999404,1,1962.94699999404,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"8",1701885484515,"06/12/2023 17:58:04",1701885484515,0,"06/12/2023 17:58:04",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",2,"Rating","Screen 1","poh9ia",1,"response","32",1283.282,1949.922,1964.24700000596,1283.282,1949.922,1964.24700000596,1,1283.282,680.965000005961,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"9",1701885487619,"06/12/2023 17:58:07",1701885487619,0,"06/12/2023 17:58:07",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",3,"Rating","Screen 1","poh9ia",1,"continue","",3116.804,3100.138,3116.804,3116.804,3100.138,3116.804,1,3116.804,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"10",1701885487620,"06/12/2023 17:58:07",1701885487620,0,"06/12/2023 17:58:07",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",3,"Rating","Screen 1","poh9ia",1,"response","57",2333.502,3100.138,3116.804,2333.502,3100.138,3116.804,1,2333.502,783.302,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF82002"
"11",1701885492604,"06/12/2023 17:58:12",1701885492604,0,"06/12/2023 17:58:12",152734,15,"task-wo7e",NA,33496491,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Rest + Money + Mood rating",33,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet5",1,"FortuneL","Screen 1","94ikrr",1,"timedOut","",5001.48700001788,4999.8,5001.48700001788,5001.48700001788,4999.8,5001.48700001788,1,5001.48700001788,0,0,NA,"Time Limit","screen",0,"screen","FortuneL","","","",NA,0.07,NA,NA,1,NA,0.07,NA,NA,NA,"MDPRF82002"
