"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"108",1701888728746,"06/12/2023 18:52:08",1701888728746,0,"06/12/2023 18:52:08",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",44,"Rating","Screen 1","poh9ia",1,"response","67",1559.82199999993,2819.35199999996,2825.35000000591,1559.82199999993,2819.35199999996,2825.35000000591,1,1559.82199999993,1265.52800000599,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",15,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"109",1701888732182,"06/12/2023 18:52:12",1701888732182,0,"06/12/2023 18:52:12",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",45,"Rating","Screen 1","poh9ia",1,"continue","",3441.99800000596,3436.55599999998,3441.99800000596,3441.99800000596,3436.55599999998,3441.99800000596,1,3441.99800000596,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",15,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"110",1701888732183,"06/12/2023 18:52:12",1701888732183,0,"06/12/2023 18:52:12",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",45,"Rating","Screen 1","poh9ia",1,"response","43",1501.39300000004,3436.55599999998,3443.598,1501.39300000004,3436.55599999998,3443.598,1,1501.39300000004,1942.20499999996,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",15,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"111",1701888763164,"06/12/2023 18:52:43",1701888763164,0,"06/12/2023 18:52:43",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",3,"RestH","Screen 1","wxp2y6",1,"continue","",30987.949,30987.949,30987.949,30987.949,30987.949,30987.949,1,30987.949,0,0,NA,"Fixation Timing","Fixation",1,"object-41","RestH","","","",NA,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"112",1701888769110,"06/12/2023 18:52:49",1701888769110,0,"06/12/2023 18:52:49",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",46,"Rating","Screen 1","poh9ia",1,"continue","",5946.39299999701,5939.07999999996,5946.39299999701,5946.39299999701,5939.07999999996,5946.39299999701,1,5946.39299999701,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",16,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"113",1701888769110,"06/12/2023 18:52:49",1701888769110,0,"06/12/2023 18:52:49",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",46,"Rating","Screen 1","poh9ia",1,"response","37",3136.39300000004,5939.07999999996,5946.49300000595,3136.39300000004,5939.07999999996,5946.49300000595,1,3136.39300000004,2810.10000000591,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",16,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"114",1701888770831,"06/12/2023 18:52:50",1701888770831,0,"06/12/2023 18:52:50",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",47,"Rating","Screen 1","poh9ia",1,"continue","",1728.31299999706,1726.58400000003,1728.31299999706,1728.31299999706,1726.58400000003,1728.31299999706,1,1728.31299999706,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",16,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"115",1701888770832,"06/12/2023 18:52:50",1701888770832,0,"06/12/2023 18:52:50",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",47,"Rating","Screen 1","poh9ia",1,"response","60",1051.29200000002,1726.58400000003,1728.51300000004,1051.29200000002,1726.58400000003,1728.51300000004,1,1051.29200000002,677.22100000002,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",16,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"116",1701888773182,"06/12/2023 18:52:53",1701888773182,0,"06/12/2023 18:52:53",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",48,"Rating","Screen 1","poh9ia",1,"continue","",2352.62900000298,2352.23999999999,2352.62900000298,2352.62900000298,2352.23999999999,2352.62900000298,1,2352.62900000298,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",16,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"117",1701888773184,"06/12/2023 18:52:53",1701888773184,0,"06/12/2023 18:52:53",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",48,"Rating","Screen 1","poh9ia",1,"response","47",1418.01800000004,2352.23999999999,2354.32900000596,1418.01800000004,2352.23999999999,2354.32900000596,1,1418.01800000004,936.311000005924,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",16,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
