"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"1",1701886069623,"06/12/2023 18:07:49",1701886069623,0,"06/12/2023 18:07:49",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"2",1701886083062,"06/12/2023 18:08:03",1701886083062,0,"06/12/2023 18:08:03",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",1,"Instructions","Screen 1","ddykq7",1,"continue","",14070,14064.225,14070,14070,14064.225,14070,1,14070,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"3",1701886086401,"06/12/2023 18:08:06",1701886086401,0,"06/12/2023 18:08:06",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",1,"Instructions","Screen 2","dcmmer",2,"continue","",3345.17499985695,3331.95,3345.17499985695,3345.17499985695,3331.95,3345.17499985695,1,3345.17499985695,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"4",1701886087812,"06/12/2023 18:08:07",1701886087812,0,"06/12/2023 18:08:07",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",1,"Instructions","Screen 3","ntxvt6",3,"continue","",1424.325,1417.396,1424.325,1424.325,1417.396,1424.325,1,1424.325,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"5",1701886091916,"06/12/2023 18:08:11",1701886091916,0,"06/12/2023 18:08:11",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",1,"Rating","Screen 1","poh9ia",1,"continue","",4110.32899985695,4100.596,4110.32899985695,4110.32899985695,4100.596,4110.32899985695,1,4110.32899985695,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"6",1701886091916,"06/12/2023 18:08:11",1701886091916,0,"06/12/2023 18:08:11",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",1,"Rating","Screen 1","poh9ia",1,"response","87",1784.122,4100.596,4110.72899995232,1784.122,4100.596,4110.72899995232,1,1784.122,2326.60699995232,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"7",1701886095191,"06/12/2023 18:08:15",1701886095191,0,"06/12/2023 18:08:15",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",2,"Rating","Screen 1","poh9ia",1,"continue","",3284.53299980926,3283.243,3284.53299980926,3284.53299980926,3283.243,3284.53299980926,1,3284.53299980926,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"8",1701886095192,"06/12/2023 18:08:15",1701886095192,0,"06/12/2023 18:08:15",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",2,"Rating","Screen 1","poh9ia",1,"response","33",1799.324,3283.243,3286.43299990463,1799.324,3283.243,3286.43299990463,1,1799.324,1487.10899990463,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"9",1701886098664,"06/12/2023 18:08:18",1701886098664,0,"06/12/2023 18:08:18",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",3,"Rating","Screen 1","poh9ia",1,"continue","",3474.48999985695,3466.66,3474.48999985695,3474.48999985695,3466.66,3474.48999985695,1,3474.48999985695,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
"10",1701886098664,"06/12/2023 18:08:18",1701886098664,0,"06/12/2023 18:08:18",152734,15,"task-ckbn",NA,33496930,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Rest + Money + Mood rating",33,"In","EFDGCHBIAJLK",NA,"In",1,"Spreadsheet1",3,"Rating","Screen 1","poh9ia",1,"response","74",2634.226,3466.66,3474.68999990463,2634.226,3466.66,3474.68999990463,1,2634.226,840.463999904634,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF02309"
