"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"1",1701885421817,"06/12/2023 17:57:01",1701885421817,0,"06/12/2023 17:57:01",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"2",1701885444801,"06/12/2023 17:57:24",1701885444801,0,"06/12/2023 17:57:24",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",1,"Instructions","Screen 1","ddykq7",1,"continue","",23001.631,22984.554,23001.631,23001.631,22984.554,23001.631,1,23001.631,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"3",1701885446400,"06/12/2023 17:57:26",1701885446400,0,"06/12/2023 17:57:26",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",1,"Instructions","Screen 2","dcmmer",2,"continue","",1621.578,1616.39,1621.578,1621.578,1616.39,1621.578,1,1621.578,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"4",1701885447307,"06/12/2023 17:57:27",1701885447307,0,"06/12/2023 17:57:27",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",1,"Instructions","Screen 3","ntxvt6",3,"continue","",911.788000143049,900.072999999997,911.788000143049,911.788000143049,900.072999999997,911.788000143049,1,911.788000143049,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"5",1701885450897,"06/12/2023 17:57:30",1701885450897,0,"06/12/2023 17:57:30",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",1,"Rating","Screen 1","poh9ia",1,"continue","",3600.164,3583.917,3600.164,3600.164,3583.917,3600.164,1,3600.164,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"6",1701885450899,"06/12/2023 17:57:30",1701885450899,0,"06/12/2023 17:57:30",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",1,"Rating","Screen 1","poh9ia",1,"response","64",1650.03,3583.917,3600.164,1650.03,3583.917,3600.164,1,1650.03,1950.134,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"7",1701885454904,"06/12/2023 17:57:34",1701885454904,0,"06/12/2023 17:57:34",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",2,"Rating","Screen 1","poh9ia",1,"continue","",4024.99799995232,4016.444,4024.99799995232,4024.99799995232,4016.444,4024.99799995232,1,4024.99799995232,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"8",1701885454909,"06/12/2023 17:57:34",1701885454909,0,"06/12/2023 17:57:34",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",2,"Rating","Screen 1","poh9ia",1,"response","34",3233.202,4016.444,4029.79800014305,3233.202,4016.444,4029.79800014305,1,3233.202,796.59600014305,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"9",1701885457362,"06/12/2023 17:57:37",1701885457362,0,"06/12/2023 17:57:37",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",3,"Rating","Screen 1","poh9ia",1,"continue","",2466.754,2450.245,2466.754,2466.754,2450.245,2466.754,1,2466.754,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
"10",1701885457362,"06/12/2023 17:57:37",1701885457362,0,"06/12/2023 17:57:37",152734,15,"task-kzsr",NA,33496459,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"Rest + Money + Mood rating",33,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet2",3,"Rating","Screen 1","poh9ia",1,"response","43",1150.214,2450.245,2466.83900000001,1150.214,2450.245,2466.83900000001,1,1150.214,1316.62500000001,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF55461"
