"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695938472575,"28/09/2023 22:01:12",1695924072575,-4,"28/09/2023 14:01:12",144339,5,"questionnaire-79c5",NA,31930577,9443125,NA,"complete","eduyrf","3SUWZRL0M4C8O8VSSTBAKP4B15E6EP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"LH","In","Not true","1","Certainly true","3","Not true","1","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPAMT79304"
"1",1695938491231,"28/09/2023 22:01:31",1695924091231,-4,"28/09/2023 14:01:31",144339,5,"questionnaire-79c5",NA,31930586,9443128,NA,"complete","zurjdg","3LKC68YZ3G2SUENNDPRANVX2T52OWT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1707x813",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"HL","In","Not true","1","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPAMT04571"
"1",1695935985398,"28/09/2023 21:19:45",1695921585398,-4,"28/09/2023 13:19:45",144339,5,"questionnaire-79c5",NA,31929900,9443138,NA,"complete","abqndg","3QFUFYSY94EMFZRA4G21595XHBCF4C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1345x602",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"HL","In","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","SUPAMT45287"
"1",1695936627147,"28/09/2023 21:30:27",1695922227147,-4,"28/09/2023 13:30:27",144339,5,"questionnaire-79c5",NA,31930113,9443164,NA,"complete","vsoeke","3JPSL1DZ5YYD5GK8B5V5QH06BC3ANY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"LH","In","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT04530"
"1",1695937208894,"28/09/2023 21:40:08",1695922808894,-4,"28/09/2023 13:40:08",144339,5,"questionnaire-79c5",NA,31930273,9443205,NA,"complete","nilgpd","3OE22WJIGONINMBYX24DUC75NQKQUF","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1680x1050","1503x824",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"HL","In","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT79674"
"1",1695938340420,"28/09/2023 21:59:00",1695923940420,-4,"28/09/2023 13:59:00",144339,5,"questionnaire-79c5",NA,31930534,9443255,NA,"complete","wppwme","3WEV0KO0OSR8J0FP3B3TFCIIJDVSDF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"HL","In","Not true","1","Somewhat true","2","Certainly true","3","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","SUPAMT02221"
"1",1695939928601,"28/09/2023 22:25:28",1695925528601,-4,"28/09/2023 14:25:28",144339,5,"questionnaire-79c5",NA,31930773,9443330,NA,"complete","uoixja","39O5D9O87ZRUUROWD07HNYSO6YPC3E","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","2560x1440","1727x1018",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"LH","In","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT18178"
"1",1695959121857,"29/09/2023 03:45:21",1695944721857,-4,"28/09/2023 19:45:21",144339,5,"questionnaire-79c5",NA,31934032,9444242,NA,"complete","lhstkr","3SB4CE2TJ1UIHAYCDBIEOJR4DSDAXM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"HL","In","Somewhat true","2","Not true","1","Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Certainly true","3","SUPAMT66456"
"1",1695965065975,"29/09/2023 05:24:25",1695947065975,-5,"28/09/2023 19:24:25",144339,5,"questionnaire-79c5",NA,31934180,9444288,NA,"complete","bohqhj","3HYA4D452XICCLCN02JDCU8ZXZMF2Q","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"HL","In","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPAMT80658"
"1",1695965182472,"29/09/2023 05:26:22",1695950782472,-4,"28/09/2023 21:26:22",144339,5,"questionnaire-79c5",NA,31934462,9444430,NA,"complete","hjvrmt","34YB12FSQ4N8XPCBL48F9OM94J9GMN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1821x868",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"LH","In","Not true","1","Somewhat true","2","Not true","1","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","SUPAMT82077"
