"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1695932708985,"28/09/2023 20:25:08",1695918308985,-4,"28/09/2023 12:25:08",144339,5,"questionnaire-txxf",NA,31928584,9442826,NA,"complete","ivnzmx","31N2WW6R9XP1X38642XIV4DR3A7F3G","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"HL","In","100","SUPAMT37474"
"1",1695947839049,"29/09/2023 00:37:19",1695933439049,-4,"28/09/2023 16:37:19",144339,5,"questionnaire-txxf",NA,31928997,9442854,NA,"complete","exnbum","378XPAWRUICLRF9HEPIDL94PPCTAI0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x907",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"LH","In","52","SUPAMT61143"
"1",1695933638727,"28/09/2023 20:40:38",1695919238727,-4,"28/09/2023 12:40:38",144339,5,"questionnaire-txxf",NA,31929058,9442974,NA,"complete","masueh","3WMOAN2SRHWXX4N6M0M1M4EJWLMNVS","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"LH","In","100","SUPAMT92404"
"1",1695933731018,"28/09/2023 20:42:11",1695919331018,-4,"28/09/2023 12:42:11",144339,5,"questionnaire-txxf",NA,31929102,9442902,NA,"complete","kexyno","3I7DHKZYGTZ4BIVAILLBA1BBH6ZF57","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"HL","In","83","SUPAMT45944"
"1",1695937678133,"28/09/2023 21:47:58",1695919678133,-5,"28/09/2023 11:47:58",144339,5,"questionnaire-txxf",NA,31929253,9442898,NA,"complete","xjkrse","3Q5ZZ9ZEVUEVW3LNA7F509UPU2L58F","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"HL","In","-71","SUPAMT80310"
"1",1695937722249,"28/09/2023 21:48:42",1695919722249,-5,"28/09/2023 11:48:42",144339,5,"questionnaire-txxf",NA,31929276,9442828,NA,"complete","jbgebt","3MAOD8E57W9P1TS1MFNJAPB4CWUNXV","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"LH","In","56","SUPAMT10933"
"1",1695934150899,"28/09/2023 20:49:10",1695919750899,-4,"28/09/2023 12:49:10",144339,5,"questionnaire-txxf",NA,31929284,9442996,NA,"complete","ahiggi","3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"LH","In","76","SUPAMT20506"
"1",1695934728620,"28/09/2023 20:58:48",1695920328620,-4,"28/09/2023 12:58:48",144339,5,"questionnaire-txxf",NA,31929447,9443037,NA,"complete","uebzkd","3N2BF7Y2VWTMXL7M5AQXUOYAJG5HM0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"HL","In","100","SUPAMT49216"
"1",1695950530905,"29/09/2023 01:22:10",1695936130905,-4,"28/09/2023 17:22:10",144339,5,"questionnaire-txxf",NA,31929955,9443064,NA,"complete","bnhuhp","3F6HPJW4JJZEN7YIQRTDGIUZSZ3W2Q","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","911x512",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"HL","In","76","SUPAMT50626"
"1",1695958342837,"29/09/2023 03:32:22",1695943942837,-4,"28/09/2023 19:32:22",144339,5,"questionnaire-txxf",NA,31930145,9443087,NA,"complete","qdeniu","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"HL","In","74","SUPAMT03640"
