"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1695932498570,"28/09/2023 20:21:38",1695918098570,-4,"28/09/2023 12:21:38",144339,5,"questionnaire-1tsk",NA,31928485,9442826,NA,"complete","ivnzmx","31N2WW6R9XP1X38642XIV4DR3A7F3G","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Consent",9,"In","IJHKGLFAEBDC",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT37474"
"1",1695936110690,"28/09/2023 21:21:50",1695918110690,-5,"28/09/2023 11:21:50",144339,5,"questionnaire-1tsk",NA,31928497,9442828,NA,"complete","jbgebt","3MAOD8E57W9P1TS1MFNJAPB4CWUNXV","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Consent",9,"In","LAKBJCIDHEGF",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT10933"
"1",1695947199666,"29/09/2023 00:26:39",1695932799666,-4,"28/09/2023 16:26:39",144339,5,"questionnaire-1tsk",NA,31928649,9442854,NA,"complete","exnbum","378XPAWRUICLRF9HEPIDL94PPCTAI0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x907",NA,NA,0,"Consent",9,"In","CDBEAFLGKHJI",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT61143"
"1",1695936718476,"28/09/2023 21:31:58",1695918718476,-5,"28/09/2023 11:31:58",144339,5,"questionnaire-1tsk",NA,31928761,9442898,NA,"complete","xjkrse","3Q5ZZ9ZEVUEVW3LNA7F509UPU2L58F","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Consent",9,"In","HIGJFKELDACB",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT80310"
"1",1695933146325,"28/09/2023 20:32:26",1695918746325,-4,"28/09/2023 12:32:26",144339,5,"questionnaire-1tsk",NA,31928773,9442902,NA,"complete","kexyno","3I7DHKZYGTZ4BIVAILLBA1BBH6ZF57","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1364x768","1364x651",NA,NA,0,"Consent",9,"In","EFDGCHBIAJLK",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT45944"
"1",1695933506085,"28/09/2023 20:38:26",1695919106085,-4,"28/09/2023 12:38:26",144339,5,"questionnaire-1tsk",NA,31928987,9442974,NA,"complete","masueh","3WMOAN2SRHWXX4N6M0M1M4EJWLMNVS","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Consent",9,"In","FGEHDICJBKAL",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT92404"
"1",1695933826270,"28/09/2023 20:43:46",1695919426270,-4,"28/09/2023 12:43:46",144339,5,"questionnaire-1tsk",NA,31929135,9442996,NA,"complete","ahiggi","3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Consent",9,"In","IJHKGLFAEBDC",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT20506"
"1",1695934071725,"28/09/2023 20:47:51",1695919671725,-4,"28/09/2023 12:47:51",144339,5,"questionnaire-1tsk",NA,31929250,9443037,NA,"complete","uebzkd","3N2BF7Y2VWTMXL7M5AQXUOYAJG5HM0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Consent",9,"In","KLJAIBHCGDFE",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT49216"
"1",1695948749808,"29/09/2023 00:52:29",1695934349808,-4,"28/09/2023 16:52:29",144339,5,"questionnaire-1tsk",NA,31929362,9443064,NA,"complete","bnhuhp","3F6HPJW4JJZEN7YIQRTDGIUZSZ3W2Q","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","911x413",NA,NA,0,"Consent",9,"In","GHFIEJDKCLBA",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT50626"
"1",1695937950270,"28/09/2023 21:52:30",1695919950270,-5,"28/09/2023 11:52:30",144339,5,"questionnaire-1tsk",NA,31929363,9443065,NA,"complete","hzefyx","351SEKWQS6G5L52KJE7733JCRO8DMJ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2048x1152","1365x621",NA,NA,0,"Consent",9,"In","LAKBJCIDHEGF",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT76549"
