,A : bored,B : constraint,D : end,E : end_taper,F : exp_OCT,G : external OCT,H : external_distraction,I : frequency_ratings,J : frustrated,K : happy_asmood,L : insight,N : mind_wander,O : no_choice_frustration,P : positive_extOCT,Q : time_itself,R : unhappy
72 : MDPRF26282,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2
73 : MDPRF26288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74 : MDPRF26497,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
75 : MDPRF27562,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
76 : MDPRF28437,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
77 : MDPRF28700,2,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0
78 : MDPRF28714,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
79 : MDPRF28885,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0
80 : MDPRF28963,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
81 : MDPRF29607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82 : MDPRF29651,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1
83 : MDPRF31511,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1
84 : MDPRF31886,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
85 : MDPRF31901,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
86 : MDPRF32274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87 : MDPRF33027,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
88 : MDPRF34178,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
89 : MDPRF34644,1,1,0,0,2,2,0,1,2,0,0,0,0,0,0,0
90 : MDPRF34773,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
91 : MDPRF35088,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
92 : MDPRF35426,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
93 : MDPRF36144,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0
94 : MDPRF36338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95 : MDPRF36372,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
96 : MDPRF36467,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
97 : MDPRF36846,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98 : MDPRF37003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
99 : MDPRF37445,1,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0
100 : MDPRF37577,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
101 : MDPRF38277,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102 : MDPRF39858,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103 : MDPRF39892,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
104 : MDPRF40116,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
105 : MDPRF40310,2,0,0,0,2,0,0,0,2,1,1,0,0,0,1,0
106 : MDPRF40907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107 : MDPRF41086,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
108 : MDPRF41436,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109 : MDPRF41548,0,0,1,0,2,0,0,2,1,0,0,0,0,0,1,0
110 : MDPRF41773,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
111 : MDPRF42220,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
112 : MDPRF43222,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
113 : MDPRF43280,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
114 : MDPRF43401,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0
115 : MDPRF43420,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
116 : MDPRF43536,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117 : MDPRF43675,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
118 : MDPRF43940,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119 : MDPRF44142,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
120 : MDPRF44343,2,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0
121 : MDPRF44350,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
122 : MDPRF44618,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
123 : MDPRF45081,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
124 : MDPRF45247,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0
125 : MDPRF45254,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
126 : MDPRF45341,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
127 : MDPRF46039,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
128 : MDPRF46146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129 : MDPRF46232,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
130 : MDPRF46304,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
131 : MDPRF46592,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132 : MDPRF46843,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0
133 : MDPRF47514,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0
134 : MDPRF48207,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1
135 : MDPRF48761,2,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0
136 : MDPRF48836,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
137 : MDPRF49129,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1
138 : MDPRF49821,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
139 : MDPRF50375,2,0,1,0,2,0,0,0,3,0,0,0,0,0,1,1
140 : MDPRF51338,2,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0
141 : MDPRF51456,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
142 : MDPRF51534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143 : MDPRF51568,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
144 : MDPRF51886,3,1,0,0,0,1,0,0,3,0,0,1,0,0,0,1
145 : MDPRF52075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
